date,bills_btc
2022-09-22,2.334
2022-09-29,1.412
2022-10-06,1.561
2022-10-13,1.759
2022-10-20,1.68
2022-10-27,1.388
2022-11-03,1.421
2022-11-10,1.3
2022-11-17,1.3
2022-11-24,1.651
2022-12-01,2.144
2022-12-08,1.998
2022-12-15,3.203
2022-12-22,2.344
2022-12-29,1.372
2023-01-06,3.341
2023-01-12,3.804
2023-01-19,2.183
2023-01-26,2.712
2023-02-02,2.557
2023-02-09,1.953
2023-02-16,1.572
2023-02-23,1.429
2023-03-02,1.948
2023-03-09,1.162
2023-03-16,1.786
2023-03-23,1.778
2023-03-30,1.155
2023-04-06,1.122
2023-04-13,1.292
2023-04-20,1.089
2023-04-27,1.001
2023-05-04,1.106
2023-05-11,1.143
2023-05-17,1.021
2023-05-25,1.059
2023-06-01,1.155
2023-06-08,1.063
2023-06-15,1.099
2023-06-22,2.044
2023-06-29,1.938
2023-07-06,1.428
2023-07-13,1.084
2023-07-20,2.876
2023-07-27,2.072
2023-08-03,1.591
2023-08-10,1.569
2023-08-17,2.83
2023-08-24,1.831
2023-08-31,1.595
2023-09-07,1.273
2023-09-14,1.844
2023-09-21,2.058
2023-09-28,1.754
2023-10-05,1.431
2023-10-12,1.451
2023-10-19,1.175
2023-10-26,1.343
2023-11-02,1.329
2023-11-09,2.118
2023-11-16,1.728
2023-11-23,1.224
2023-11-30,1.303
2023-12-07,1.601
2023-12-14,1.049
2023-12-21,1.016
2023-12-28,1.17
2024-01-04,1.062
2024-01-11,1.072
2024-01-18,1.071
2024-01-25,1.04
2024-02-01,1.314
2024-02-08,1.07
2024-02-15,1.039
2024-02-22,1.127
2024-02-29,1.114
2024-03-07,1.331
2024-03-14,1.266
2024-03-21,2.193
2024-03-28,1.39
2024-04-04,1.786
2024-04-11,1.105
2024-04-18,3.933
2024-04-25,1.158
2024-05-02,1.032
2024-05-08,1.12
2024-05-16,1.333
2024-05-23,1.201
2024-05-30,1.051
2024-06-06,1.355
2024-06-13,1.194
2024-06-20,1.298
2024-06-27,1.066
2024-07-04,1.233
2024-07-11,1.855
2024-07-18,1.344
2024-07-25,1.746
2024-07-31,1.126
2024-08-08,1.498
2024-08-15,1.059
2024-08-22,1.172
2024-08-29,1.5
2024-09-05,1.204
2024-09-12,1.434
2024-09-19,1.108
2024-09-26,1.105
2024-10-03,1.172
2024-10-10,1.03
2024-10-17,1.016
2024-10-24,1.081
2024-10-31,1.029
2024-11-07,1.179
2024-11-14,1.095
2024-11-21,1.066
2024-11-28,1.105
2024-12-05,1.154
2024-12-12,1.091
2024-12-19,1.156
2024-12-27,1.092
2025-01-03,1.072
2025-01-09,1.125
2025-01-16,1.017
2025-01-23,1.114
2025-01-30,1.009
2025-02-06,1.075
2025-02-13,1.018
2025-02-20,1.152
2025-02-27,1.109
2025-03-06,1.016
2025-03-13,1.472
2025-03-20,1.033
2025-03-27,1.128
2025-04-03,1.022
2025-04-10,1.057
2025-04-17,1.18
2025-04-24,1.045
2025-04-30,1.353
2025-05-08,1.639
2025-05-15,1.259
2025-05-22,1.386
2025-05-28,1.307
2025-06-05,1.2
2025-06-12,1.272
2025-06-19,1.779
2025-06-26,1.498
2025-07-03,1.565
2025-07-10,1.013
2025-07-17,1.736
2025-07-24,1.226
2025-07-31,1.312
2025-08-07,1.667
2025-08-14,1.18
2025-08-21,1.008
2025-08-28,1.009
2025-09-04,1.384
2025-09-11,1.082
2025-09-18,1.015
2025-09-25,1.032
2025-10-02,1.114
2025-10-09,1.037
2025-10-16,1.012
2025-10-23,1.154
2025-10-30,1.011
2025-11-06,1.15
2025-11-13,1.093
2025-11-20,1.012
2025-11-27,1.123
2025-12-04,1.249
2025-12-11,1.464
2025-12-18,1.188
2025-12-24,1.449
2025-12-31,1.353
2026-01-08,1.051
2026-01-15,1.249
2026-01-22,1.032
2026-01-29,1.379
2026-02-05,1.054
2026-02-12,1.085
2026-02-19,1.012
2026-02-26,1.121
2026-03-05,1.012
2026-03-12,1.006
2026-03-19,1.01
2026-03-26,1.03
2026-04-02,1.084
2026-04-09,1.156
2026-04-16,1.033
2026-04-23,1.022
2026-04-30,1.001
2026-05-07,1.032
2026-05-13,1.0
2026-05-21,1.115
2026-05-28,1.277
2026-06-04,1.084
2026-06-11,1.039
2026-06-18,1.012
2026-06-25,1.0
2026-07-02,1.012
2026-07-09,1.023
2026-07-16,1.055
2026-07-23,1.137
