date,bond_issued
2019-01-09,271.23
2019-02-13,215.03
2019-03-13,239.88
2019-04-10,244.2
2019-05-08,177.79
2019-06-12,206.75
2019-07-10,106.05
2019-09-11,204.87
2019-11-13,235.1
2019-12-11,196.6
2020-01-08,342.05
2020-02-12,203.35
2020-03-11,171.7
2020-04-08,596.0
2020-05-13,599.61
2020-06-10,642.6
2020-07-08,395.3
2020-09-09,195.65
2020-10-14,163.25
2020-11-11,227.72
2020-12-09,233.55
2021-01-13,413.1
2021-02-10,796.05
2021-03-10,692.0
2021-04-14,1060.05
2021-05-12,653.35
2021-06-09,1068.2
2021-07-14,934.6
2021-09-08,596.95
2021-10-13,398.6
2021-11-10,400.31
2021-12-08,219.1
2022-01-12,485.6
2022-02-09,591.51
2022-03-09,531.63
2022-04-13,424.4
2022-05-11,477.96
2022-06-08,501.44
2022-07-13,655.6
2022-09-14,621.79
2022-10-12,766.05
2022-11-09,767.54
2022-12-14,937.52
2023-01-11,1027.5
2023-02-08,1062.58
2023-03-08,830.9
2023-04-12,724.05
2023-05-10,603.0
2023-06-14,602.44
2023-07-12,463.76
2023-09-13,737.6
2023-10-11,776.45
2023-11-08,976.63
2023-12-13,305.41
2024-01-10,403.25
2024-02-14,505.0
2024-03-13,402.15
2024-04-10,336.22
2024-05-08,348.95
2024-06-12,502.49
2024-07-10,456.77
2024-09-11,369.55
2024-10-09,547.42
2024-11-13,477.56
2024-12-11,404.45
2025-01-08,346.51
2025-02-12,379.23
2025-03-12,315.87
2025-04-09,311.27
2025-05-14,302.7
2025-06-11,454.54
2025-07-09,443.21
2025-09-10,356.81
2025-10-08,340.89
2025-11-12,378.72
2025-12-10,195.25
2026-01-14,252.96
2026-02-11,372.14
2026-03-11,438.44
2026-04-08,489.4
2026-05-13,450.0
2026-06-10,415.17
2026-07-08,359.99
2026-09-09,368.63
