date,fx_intervention_proxy_v04
2021-03-26,1322.0
2021-04-02,-4032.0
2021-04-09,1533.0
2021-04-16,5867.0
2021-04-23,-106.0
2021-04-30,708.0
2021-05-07,161.0
2021-05-14,-3078.0
2021-05-21,4057.0
2021-05-28,-526.0
2021-06-04,-2415.0
2021-06-11,-1338.0
2021-06-18,597.0
2021-06-25,-448.0
2021-07-02,1814.0
2021-07-09,4715.0
2021-07-16,-1046.0
2021-07-23,-936.0
2021-07-30,889.0
2021-08-06,-526.0
2021-08-13,3407.0
2021-08-20,533.0
2021-08-27,312.0
2021-09-03,-3677.0
2021-09-10,-539.0
2021-09-17,64.0
2021-09-24,30.0
2021-10-01,1028.0
2021-10-08,1384.0
2021-10-15,1733.0
2021-10-22,2216.0
2021-10-29,2921.0
2021-11-05,-1580.0
2021-11-12,362.0
2021-11-19,2579.0
2021-11-26,228.0
2021-12-03,-1245.0
2021-12-10,1120.0
2021-12-17,-1076.0
2021-12-24,4305.0
2021-12-31,-1124.0
2022-01-07,1724.0
2022-01-14,4502.0
2022-01-21,2280.0
2022-01-28,1879.0
2022-02-04,256.0
2022-02-11,2098.0
2022-02-18,1237.0
2022-02-25,-1945.0
2022-03-04,-3327.0
2022-03-11,1924.0
2022-03-18,425.0
2022-03-25,-1403.0
2022-04-01,5539.0
2022-04-08,2483.0
2022-04-15,-477.0
2022-04-22,1497.0
2022-04-29,-452.0
2022-05-06,-1815.0
2022-05-13,1237.0
2022-05-20,-1679.0
2022-05-27,-1807.0
2022-06-03,-638.0
2022-06-10,-399.0
2022-06-17,-267.0
2022-06-24,-8203.0
2022-07-01,-7838.0
2022-07-08,-10503.0
2022-07-15,4603.0
2022-07-22,-2809.0
2022-07-29,-1681.0
2022-08-05,6787.0
2022-08-12,1962.0
2022-08-19,-324.0
2022-08-26,-91.0
2022-09-02,-2841.0
2022-09-09,-2225.0
2022-09-16,302.0
2022-09-23,-12256.0
2022-09-30,-62947.0
2022-10-07,-11172.0
2022-10-14,2935.0
2022-10-21,-13729.0
2022-10-28,-2114.0
2022-11-04,-7553.0
2022-11-11,-2283.0
2022-11-18,-5389.0
