date,mmdrc_issued
2018-12-28,279.7
2019-01-08,149.45
2019-01-15,308.95
2019-01-22,74.05
2019-01-29,237.95
2019-02-05,597.9
2019-02-12,635.3
2019-02-19,532.0
2019-02-26,504.05
2019-03-05,466.25
2019-03-12,502.8
2019-03-19,436.95
2019-03-26,408.5
2019-04-02,518.95
2019-04-09,587.75
2019-04-16,464.3
2019-04-23,400.4
2019-04-30,419.7
2019-05-07,414.0
2019-05-14,438.15
2019-05-21,360.65
2019-05-28,401.35
2019-06-04,418.8
2019-06-11,446.5
2019-06-18,408.95
2019-06-25,403.55
2019-07-02,416.4
2019-07-09,474.75
2019-07-16,416.2
2019-07-23,436.5
2019-07-30,446.7
2019-08-06,408.4
2019-08-13,438.8
2019-08-20,410.3
2019-08-27,393.4
2019-09-03,400.55
2019-09-10,403.7
2019-09-17,108.95
2019-09-24,365.5
2019-10-01,618.75
2019-10-08,418.9
2019-10-15,454.0
2019-10-22,467.6
2019-10-29,351.5
2019-11-05,373.2
2019-11-12,373.0
2019-11-19,423.35
2019-11-26,315.4
2019-12-03,377.9
2019-12-10,408.05
2019-12-17,113.7
2019-12-23,400.0
2019-12-30,155.3
2020-01-07,392.6
2020-01-14,421.2
2020-01-21,384.65
2020-01-28,451.5
2020-02-04,400.35
2020-02-11,462.7
2020-02-18,424.4
2020-02-25,464.5
2020-03-03,460.45
2020-03-10,467.9
2020-03-17,608.45
2020-03-24,633.65
2020-03-31,1193.2
2020-04-07,1184.55
2020-04-14,1456.4
2020-04-21,1543.8
2020-04-28,924.95
2020-05-05,893.1
2020-05-12,1038.95
2020-05-19,849.85
2020-05-26,833.85
2020-06-02,850.3
2020-06-09,871.6
2020-06-16,800.0
2020-06-23,800.0
2020-06-30,800.0
2020-07-07,800.0
2020-07-14,794.2
2020-07-21,800.0
2020-07-28,800.0
2020-08-04,800.0
2020-08-11,962.05
2020-08-18,800.0
2020-08-25,800.0
2020-09-01,724.6
2020-09-08,750.7
2020-09-15,842.25
2020-09-22,792.75
2020-09-29,787.75
2020-10-06,754.05
2020-10-13,722.6
2020-10-20,762.75
2020-10-27,754.1
2020-11-03,806.5
2020-11-10,1022.7
2020-11-17,875.85
2020-11-24,852.7
2020-12-01,800.0
2020-12-08,800.0
2020-12-15,807.0
2020-12-22,683.1
2020-12-29,810.25
2021-01-05,849.85
2021-01-12,792.55
2021-01-19,800.0
2021-01-26,798.35
2021-02-02,770.65
2021-02-09,904.0
2021-02-16,854.5
2021-02-23,800.0
2021-03-02,800.0
2021-03-09,800.0
2021-03-16,783.1
2021-03-23,800.0
2021-03-30,896.4
2021-04-06,880.65
2021-04-13,800.0
2021-04-20,741.05
2021-04-27,800.0
2021-05-04,797.6
2021-05-11,810.55
2021-05-18,802.65
2021-05-25,751.8
2021-06-01,800.0
2021-06-08,766.25
2021-06-15,800.0
2021-06-22,848.5
2021-06-29,837.2
2021-07-06,800.0
2021-07-13,779.45
2021-07-20,800.0
2021-07-27,800.0
2021-08-03,805.85
2021-08-10,840.55
2021-08-17,778.15
2021-08-24,828.9
2021-08-31,773.85
2021-09-07,699.45
2021-09-14,720.5
2021-09-21,600.0
2021-09-28,636.95
2021-10-05,600.0
2021-10-12,609.3
2021-10-19,779.25
2021-10-26,836.3
2021-11-02,600.0
2021-11-09,649.95
2021-11-16,585.75
2021-11-23,594.1
2021-11-30,630.3
2021-12-07,592.6
2021-12-14,654.75
2021-12-21,533.65
2021-12-28,461.1
2022-01-04,626.85
2022-01-11,603.1
2022-01-18,620.6
2022-01-25,650.3
2022-02-01,626.85
2022-02-08,658.4
2022-02-15,544.7
2022-02-22,402.1
2022-03-01,629.7
2022-03-08,594.5
2022-03-15,540.75
2022-03-22,466.85
2022-03-29,639.25
2022-04-05,536.85
2022-04-12,501.5
2022-04-19,520.8
2022-04-26,458.95
2022-05-03,483.45
2022-05-10,613.05
2022-05-17,516.4
2022-05-24,418.9
2022-05-31,331.8
2022-06-07,436.55
