date,snbbipo:ES
2019-01-31,0.0
2019-02-28,0.0
2019-03-31,0.0
2019-04-30,0.0
2019-05-31,0.0
2019-06-30,0.0
2019-07-31,0.0
2019-08-31,0.0
2019-09-30,0.0
2019-10-31,0.0
2019-11-30,0.0
2019-12-31,0.0
2020-01-31,0.0
2020-02-29,0.0
2020-03-31,0.0
2020-04-30,0.0
2020-05-31,0.0
2020-06-30,0.0
2020-07-31,0.0
2020-08-31,0.0
2020-09-30,0.0
2020-10-31,0.0
2020-11-30,0.0
2020-12-31,0.0
2021-01-31,0.0
2021-02-28,0.0
2021-03-31,0.0
2021-04-30,0.0
2021-05-31,0.0
2021-06-30,0.0
2021-07-31,0.0
2021-08-31,0.0
2021-09-30,0.0
2021-10-31,0.0
2021-11-30,0.0
2021-12-31,0.0
2022-01-31,0.0
2022-02-28,0.0
2022-03-31,0.0
2022-04-30,0.0
2022-05-31,0.0
2022-06-30,0.0
2022-07-31,0.0
2022-08-31,48.00094
2022-09-30,17845.48348672
2022-10-31,77008.66798407001
2022-11-30,88519.48073207
2022-12-31,98168.809496
2023-01-31,98095.1420718
2023-02-28,103562.75307039
2023-03-31,103579.18218292999
2023-04-30,123458.79367477
2023-05-31,132571.1855919
2023-06-30,131384.37054347
2023-07-31,113568.02246467999
2023-08-31,100833.6234426
2023-09-30,91146.52288267999
2023-10-31,82679.17254888
2023-11-30,83147.15271213
2023-12-31,86699.72977995
2024-01-31,68726.09153757001
2024-02-29,68940.31956886
2024-03-31,83778.74657588001
2024-04-30,58837.51532896
2024-05-31,53465.56734438
2024-06-30,55885.29602781
2024-07-31,51145.444601099996
2024-08-31,47864.8528488
2024-09-30,49626.86327848001
2024-10-31,49495.48449796
2024-11-30,48264.24940109
2024-12-31,70156.86821654
2025-01-31,54703.24789581
2025-02-28,57225.46907618
2025-03-31,67839.12856674
2025-04-30,61403.19262108
2025-05-31,59668.581730419995
2025-06-30,59354.91977249
2025-07-31,51656.06721472
2025-08-31,65319.25517547
2025-09-30,67739.89501024
2025-10-31,76404.17127816
2025-11-30,84445.57975313
2025-12-31,98714.3834145
2026-01-31,82104.46888643
2026-02-28,82377.68563131
2026-03-31,75210.01861428999
2026-04-30,79885.19843321001
2026-05-31,74653.33527074
2026-06-30,73587.86123858999
2026-07-31,81900.91951996
