date,snbbipo:GB
2019-01-31,484407.97338817
2019-02-28,485246.85129457
2019-03-31,481580.17924916
2019-04-30,477300.41990133
2019-05-31,471562.26028157
2019-06-30,473953.29406719
2019-07-31,469505.66793726
2019-08-31,474920.86570635997
2019-09-30,479365.30458005
2019-10-31,492673.86304868
2019-11-30,501212.68395856
2019-12-31,505810.57243106
2020-01-31,501671.38412854
2020-02-29,500012.62574125
2020-03-31,526069.76427671
2020-04-30,584409.3986605
2020-05-31,591288.0395758101
2020-06-30,596650.04146833
2020-07-31,625402.27616053
2020-08-31,630860.40726664
2020-09-30,636612.12470226
2020-10-31,634953.94798999
2020-11-30,637929.6526113199
2020-12-31,628825.19464457
2021-01-31,636612.65172975
2021-02-28,640787.84192162
2021-03-31,627722.64433287
2021-04-30,634161.9528966701
2021-05-31,632762.85639543
2021-06-30,634460.5858800501
2021-07-31,636658.0405084899
2021-08-31,637432.83646225
2021-09-30,637446.55616569
2021-10-31,646350.18495373
2021-11-30,645801.2774437399
2021-12-31,651090.96268928
2022-01-31,659563.40483088
2022-02-28,659357.29777005
2022-03-31,664675.5892561801
2022-04-30,665056.1547403199
2022-05-31,664380.7240470899
2022-06-30,641785.99750897
2022-07-31,642824.67453262
2022-08-31,639320.37557611
2022-09-30,540568.8452336501
2022-10-31,516009.49470203003
2022-11-30,510849.12542666
2022-12-31,466922.65672225
2023-01-31,495241.42875603004
2023-02-28,488349.84828499
2023-03-31,481296.06552457
2023-04-30,499140.46429396
2023-05-31,495625.86354890995
2023-06-30,462501.50803385
2023-07-31,467871.89245506
2023-08-31,453560.30017982
2023-09-30,460394.05768745
2023-10-31,461972.44199888
2023-11-30,455267.19484532
2023-12-31,449439.49557356
2024-01-31,462834.92005843
2024-02-29,452739.13790356
2024-03-31,440552.89566385996
2024-04-30,453844.53387278004
2024-05-31,448469.44619733
2024-06-30,435624.68445015
2024-07-31,441647.54059886
2024-08-31,440171.41968187
2024-09-30,444714.23033449
2024-10-31,443931.03094465
2024-11-30,448129.69674443
2024-12-31,420034.87239216996
2025-01-31,422557.96229182003
2025-02-28,426554.57407847996
2025-03-31,417420.11429459
2025-04-30,434396.41869187
2025-05-31,420350.04998665
2025-06-30,411105.71953093
2025-07-31,434638.23637956
2025-08-31,444627.86378432
2025-09-30,428289.7184056
2025-10-31,436432.32219384995
2025-11-30,437199.05596196
2025-12-31,418419.74708716996
2026-01-31,435167.94436667
2026-02-28,426120.27789496
2026-03-31,415293.53008655
2026-04-30,427024.45480763
2026-05-31,429130.58528522996
2026-06-30,423342.12968732003
2026-07-31,420858.97054532
