date,snbbipo:GD
2019-01-31,0.0
2019-02-28,0.0
2019-03-31,0.0
2019-04-30,0.0
2019-05-31,0.0
2019-06-30,0.0
2019-07-31,0.0
2019-08-31,0.0
2019-09-30,0.0
2019-10-31,0.0
2019-11-30,0.0
2019-12-31,0.0
2020-01-31,0.0
2020-02-29,0.0
2020-03-31,1111.005826
2020-04-30,8217.010732
2020-05-31,9535.392121
2020-06-30,10102.043564
2020-07-31,10899.56438
2020-08-31,11084.084398
2020-09-30,11175.944828
2020-10-31,11253.568187
2020-11-30,11372.742764
2020-12-31,11176.392896
2021-01-31,11204.125764
2021-02-28,11200.384664
2021-03-31,11118.679366
2021-04-30,11000.595998
2021-05-31,10846.96239065
2021-06-30,10555.52504065
2021-07-31,10330.2547945
2021-08-31,10209.667486
2021-09-30,10040.813608
2021-10-31,9830.6065745
2021-11-30,9574.30969225
2021-12-31,9202.4002375
2022-01-31,9124.14622812
2022-02-28,8982.1557925
2022-03-31,8671.771825049998
2022-04-30,8169.240795350001
2022-05-31,8012.0633835
2022-06-30,7789.17727205
2022-07-31,7567.79719085
2022-08-31,7290.15291305
2022-09-30,5488.1347854
2022-10-31,4726.60172771
2022-11-30,4470.560932560001
2022-12-31,4430.4561196
2023-01-31,4373.81951045
2023-02-28,4312.315650699999
2023-03-31,112421.74451127
2023-04-30,101731.27396425
2023-05-31,91990.962715
2023-06-30,66699.10139582999
2023-07-31,56312.04829129
2023-08-31,41400.82195988
2023-09-30,41577.97499941
2023-10-31,41248.88015285
2023-11-30,40866.130277849996
2023-12-31,40306.452137860004
2024-01-31,40346.30476465
2024-02-29,40560.77980065
2024-03-31,20864.8097477
2024-04-30,20667.09182767
2024-05-31,11373.457701719999
2024-06-30,2012.19188105
2024-07-31,1979.0030780499999
2024-08-31,1955.9653110499999
2024-09-30,1861.4735799500002
2024-10-31,1699.39910095
2024-11-30,1615.0200648
2024-12-31,1491.6284949
2025-01-31,1461.16692325
2025-02-28,1448.22721925
2025-03-31,1411.1273291500002
2025-04-30,1215.9211888
2025-05-31,1154.5837351
2025-06-30,1082.942532
2025-07-31,1084.31322295
2025-08-31,1084.94447295
2025-09-30,1050.18749985
2025-10-31,901.3090669
2025-11-30,881.70472105
2025-12-31,794.54033375
2026-01-31,713.18153435
2026-02-28,711.48096735
2026-03-31,686.3744784500001
2026-04-30,579.4214652000001
2026-05-31,572.8208982000001
2026-06-30,499.5793946
2026-07-31,489.65147305
