date,snbbipo:T0
2019-01-31,827948.89340409
2019-02-28,809761.80252098
2019-03-31,822290.38308831
2019-04-30,842894.3991214399
2019-05-31,829995.12484333
2019-06-30,835055.7456620501
2019-07-31,841830.24823724
2019-08-31,846072.80970052
2019-09-30,858894.61345751
2019-10-31,861532.9040570699
2019-11-30,864601.02002701
2019-12-31,860956.26192845
2020-01-31,845174.13314483
2020-02-29,851572.58799949
2020-03-31,852310.8685656
2020-04-30,903488.95247002
2020-05-31,918647.29657449
2020-06-30,956297.5118306701
2020-07-31,949277.68527749
2020-08-31,951810.95014963
2020-09-30,975014.06256001
2020-10-31,972289.5653581
2020-11-30,977003.44350316
2020-12-31,999027.86579055
2021-01-31,997784.82518015
2021-02-28,1012167.23984659
2021-03-31,1030533.49923537
2021-04-30,1011154.4363456899
2021-05-31,1012146.17897735
2021-06-30,1041421.0152697901
2021-07-31,1023827.2560411801
2021-08-31,1042215.1696374301
2021-09-30,1050020.5823599
2021-10-31,1034888.47848851
2021-11-30,1034628.23744935
2021-12-31,1056776.20770448
2022-01-31,1062886.73500812
2022-02-28,1057156.1188051898
2022-03-31,1037870.53484008
2022-04-30,1066104.07903445
2022-05-31,1069286.6565739498
2022-06-30,990256.9042516899
2022-07-31,968264.9777881899
2022-08-31,964566.69213
2022-09-30,889467.3710199599
2022-10-31,902116.46180509
2022-11-30,884966.18473204
2022-12-31,881376.80842027
2023-01-31,884573.2003200799
2023-02-28,877098.42413493
2023-03-31,954597.7923786801
2023-04-30,932483.6264552099
2023-05-31,930723.5144429101
2023-06-30,885593.05163751
2023-07-31,850667.09051916
2023-08-31,837248.92072353
2023-09-30,821808.90176805
2023-10-31,804017.29058763
2023-11-30,784769.0576294301
2023-12-31,794644.12228539
2024-01-31,801788.64315367
2024-02-29,821686.1259203
2024-03-31,848603.13810511
2024-04-30,858817.43378339
2024-05-31,843750.14753698
2024-06-30,822528.53665863
2024-07-31,812356.74674541
2024-08-31,805691.2001891601
2024-09-30,833741.13482952
2024-10-31,835238.92548122
2024-11-30,843049.2794229101
2024-12-31,854078.22810887
2025-01-31,862126.98726712
2025-02-28,862431.6547200601
2025-03-31,866578.1664866899
2025-04-30,843442.87479236
2025-05-31,836743.4456012701
2025-06-30,852190.6460216801
2025-07-31,855488.44308588
2025-08-31,852337.49958474
2025-09-30,886578.74545352
2025-10-31,890500.07499963
2025-11-30,896721.6312900301
2025-12-31,893857.50550826
2026-01-31,886529.39229951
2026-02-28,877670.0009950501
2026-03-31,890207.68679441
2026-04-30,889535.4097643101
2026-05-31,876070.70610121
2026-06-30,913630.61593452
2026-07-31,929994.43550102
