date,snbbipo:VRGSF
2019-01-31,0.0
2019-02-28,0.0
2019-03-31,0.0
2019-04-30,48.0
2019-05-31,0.0
2019-06-30,0.0
2019-07-31,0.0
2019-08-31,0.0
2019-09-30,0.0
2019-10-31,0.0
2019-11-30,0.0
2019-12-31,0.0
2020-01-31,0.0
2020-02-29,0.0
2020-03-31,0.0
2020-04-30,0.0
2020-05-31,0.0
2020-06-30,0.0
2020-07-31,0.0
2020-08-31,0.0
2020-09-30,0.0
2020-10-31,0.0
2020-11-30,0.0
2020-12-31,0.0
2021-01-31,0.0
2021-02-28,0.0
2021-03-31,0.0
2021-04-30,0.0
2021-05-31,0.0
2021-06-30,0.0
2021-07-31,0.0
2021-08-31,0.0
2021-09-30,0.0
2021-10-31,0.0
2021-11-30,0.0
2021-12-31,0.0
2022-01-31,0.0
2022-02-28,0.0
2022-03-31,0.0
2022-04-30,0.0
2022-05-31,0.0
2022-06-30,0.0
2022-07-31,0.0
2022-08-31,32.0
2022-09-30,55280.56206436
2022-10-31,66065.0
2022-11-30,62926.0
2022-12-31,67144.75472419
2023-01-31,63020.0
2023-02-28,60611.0
2023-03-31,71015.86384038
2023-04-30,90460.0
2023-05-31,69273.0
2023-06-30,73947.60945816
2023-07-31,59965.0
2023-08-31,77028.0
2023-09-30,64011.75806929
2023-10-31,62483.0
2023-11-30,52675.0
2023-12-31,61667.81293067
2024-01-31,64726.0
2024-02-29,72993.0
2024-03-31,75961.97134031
2024-04-30,70685.0
2024-05-31,68235.0
2024-06-30,77740.19666711999
2024-07-31,79714.0
2024-08-31,86476.0
2024-09-30,67889.88374754
2024-10-31,83111.0
2024-11-30,86327.0
2024-12-31,82549.820875
2025-01-31,107023.0
2025-02-28,103990.0
2025-03-31,89389.73547783999
2025-04-30,85320.0
2025-05-31,85098.0
2025-06-30,98304.52963908
2025-07-31,95635.0
2025-08-31,71952.0
2025-09-30,70606.66886575
2025-10-31,70617.0
2025-11-30,66822.0
2025-12-31,61244.55162372
2026-01-31,75180.0
2026-02-28,76596.0
2026-03-31,74496.65949027
2026-04-30,77837.0
2026-05-31,72105.0
2026-06-30,66059.72463896
2026-07-31,73050.0
