date,snbmoba:N1
2019-01-31,80406.0
2019-02-28,79686.0
2019-03-31,79766.0
2019-04-30,79594.0
2019-05-31,79245.0
2019-06-30,79188.0
2019-07-31,79150.0
2019-08-31,78740.0
2019-09-30,79236.0
2019-10-31,79602.0
2019-11-30,80097.0
2019-12-31,82678.0
2020-01-31,83196.0
2020-02-29,82414.0
2020-03-31,82891.0
2020-04-30,83404.0
2020-05-31,83938.0
2020-06-30,84432.0
2020-07-31,84698.0
2020-08-31,84581.0
2020-09-30,84932.0
2020-10-31,85303.0
2020-11-30,85636.0
2020-12-31,87849.0
2021-01-31,88236.0
2021-02-28,87781.0
2021-03-31,87994.0
2021-04-30,88498.0
2021-05-31,88835.0
2021-06-30,88265.0
2021-07-31,88314.0
2021-08-31,87850.0
2021-09-30,87819.0
2021-10-31,87949.0
2021-11-30,88128.0
2021-12-31,89738.0
2022-01-31,90039.0
2022-02-28,89661.0
2022-03-31,90137.0
2022-04-30,90452.0
2022-05-31,90622.0
2022-06-30,90785.0
2022-07-31,90051.0
2022-08-31,87206.0
2022-09-30,84316.0
2022-10-31,81551.0
2022-11-30,80440.0
2022-12-31,80929.0
2023-01-31,80601.0
2023-02-28,79274.0
2023-03-31,78429.0
2023-04-30,77825.0
2023-05-31,77096.0
2023-06-30,76234.0
2023-07-31,75591.0
2023-08-31,74815.0
2023-09-30,74496.0
2023-10-31,74258.0
2023-11-30,74241.0
2023-12-31,75195.0
2024-01-31,75201.0
2024-02-29,74306.0
2024-03-31,73983.0
2024-04-30,73761.0
2024-05-31,73695.0
2024-06-30,73297.0
2024-07-31,73145.0
2024-08-31,72575.0
2024-09-30,72049.0
2024-10-31,71941.0
2024-11-30,72013.0
2024-12-31,73173.0
2025-01-31,73352.0
2025-02-28,72696.0
2025-03-31,72408.0
2025-04-30,72388.0
2025-05-31,71610.0
2025-06-30,71092.0
2025-07-31,70951.0
2025-08-31,70599.0
2025-09-30,70539.0
2025-10-31,70575.0
2025-11-30,70822.0
2025-12-31,72166.0
2026-01-31,72389.0
2026-02-28,71677.0
2026-03-31,71179.0
2026-04-30,71109.0
2026-05-31,70888.0
2026-06-30,70628.0
2026-07-31,70533.0
