date,snbmoba:RF
2019-01-31,812353.0
2019-02-28,815362.0
2019-03-31,802023.0
2019-04-30,828347.0
2019-05-31,832570.0
2019-06-30,820844.0
2019-07-31,833679.0
2019-08-31,835096.0
2019-09-30,845032.0
2019-10-31,859252.0
2019-11-30,855661.0
2019-12-31,852565.0
2020-01-31,844660.0
2020-02-29,846704.0
2020-03-31,848892.0
2020-04-30,853657.0
2020-05-31,881479.0
2020-06-30,891508.0
2020-07-31,926925.0
2020-08-31,928088.0
2020-09-30,934829.0
2020-10-31,943658.0
2020-11-30,951494.0
2020-12-31,952939.0
2021-01-31,972785.0
2021-02-28,984179.0
2021-03-31,1010309.0
2021-04-30,1003213.0
2021-05-31,994002.0
2021-06-30,1000765.0
2021-07-31,1018896.0
2021-08-31,1018056.0
2021-09-30,1034353.0
2021-10-31,1025444.0
2021-11-30,1027783.0
2021-12-31,1026499.0
2022-01-31,1041336.0
2022-02-28,1048547.0
2022-03-31,1046178.0
2022-04-30,1021376.0
2022-05-31,1044774.0
2022-06-30,1031555.0
2022-07-31,953407.0
2022-08-31,929722.0
2022-09-30,913569.0
2022-10-31,888941.0
2022-11-30,876355.0
2022-12-31,867812.0
2023-01-31,875796.0
2023-02-28,867846.0
2023-03-31,841958.0
2023-04-30,827311.0
2023-05-31,831298.0
2023-06-30,819284.0
2023-07-31,795395.0
2023-08-31,790145.0
2023-09-30,789125.0
2023-10-31,757003.0
2023-11-30,747625.0
2023-12-31,733559.0
2024-01-31,758945.0
2024-02-29,770905.0
2024-03-31,792008.0
2024-04-30,829253.0
2024-05-31,831293.0
2024-06-30,812112.0
2024-07-31,814520.0
2024-08-31,799464.0
2024-09-30,803049.0
2024-10-31,830422.0
2024-11-30,834166.0
2024-12-31,844365.0
2025-01-31,850942.0
2025-02-28,857185.0
2025-03-31,858808.0
2025-04-30,838492.0
2025-05-31,836359.0
2025-06-30,834881.0
2025-07-31,844820.0
2025-08-31,848939.0
2025-09-30,859840.0
2025-10-31,882543.0
2025-11-30,884153.0
2025-12-31,887484.0
2026-01-31,890288.0
2026-02-28,876444.0
2026-03-31,881111.0
2026-04-30,884158.0
2026-05-31,879768.0
2026-06-30,878897.0
