date,snbmonagg:B|GM2
2019-01-31,1016265.0
2019-02-28,1020650.0
2019-03-31,1024380.0
2019-04-30,1026007.0
2019-05-31,1030635.0
2019-06-30,1026473.0
2019-07-31,1029083.0
2019-08-31,1030594.0
2019-09-30,1025083.0
2019-10-31,1022484.0
2019-11-30,1020566.0
2019-12-31,1016327.0
2020-01-31,1010892.0
2020-02-29,1013206.0
2020-03-31,1027023.0
2020-04-30,1035712.0
2020-05-31,1044646.0
2020-06-30,1047783.0
2020-07-31,1053410.0
2020-08-31,1058429.0
2020-09-30,1058289.0
2020-10-31,1067778.0
2020-11-30,1073708.0
2020-12-31,1077696.0
2021-01-31,1079973.0
2021-02-28,1082066.0
2021-03-31,1089345.0
2021-04-30,1090311.0
2021-05-31,1091499.0
2021-06-30,1088131.0
2021-07-31,1090501.0
2021-08-31,1090479.0
2021-09-30,1093024.0
2021-10-31,1095563.0
2021-11-30,1094782.0
2021-12-31,1094357.0
2022-01-31,1093386.0
2022-02-28,1091534.0
2022-03-31,1097277.0
2022-04-30,1093922.0
2022-05-31,1094599.0
2022-06-30,1089396.0
2022-07-31,1092057.0
2022-08-31,1093844.0
2022-09-30,1088155.0
2022-10-31,1076830.0
2022-11-30,1079983.0
2022-12-31,1060645.0
2023-01-31,1042739.0
2023-02-28,1033650.0
2023-03-31,1016291.0
2023-04-30,1006485.0
2023-05-31,990723.0
2023-06-30,974939.0
2023-07-31,961694.0
2023-08-31,949904.0
2023-09-30,942276.0
2023-10-31,936231.0
2023-11-30,934727.0
2023-12-31,928131.0
2024-01-31,915635.0
2024-02-29,909670.0
2024-03-31,912962.0
2024-04-30,915430.0
2024-05-31,912885.0
2024-06-30,920586.0
2024-07-31,921083.0
2024-08-31,927282.0
2024-09-30,935471.0
2024-10-31,938918.0
2024-11-30,951672.0
2024-12-31,971323.0
2025-01-31,970040.0
2025-02-28,974914.0
2025-03-31,996307.0
2025-04-30,1014956.0
2025-05-31,1020278.0
2025-06-30,1056844.0
2025-07-31,1072319.0
2025-08-31,1080776.0
2025-09-30,1082514.0
2025-10-31,1090721.0
2025-11-30,1101579.0
2025-12-31,1101387.0
2026-01-31,1104210.0
2026-02-28,1106607.0
2026-03-31,1114043.0
2026-04-30,1116914.0
2026-05-31,1118598.0
2026-06-30,1116788.0
2026-07-31,1117458.0
