date,snbmonagg:B|S0
2019-01-31,444408.0
2019-02-28,445673.0
2019-03-31,448434.0
2019-04-30,452510.0
2019-05-31,456252.0
2019-06-30,452230.0
2019-07-31,454059.0
2019-08-31,452977.0
2019-09-30,471041.0
2019-10-31,471063.0
2019-11-30,470207.0
2019-12-31,467762.0
2020-01-31,477759.0
2020-02-29,480333.0
2020-03-31,499560.0
2020-04-30,505046.0
2020-05-31,509455.0
2020-06-30,511344.0
2020-07-31,516672.0
2020-08-31,563383.0
2020-09-30,563325.0
2020-10-31,570383.0
2020-11-30,574797.0
2020-12-31,573864.0
2021-01-31,574141.0
2021-02-28,577181.0
2021-03-31,583303.0
2021-04-30,601910.0
2021-05-31,603717.0
2021-06-30,603175.0
2021-07-31,608693.0
2021-08-31,615584.0
2021-09-30,618659.0
2021-10-31,622014.0
2021-11-30,621989.0
2021-12-31,628114.0
2022-01-31,654924.0
2022-02-28,655616.0
2022-03-31,663888.0
2022-04-30,661867.0
2022-05-31,663765.0
2022-06-30,661187.0
2022-07-31,665224.0
2022-08-31,668957.0
2022-09-30,671271.0
2022-10-31,663103.0
2022-11-30,668532.0
2022-12-31,648786.0
2023-01-31,633173.0
2023-02-28,621234.0
2023-03-31,608671.0
2023-04-30,601692.0
2023-05-31,588008.0
2023-06-30,574323.0
2023-07-31,558591.0
2023-08-31,548333.0
2023-09-30,542734.0
2023-10-31,538712.0
2023-11-30,536645.0
2023-12-31,527974.0
2024-01-31,516818.0
2024-02-29,509845.0
2024-03-31,512584.0
2024-04-30,511717.0
2024-05-31,507254.0
2024-06-30,513301.0
2024-07-31,508145.0
2024-08-31,512034.0
2024-09-30,520621.0
2024-10-31,522539.0
2024-11-30,531644.0
2024-12-31,544325.0
2025-01-31,542123.0
2025-02-28,545071.0
2025-03-31,564012.0
2025-04-30,579696.0
2025-05-31,584296.0
2025-06-30,617306.0
2025-07-31,631714.0
2025-08-31,640633.0
2025-09-30,642958.0
2025-10-31,650621.0
2025-11-30,660135.0
2025-12-31,655879.0
2026-01-31,659410.0
2026-02-28,663000.0
2026-03-31,671198.0
2026-04-30,674471.0
2026-05-31,677472.0
2026-06-30,677587.0
2026-07-31,678908.0
