date,zirepo:H0
2024-03-22,1.44758
2024-03-25,1.454148
2024-03-26,1.45452
2024-03-27,1.458166
2024-03-28,1.464207
2024-04-02,1.456716
2024-04-03,1.460285
2024-04-04,1.459122
2024-04-05,1.457959
2024-04-08,1.457619
2024-04-09,1.45835
2024-04-10,1.45812
2024-04-11,1.455746
2024-04-12,1.453258
2024-04-15,1.45112
2024-04-16,1.449709
2024-04-17,1.44733
2024-04-18,1.442089
2024-04-19,1.442328
2024-04-22,1.44276
2024-04-23,1.442898
2024-04-24,1.444651
2024-04-25,1.445272
2024-04-26,1.450566
2024-04-29,1.449736
2024-04-30,1.444518
2024-05-02,1.437733
2024-05-03,1.426044
2024-05-06,1.435355
2024-05-07,1.4453
2024-05-08,1.454082
2024-05-10,1.452282
2024-05-13,1.450828
2024-05-14,1.449836
2024-05-15,1.453954
2024-05-16,1.455802
2024-05-17,1.456056
2024-05-21,1.456992
2024-05-22,1.458429
2024-05-23,1.454432
2024-05-24,1.455883
2024-05-27,1.451538
2024-05-28,1.451265
2024-05-29,1.454613
2024-05-30,1.452758
2024-05-31,1.450122
2024-06-03,1.45098
2024-06-04,1.453137
2024-06-05,1.453866
2024-06-06,1.453696
2024-06-07,1.452103
2024-06-10,1.454816
2024-06-11,1.457456
2024-06-12,1.454286
2024-06-13,1.453921
2024-06-14,1.454223
2024-06-17,1.45572
2024-06-18,1.45461
2024-06-19,1.454893
2024-06-20,1.456421
2024-06-21,1.204251
2024-06-24,1.202707
2024-06-25,1.205118
2024-06-26,1.206326
2024-06-27,1.20713
2024-06-28,1.215794
2024-07-01,1.208308
2024-07-02,1.213268
2024-07-03,1.212014
2024-07-04,1.212364
2024-07-05,1.211015
2024-07-08,1.208443
2024-07-09,1.207741
2024-07-10,1.206247
2024-07-11,1.206517
2024-07-12,1.207995
2024-07-15,1.208554
2024-07-16,1.208908
2024-07-17,1.205895
2024-07-18,1.205773
2024-07-19,1.208429
2024-07-22,1.207598
2024-07-23,1.207876
2024-07-24,1.209121
2024-07-25,1.209482
2024-07-26,1.211311
2024-07-29,1.211299
2024-07-30,1.210451
2024-07-31,1.21096
2024-08-02,1.209619
2024-08-05,1.206532
2024-08-06,1.207096
2024-08-07,1.207372
2024-08-08,1.206481
2024-08-09,1.206513
2024-08-12,1.206126
2024-08-13,1.206
2024-08-14,1.207015
2024-08-15,1.203786
2024-08-16,1.2054
2024-08-19,1.205828
2024-08-20,1.204342
2024-08-21,1.205778
2024-08-22,1.207156
2024-08-23,1.20722
2024-08-26,1.207089
2024-08-27,1.208908
2024-08-28,1.209164
2024-08-29,1.21459
2024-08-30,1.217226
2024-09-02,1.211984
2024-09-03,1.210999
2024-09-04,1.20959
2024-09-05,1.208263
2024-09-06,1.206876
2024-09-09,1.20863
2024-09-10,1.207482
2024-09-11,1.207226
2024-09-12,1.206801
2024-09-13,1.207743
2024-09-16,1.208721
2024-09-17,1.20914
2024-09-18,1.206692
2024-09-19,1.207062
2024-09-20,1.207798
2024-09-23,1.206141
2024-09-24,1.207708
2024-09-25,1.207599
2024-09-26,1.208417
2024-09-27,0.954461
2024-09-30,0.957401
2024-10-01,0.952282
2024-10-02,0.95022
2024-10-03,0.942965
2024-10-04,0.932673
2024-10-07,0.933389
2024-10-08,0.93233
2024-10-09,0.935195
2024-10-10,0.934424
2024-10-11,0.936956
2024-10-14,0.93565
2024-10-15,0.937921
2024-10-16,0.940651
2024-10-17,0.939533
2024-10-18,0.944479
2024-10-21,0.947236
2024-10-22,0.947562
2024-10-23,0.947362
2024-10-24,0.948813
2024-10-25,0.954744
2024-10-28,0.949979
2024-10-29,0.951289
2024-10-30,0.952573
2024-10-31,0.949059
2024-11-01,0.950391
2024-11-04,0.950539
2024-11-05,0.949619
2024-11-06,0.948667
2024-11-07,0.948036
2024-11-08,0.953496
2024-11-11,0.951194
2024-11-12,0.953463
2024-11-13,0.954699
2024-11-14,0.955686
2024-11-15,0.95541
2024-11-18,0.954078
2024-11-19,0.956971
2024-11-20,0.956453
2024-11-21,0.956175
2024-11-22,0.956305
2024-11-25,0.956118
2024-11-26,0.956889
2024-11-27,0.955867
