date,BSI.M.U2.Y.U.A20T.A.1.U2.2240.Z01.E
2014-10-01,4376133.0
2014-11-01,4369259.0
2014-12-01,4263442.0
2015-01-01,4270237.0
2015-02-01,4275918.0
2015-03-01,4280049.0
2015-04-01,4270051.0
2015-05-01,4264917.0
2015-06-01,4271534.0
2015-07-01,4268760.0
2015-08-01,4266010.0
2015-09-01,4264135.0
2015-10-01,4265172.0
2015-11-01,4277886.0
2015-12-01,4267604.0
2016-01-01,4274796.0
2016-02-01,4287077.0
2016-03-01,4272828.0
2016-04-01,4271636.0
2016-05-01,4285951.0
2016-06-01,4294061.0
2016-07-01,4290048.0
2016-08-01,4291386.0
2016-09-01,4296764.0
2016-10-01,4301100.0
2016-11-01,4307373.0
2016-12-01,4308636.0
2017-01-01,4318397.0
2017-02-01,4326520.0
2017-03-01,4333657.0
2017-04-01,4337520.0
2017-05-01,4341565.0
2017-06-01,4316867.0
2017-07-01,4323914.0
2017-08-01,4322156.0
2017-09-01,4325758.0
2017-10-01,4347704.0
2017-11-01,4359046.0
2017-12-01,4358600.0
2018-01-01,4385026.0
2018-02-01,4380652.0
2018-03-01,4379250.0
2018-04-01,4388752.0
2018-05-01,4409177.0
2018-06-01,4421656.0
2018-07-01,4435926.0
2018-08-01,4444711.0
2018-09-01,4458734.0
2018-10-01,4464561.0
2018-11-01,4477659.0
2018-12-01,4487605.0
2019-01-01,4494164.0
2019-02-01,4508661.0
2019-03-01,4510061.0
2019-04-01,4526339.0
2019-05-01,4547180.0
2019-06-01,4555400.0
2019-07-01,4571943.0
2019-08-01,4588742.0
2019-09-01,4582767.0
2019-10-01,4590572.0
2019-11-01,4587348.0
2019-12-01,4575770.0
2020-01-01,4585306.0
2020-02-01,4588428.0
2020-03-01,4702089.0
2020-04-01,4772177.0
2020-05-01,4826967.0
2020-06-01,4828655.0
2020-07-01,4834891.0
2020-08-01,4858344.0
2020-09-01,4843804.0
2020-10-01,4845914.0
2020-11-01,4846309.0
2020-12-01,4827724.0
2021-01-01,4828718.0
2021-02-01,4838576.0
2021-03-01,4880907.0
2021-04-01,4853426.0
2021-05-01,4854305.0
2021-06-01,4850098.0
2021-07-01,4854600.0
2021-08-01,4865984.0
2021-09-01,4882189.0
2021-10-01,4905098.0
2021-11-01,4928026.0
2021-12-01,4990747.0
2022-01-01,4861581.0
2022-02-01,4872251.0
2022-03-01,4897718.0
2022-04-01,4931534.0
2022-05-01,4964820.0
2022-06-01,5001579.0
2022-07-01,5047609.0
2022-08-01,5113719.0
2022-09-01,5142127.0
2022-10-01,5161123.0
2022-11-01,5154509.0
2022-12-01,5124429.0
2023-01-01,5147750.0
2023-02-01,5147397.0
2023-03-01,5138605.0
2023-04-01,5138456.0
2023-05-01,5142318.0
2023-06-01,5133265.0
2023-07-01,5136858.0
2023-08-01,5123606.0
2023-09-01,5124691.0
2023-10-01,5124774.0
2023-11-01,5134171.0
2023-12-01,5135731.0
2024-01-01,5128980.0
2024-02-01,5129986.0
2024-03-01,5131146.0
2024-04-01,5129559.0
2024-05-01,5134196.0
2024-06-01,5144675.0
2024-07-01,5142052.0
2024-08-01,5147324.0
2024-09-01,5162788.0
2024-10-01,5164681.0
2024-11-01,5169838.0
2024-12-01,5200334.0
2025-01-01,5205740.0
2025-02-01,5213715.0
2025-03-01,5224747.0
2025-04-01,5228659.0
2025-05-01,5230311.0
2025-06-01,5250813.0
2025-07-01,5256123.0
2025-08-01,5274583.0
2025-09-01,5281678.0
2025-10-01,5290692.0
2025-11-01,5300799.0
2025-12-01,5324253.0
2026-01-01,5341167.0
2026-02-01,5356654.0
2026-03-01,5383612.0
2026-04-01,5409080.0
2026-05-01,5442410.0
2026-06-01,5466068.0
2026-07-01,5489668.0
