date,GFS.Q.N.I9.W0.S13.S1._Z.B.B9._Z._Z._Z.XDC_R_B1GQ_CY._Z.S.V.CY._T
2014-12-31,-2.5284
2015-03-31,-2.4202
2015-06-30,-2.3347
2015-09-30,-2.0872
2015-12-31,-2.0085
2016-03-31,-1.8483
2016-06-30,-1.671
2016-09-30,-1.6823
2016-12-31,-1.4726
2017-03-31,-1.3287
2017-06-30,-1.3257
2017-09-30,-1.149
2017-12-31,-1.0027
2018-03-31,-0.8032
2018-06-30,-0.4606
2018-09-30,-0.3439
2018-12-31,-0.4477
2019-03-31,-0.4952
2019-06-30,-0.5901
2019-09-30,-0.7009
2019-12-31,-0.5386
2020-03-31,-1.144
2020-06-30,-3.8434
2020-09-30,-5.1991
2020-12-31,-6.9984
2021-03-31,-8.0085
2021-06-30,-6.696
2021-09-30,-6.0292
2021-12-31,-5.0988
2022-03-31,-4.0401
2022-06-30,-3.0178
2022-09-30,-3.01
2022-12-31,-3.3855
2023-03-31,-3.5375
2023-06-30,-3.7754
2023-09-30,-3.6768
2023-12-31,-3.4998
2024-03-31,-3.4557
2024-06-30,-3.4053
2024-09-30,-3.2193
2024-12-31,-3.0289
2025-03-31,-2.9823
2025-06-30,-2.9188
2025-09-30,-3.0002
2025-12-31,-2.9606
2026-03-31,-3.0627
