date,GFS.Q.N.I9.W0.S13.S1._Z.B.B9P._Z._Z._Z.XDC_R_B1GQ_CY._Z.S.V.CY._T
2014-12-31,0.0902
2015-03-31,0.1029
2015-06-30,0.1424
2015-09-30,0.3306
2015-12-31,0.3268
2016-03-31,0.4427
2016-06-30,0.5422
2016-09-30,0.494
2016-12-31,0.6596
2017-03-31,0.7828
2017-06-30,0.7446
2017-09-30,0.8484
2017-12-31,0.9506
2018-03-31,1.0992
2018-06-30,1.3982
2018-09-30,1.5218
2018-12-31,1.3928
2019-03-31,1.2738
2019-06-30,1.17
2019-09-30,0.9918
2019-12-31,1.0944
2020-03-31,0.4727
2020-06-30,-2.2672
2020-09-30,-3.6363
2020-12-31,-5.4956
2021-03-31,-6.5
2021-06-30,-5.234
2021-09-30,-4.6085
2021-12-31,-3.6591
2022-03-31,-2.6022
2022-06-30,-1.5079
2022-09-30,-1.4502
2022-12-31,-1.7183
2023-03-31,-1.884
2023-06-30,-2.0847
2023-09-30,-1.9485
2023-12-31,-1.7742
2024-03-31,-1.6615
2024-06-30,-1.572
2024-09-30,-1.3314
2024-12-31,-1.1454
2025-03-31,-1.0666
2025-06-30,-1.0091
2025-09-30,-1.0951
2025-12-31,-1.0509
2026-03-31,-1.1563
