date,ILM.D.U2.C.A050500.U2.EUR
2018-09-11,240.0
2018-09-12,47.0
2018-09-13,40.0
2018-09-14,74.0
2018-09-17,93.0
2018-09-18,119.0
2018-09-19,30.0
2018-09-20,30.0
2018-09-21,21.0
2018-09-24,563.0
2018-09-25,8.0
2018-09-26,48.0
2018-09-27,29.0
2018-09-28,130.0
2018-10-01,71.0
2018-10-02,91.0
2018-10-03,88.0
2018-10-04,60.0
2018-10-05,70.0
2018-10-08,58.0
2018-10-09,40.0
2018-10-10,35.0
2018-10-11,45.0
2018-10-12,50.0
2018-10-15,59.0
2018-10-16,56.0
2018-10-17,20.0
2018-10-18,0.0
2018-10-19,24.0
2018-10-22,1.0
2018-10-23,8.0
2018-10-24,10.0
2018-10-25,234.0
2018-10-26,248.0
2018-10-29,20.0
2018-10-30,1.0
2018-10-31,615.0
2018-11-01,203.0
2018-11-02,125.0
2018-11-05,129.0
2018-11-06,135.0
2018-11-07,126.0
2018-11-08,0.0
2018-11-09,30.0
2018-11-12,3.0
2018-11-13,30.0
2018-11-14,96.0
2018-11-15,85.0
2018-11-16,85.0
2018-11-19,66.0
2018-11-20,98.0
2018-11-21,285.0
2018-11-22,662.0
2018-11-23,380.0
2018-11-26,391.0
2018-11-27,101.0
2018-11-28,124.0
2018-11-29,82.0
2018-11-30,256.0
2018-12-03,254.0
2018-12-04,220.0
2018-12-05,25.0
2018-12-06,25.0
2018-12-07,40.0
2018-12-10,69.0
2018-12-11,68.0
2018-12-12,75.0
2018-12-13,52.0
2018-12-14,55.0
2018-12-17,46.0
2018-12-18,81.0
2018-12-19,84.0
2018-12-20,24.0
2018-12-21,40.0
2018-12-24,35.0
2018-12-25,35.0
2018-12-26,35.0
2018-12-27,10.0
2018-12-28,50.0
2018-12-31,971.0
2019-01-01,971.0
2019-01-02,146.0
2019-01-03,115.0
2019-01-04,55.0
2019-01-07,96.0
2019-01-08,85.0
2019-01-09,25.0
2019-01-10,43.0
2019-01-11,36.0
2019-01-14,42.0
2019-01-15,43.0
2019-01-16,42.0
2019-01-17,96.0
2019-01-18,63.0
2019-01-21,69.0
2019-01-22,47.0
2019-01-23,25.0
2019-01-24,25.0
2019-01-25,37.0
2019-01-28,68.0
2019-01-29,157.0
2019-01-30,106.0
2019-01-31,112.0
2019-02-01,102.0
2019-02-04,117.0
2019-02-05,117.0
2019-02-06,26.0
2019-02-07,28.0
2019-02-08,50.0
2019-02-11,46.0
2019-02-12,61.0
2019-02-13,20.0
2019-02-14,25.0
2019-02-15,66.0
2019-02-18,64.0
2019-02-19,102.0
2019-02-20,179.0
2019-02-21,118.0
2019-02-22,105.0
2019-02-25,72.0
2019-02-26,61.0
2019-02-27,13.0
2019-02-28,0.0
2019-03-01,0.0
2019-03-04,0.0
2019-03-05,0.0
2019-03-06,0.0
2019-03-07,0.0
2019-03-08,100.0
2019-03-11,0.0
2019-03-12,0.0
2019-03-13,1.0
2019-03-14,3.0
2019-03-15,1.0
2019-03-18,5.0
2019-03-19,12.0
2019-03-20,0.0
2019-03-21,0.0
2019-03-22,0.0
2019-03-25,0.0
2019-03-26,0.0
2019-03-27,18.0
2019-03-28,0.0
2019-03-29,535.0
2019-04-01,0.0
2019-04-02,0.0
2019-04-03,0.0
2019-04-04,1.0
2019-04-05,0.0
2019-04-08,0.0
2019-04-09,0.0
2019-04-10,141.0
2019-04-11,2.0
2019-04-12,53.0
2019-04-15,27.0
2019-04-16,23.0
2019-04-17,7.0
2019-04-18,3705.0
2019-04-19,3705.0
2019-04-22,3705.0
2019-04-23,0.0
2019-04-24,4.0
2019-04-25,0.0
2019-04-26,142.0
2019-04-29,12.0
2019-04-30,22.0
2019-05-01,22.0
2019-05-02,0.0
2019-05-03,0.0
2019-05-06,0.0
2019-05-07,0.0
2019-05-08,0.0
2019-05-09,0.0
2019-05-10,0.0
2019-05-13,1.0
2019-05-14,124.0
2019-05-15,3.0
2019-05-16,6.0
2019-05-17,0.0
2019-05-20,0.0
2019-05-21,0.0
2019-05-22,4.0
2019-05-23,9.0
2019-05-24,20.0
2019-05-27,16.0
2019-05-28,11.0
2019-05-29,0.0
2019-05-30,1.0
2019-05-31,120.0
2019-06-03,0.0
2019-06-04,0.0
2019-06-05,80.0
2019-06-06,61.0
2019-06-07,0.0
2019-06-10,4.0
2019-06-11,205.0
2019-06-12,0.0
2019-06-13,0.0
2019-06-14,0.0
2019-06-17,26.0
2019-06-18,0.0
2019-06-19,1.0
2019-06-20,0.0
2019-06-21,6.0
2019-06-24,4.0
2019-06-25,6.0
2019-06-26,28.0
2019-06-27,25.0
2019-06-28,4.0
2019-07-01,10.0
2019-07-02,1036.0
2019-07-03,0.0
2019-07-04,0.0
2019-07-05,0.0
2019-07-08,0.0
2019-07-09,0.0
2019-07-10,0.0
2019-07-11,2.0
2019-07-12,0.0
2019-07-15,13.0
2019-07-16,3.0
2019-07-17,0.0
2019-07-18,0.0
2019-07-19,0.0
2019-07-22,0.0
2019-07-23,4.0
2019-07-24,8.0
2019-07-25,10.0
2019-07-26,9.0
2019-07-29,35.0
2019-07-30,43.0
2019-07-31,8.0
2019-08-01,34.0
2019-08-02,28.0
2019-08-05,27.0
2019-08-06,23.0
2019-08-07,0.0
2019-08-08,0.0
2019-08-09,0.0
2019-08-12,6.0
2019-08-13,6.0
2019-08-14,6.0
2019-08-15,0.0
2019-08-16,19.0
2019-08-19,0.0
2019-08-20,1.0
2019-08-21,4.0
2019-08-22,30.0
2019-08-23,16.0
2019-08-26,30.0
2019-08-27,32.0
2019-08-28,40.0
2019-08-29,33.0
2019-08-30,0.0
2019-09-02,150.0
2019-09-03,250.0
2019-09-04,9.0
2019-09-05,17.0
2019-09-06,19.0
2019-09-09,21.0
2019-09-10,23.0
2019-09-11,1.0
2019-09-12,50.0
2019-09-13,50.0
2019-09-16,13.0
2019-09-17,58.0
2019-09-18,5.0
2019-09-19,0.0
2019-09-20,0.0
2019-09-23,15.0
2019-09-24,8.0
2019-09-25,212.0
2019-09-26,37.0
2019-09-27,22.0
2019-09-30,128.0
2019-10-01,251.0
2019-10-02,0.0
2019-10-03,109.0
2019-10-04,0.0
2019-10-07,0.0
2019-10-08,250.0
2019-10-09,0.0
2019-10-10,4.0
2019-10-11,6.0
2019-10-14,44.0
2019-10-15,30.0
2019-10-16,39.0
2019-10-17,4.0
2019-10-18,72.0
2019-10-21,10.0
2019-10-22,0.0
2019-10-23,104.0
2019-10-24,7.0
2019-10-25,46.0
2019-10-28,94.0
2019-10-29,53.0
2019-10-30,5.0
2019-10-31,220.0
2019-11-01,18.0
2019-11-04,0.0
2019-11-05,0.0
2019-11-06,13.0
2019-11-07,0.0
2019-11-08,35.0
2019-11-11,46.0
2019-11-12,17.0
2019-11-13,21.0
2019-11-14,45.0
2019-11-15,10.0
2019-11-18,42.0
2019-11-19,28.0
2019-11-20,3.0
2019-11-21,3.0
2019-11-22,3.0
2019-11-25,2.0
2019-11-26,15.0
2019-11-27,20.0
2019-11-28,14.0
2019-11-29,43.0
2019-12-02,2.0
2019-12-03,157.0
2019-12-04,5.0
2019-12-05,22.0
2019-12-06,17.0
2019-12-09,1.0
2019-12-10,43.0
2019-12-11,47.0
2019-12-12,12.0
2019-12-13,17.0
2019-12-16,12.0
2019-12-17,15.0
2019-12-18,27.0
2019-12-19,54.0
2019-12-20,280.0
2019-12-23,34.0
2019-12-24,2.0
2019-12-25,2.0
2019-12-26,2.0
2019-12-27,55.0
2019-12-30,135.0
2019-12-31,140.0
2020-01-01,140.0
2020-01-02,2.0
2020-01-03,1.0
2020-01-06,0.0
2020-01-07,0.0
2020-01-08,0.0
2020-01-09,0.0
2020-01-10,35.0
2020-01-13,36.0
2020-01-14,19.0
2020-01-15,0.0
2020-01-16,4.0
2020-01-17,5.0
2020-01-20,7.0
2020-01-21,8.0
2020-01-22,4.0
2020-01-23,9.0
2020-01-24,0.0
2020-01-27,10.0
2020-01-28,0.0
2020-01-29,5.0
2020-01-30,49.0
2020-01-31,0.0
2020-02-03,6.0
2020-02-04,19.0
2020-02-05,0.0
2020-02-06,0.0
2020-02-07,0.0
2020-02-10,0.0
2020-02-11,0.0
2020-02-12,23.0
2020-02-13,0.0
2020-02-14,177.0
2020-02-17,0.0
2020-02-18,5.0
2020-02-19,26.0
2020-02-20,15.0
2020-02-21,55.0
2020-02-24,22.0
2020-02-25,29.0
2020-02-26,36.0
2020-02-27,55.0
2020-02-28,0.0
2020-03-02,0.0
2020-03-03,0.0
2020-03-04,6.0
2020-03-05,8.0
2020-03-06,14.0
2020-03-09,16.0
2020-03-10,8.0
2020-03-11,13.0
2020-03-12,7.0
2020-03-13,8.0
2020-03-16,2.0
2020-03-17,0.0
2020-03-18,49.0
2020-03-19,18.0
2020-03-20,4.0
2020-03-23,1.0
2020-03-24,2.0
2020-03-25,0.0
2020-03-26,10.0
2020-03-27,3.0
2020-03-30,19.0
2020-03-31,0.0
2020-04-01,0.0
2020-04-02,0.0
2020-04-03,0.0
2020-04-06,0.0
2020-04-07,7.0
2020-04-08,12.0
2020-04-09,15.0
2020-04-10,15.0
2020-04-13,15.0
2020-04-14,6.0
2020-04-15,8.0
2020-04-16,0.0
2020-04-17,0.0
2020-04-20,1.0
2020-04-21,0.0
2020-04-22,0.0
2020-04-23,0.0
2020-04-24,3.0
2020-04-27,0.0
2020-04-28,0.0
2020-04-29,0.0
2020-04-30,0.0
2020-05-01,0.0
2020-05-04,21.0
2020-05-05,5.0
2020-05-06,0.0
