date,ILM.W.U2.C.A070200.U2.EUR
2014-09-19,366858.0
2014-09-26,367335.0
2014-10-03,367224.0
2014-10-10,367047.0
2014-10-17,367850.0
2014-10-24,368826.0
2014-10-31,364154.0
2014-11-07,364985.0
2014-11-14,364989.0
2014-11-21,364477.0
2014-11-28,366082.0
2014-12-05,367243.0
2014-12-12,368364.0
2014-12-19,370377.0
2014-12-26,370618.0
2015-01-02,375171.0
2015-01-09,374257.0
2015-01-16,373908.0
2015-01-23,374893.0
2015-01-30,376251.0
2015-02-06,374386.0
2015-02-13,377102.0
2015-02-20,378609.0
2015-02-27,377409.0
2015-03-06,376745.0
2015-03-13,374631.0
2015-03-20,374586.0
2015-03-27,375609.0
2015-04-03,378607.0
2015-04-10,378103.0
2015-04-17,376829.0
2015-04-24,377737.0
2015-05-01,374062.0
2015-05-08,375066.0
2015-05-15,373857.0
2015-05-22,373757.0
2015-05-29,373444.0
2015-06-05,373931.0
2015-06-12,374658.0
2015-06-19,373650.0
2015-06-26,374094.0
2015-07-03,367489.0
2015-07-10,365551.0
2015-07-17,361039.0
2015-07-24,360528.0
2015-07-31,359957.0
2015-08-07,358297.0
2015-08-14,359071.0
2015-08-21,358166.0
2015-08-28,359227.0
2015-09-04,359545.0
2015-09-11,358257.0
2015-09-18,358291.0
2015-09-25,358880.0
2015-10-02,359122.0
2015-10-09,359195.0
2015-10-16,359147.0
2015-10-23,360155.0
2015-10-30,358123.0
2015-11-06,357873.0
2015-11-13,358227.0
2015-11-20,358581.0
2015-11-27,359011.0
2015-12-04,358246.0
2015-12-11,359111.0
2015-12-18,358664.0
2015-12-25,358066.0
2016-01-01,358023.0
2016-01-08,356671.0
2016-01-15,355715.0
2016-01-22,355367.0
2016-01-29,353808.0
2016-02-05,352750.0
2016-02-12,352164.0
2016-02-19,352333.0
2016-02-26,351325.0
2016-03-04,351442.0
2016-03-11,350483.0
2016-03-18,350161.0
2016-03-25,350066.0
2016-04-01,350713.0
2016-04-08,350237.0
2016-04-15,349016.0
2016-04-22,349333.0
2016-04-29,346308.0
2016-05-06,347706.0
