date,ILM.W.U2.C.L050100.U2.EUR
2025-11-07,101532.0
2026-01-02,91077.0
2026-01-09,86644.0
2026-01-16,96496.0
2026-01-23,111509.0
2026-01-30,122301.0
2026-02-06,113022.0
2026-02-13,104186.0
2026-02-20,108614.0
2026-02-27,112787.0
2026-03-06,106667.0
2026-03-13,100442.0
2026-03-20,100542.0
2026-03-27,107366.0
2026-04-03,99246.0
2026-04-10,97336.0
2026-04-17,105578.0
2026-04-24,96953.0
2026-05-01,110722.0
2026-05-08,108015.0
2026-05-15,97257.0
2026-05-22,93656.0
2026-05-29,102611.0
2026-06-05,91119.0
2026-06-12,94614.0
2026-06-19,88562.0
2026-06-26,93787.0
2026-07-03,90266.0
2026-07-10,90080.0
2026-07-17,103055.0
2026-07-24,95687.0
2026-07-31,98537.0
2026-08-07,91230.0
2026-08-14,92729.0
2026-08-21,86605.0
2026-08-28,91497.0
2026-09-04,89275.0
