date,PEPP:public
2020-03-01,12980.0
2020-04-01,89053.0
2020-05-01,186603.0
2020-06-01,301354.0
2020-07-01,384464.0
2020-08-01,443270.0
2020-09-01,510112.0
2020-10-01,576733.0
2020-11-01,650272.0
2020-12-01,707439.0
2021-01-01,764710.0
2021-02-01,823795.0
2021-03-01,893844.0
2021-04-01,977599.0
2021-05-01,1058882.0
2021-06-01,1133398.0
2021-07-01,1220424.0
2021-08-01,1285498.0
2021-09-01,1353076.0
2021-10-01,1418979.0
2021-11-01,1485526.0
2021-12-01,1530811.0
2022-01-01,1580547.0
2022-02-01,1620170.0
2022-03-01,1644247.0
2022-04-01,1644247.0
2022-05-01,1644230.0
2022-06-01,1640493.0
2022-07-01,1639774.0
2022-08-01,1636958.0
2022-09-01,1631176.0
2022-10-01,1631034.0
2022-11-01,1630895.0
2022-12-01,1628540.0
2023-01-01,1628315.0
2023-02-01,1628296.0
2023-03-01,1623708.0
2023-04-01,1623610.0
2023-05-01,1623265.0
2023-06-01,1620037.0
2023-07-01,1619825.0
2023-08-01,1619589.0
2023-09-01,1615766.0
2023-10-01,1615111.0
2023-11-01,1615926.0
2023-12-01,1613999.0
2024-01-01,1613965.0
2024-02-01,1613953.0
2024-03-01,1610284.0
2024-04-01,1610245.0
2024-05-01,1610197.0
2024-06-01,1607818.0
2024-07-01,1600412.0
2024-08-01,1592919.0
2024-09-01,1585588.0
2024-10-01,1575440.0
2024-11-01,1568065.0
2024-12-01,1557802.0
2025-01-01,1545450.0
2025-02-01,1525040.0
2025-03-01,1498128.0
2025-04-01,1481851.0
2025-05-01,1468054.0
2025-06-01,1450234.0
2025-07-01,1435009.0
2025-08-01,1426016.0
2025-09-01,1415455.0
2025-10-01,1397959.0
2025-11-01,1385053.0
2025-12-01,1376929.0
2026-01-01,1370297.0
2026-02-01,1346636.0
2026-03-01,1327468.0
2026-04-01,1301647.0
2026-05-01,1289200.0
2026-06-01,1276960.0
2026-07-01,1252545.0
2026-08-01,1243325.0
