date,TGB.M.DE.N.A094T.U2.EUR.E
2014-10-01,468708.37
2014-11-01,467866.33
2014-12-01,460846.36
2015-01-01,515266.07
2015-02-01,513365.58
2015-03-01,531700.66
2015-04-01,532192.59
2015-05-01,526190.8
2015-06-01,531074.03
2015-07-01,542584.75
2015-08-01,561283.87
2015-09-01,555174.55
2015-10-01,562818.3
2015-11-01,592517.64
2015-12-01,584210.03
2016-01-01,586999.79
2016-02-01,605006.29
2016-03-01,609189.86
2016-04-01,625773.74
2016-05-01,655544.35
2016-06-01,681070.57
2016-07-01,660319.96
2016-08-01,677478.97
2016-09-01,715737.92
2016-10-01,708028.77
2016-11-01,754057.23
2016-12-01,754262.91
2017-01-01,795621.29
2017-02-01,814375.28
2017-03-01,829751.01
2017-04-01,843439.16
2017-05-01,857272.35
2017-06-01,860763.85
2017-07-01,856510.39
2017-08-01,852511.36
2017-09-01,878887.95
2017-10-01,848443.48
2017-11-01,855548.28
2017-12-01,906941.42
2018-01-01,882051.84
2018-02-01,913989.05
2018-03-01,923466.08
2018-04-01,902364.26
2018-05-01,956150.39
2018-06-01,976266.42
2018-07-01,913270.21
2018-08-01,912448.14
2018-09-01,956487.58
2018-10-01,927555.16
2018-11-01,941129.69
2018-12-01,966190.14
2019-01-01,868142.12
2019-02-01,872697.82
2019-03-01,941310.6
2019-04-01,919696.13
2019-05-01,934640.6
2019-06-01,942319.07
2019-07-01,870903.37
2019-08-01,897900.93
2019-09-01,915341.9
2019-10-01,837376.73
2019-11-01,870519.92
2019-12-01,895218.65
2020-01-01,811434.9
2020-02-01,821562.58
2020-03-01,935126.03
2020-04-01,918813.83
2020-05-01,916144.66
2020-06-01,995082.75
2020-07-01,1019214.08
2020-08-01,1056231.35
2020-09-01,1115189.25
2020-10-01,1047327.28
2020-11-01,1060263.48
2020-12-01,1136001.7
2021-01-01,1054993.8
2021-02-01,1043746.05
2021-03-01,1081989.47
2021-04-01,1024734.32
2021-05-01,1076918.53
2021-06-01,1101896.87
2021-07-01,1024970.29
2021-08-01,1037258.77
2021-09-01,1115126.08
2021-10-01,1066604.27
2021-11-01,1127545.13
2021-12-01,1260672.98
2022-01-01,1149867.81
2022-02-01,1149754.28
2022-03-01,1169952.3
2022-04-01,1135418.46
2022-05-01,1159715.72
2022-06-01,1216530.28
2022-07-01,1166154.83
2022-08-01,1245013.84
2022-09-01,1266646.73
2022-10-01,1230005.44
2022-11-01,1233980.45
2022-12-01,1269075.98
2023-01-01,1162354.32
2023-02-01,1114888.57
2023-03-01,1170619.97
2023-04-01,1069841.78
2023-05-01,1081900.21
2023-06-01,1068747.14
2023-07-01,1052218.46
2023-08-01,1056420.21
2023-09-01,1048058.71
2023-10-01,1058984.8
2023-11-01,1060074.12
2023-12-01,1093370.93
2024-01-01,1041902.5
2024-02-01,1075510.35
2024-03-01,1065759.03
2024-04-01,1047932.13
2024-05-01,1061110.5
2024-06-01,1090443.81
2024-07-01,1048437.6
2024-08-01,1075239.4
2024-09-01,1073511.59
2024-10-01,1064456.06
2024-11-01,1066511.37
2024-12-01,1046318.05
2025-01-01,1068023.46
2025-02-01,1080832.64
2025-03-01,1069171.97
2025-04-01,1075271.97
2025-05-01,1066843.03
2025-06-01,1051249.75
2025-07-01,1043875.52
2025-08-01,1060791.16
2025-09-01,1049600.16
2025-10-01,1046545.99
2025-11-01,1040700.31
2025-12-01,1023481.61
2026-01-01,1033412.13
2026-02-01,1017130.43
2026-03-01,1030779.71
2026-04-01,1059476.87
2026-05-01,1065689.64
2026-06-01,1043208.02
2026-07-01,1037116.1
