date,TGB.M.FR.N.A094T.U2.EUR.E
2014-10-01,-15034.94
2014-11-01,-20398.17
2014-12-01,-17008.66
2015-01-01,-53584.08
2015-02-01,-55131.02
2015-03-01,-16365.2
2015-04-01,-58764.17
2015-05-01,-72757.66
2015-06-01,-26205.88
2015-07-01,-47986.4
2015-08-01,-57261.55
2015-09-01,-35235.52
2015-10-01,-64101.63
2015-11-01,-73457.24
2015-12-01,-29241.5
2016-01-01,-42048.5
2016-02-01,-68080.97
2016-03-01,-24619.95
2016-04-01,-68523.89
2016-05-01,-44690.26
2016-06-01,-16901.44
2016-07-01,-33487.64
2016-08-01,-10578.22
2016-09-01,-36961.7
2016-10-01,-36064.08
2016-11-01,-38655.08
2016-12-01,-13803.13
2017-01-01,-12442.47
2017-02-01,-24668.25
2017-03-01,-611.3
2017-04-01,-28018.7
2017-05-01,-8554.54
2017-06-01,5130.64
2017-07-01,-12234.54
2017-08-01,9278.5
2017-09-01,-7085.87
2017-10-01,-28167.16
2017-11-01,-26988.24
2017-12-01,30039.94
2018-01-01,-8893.37
2018-02-01,-39814.44
2018-03-01,-65776.23
2018-04-01,-103424.87
2018-05-01,-83012.26
2018-06-01,-65339.87
2018-07-01,-48777.85
2018-08-01,-29874.81
2018-09-01,-67105.04
2018-10-01,-25813.45
2018-11-01,-46219.89
2018-12-01,-2296.65
2019-01-01,13521.96
2019-02-01,19821.19
2019-03-01,-26740.26
2019-04-01,-21188.0
2019-05-01,-22914.58
2019-06-01,2847.73
2019-07-01,35785.51
2019-08-01,-4023.37
2019-09-01,-36707.73
2019-10-01,-17677.67
2019-11-01,-29317.75
2019-12-01,28457.87
2020-01-01,-20904.46
2020-02-01,-44328.86
2020-03-01,-109383.55
2020-04-01,-68512.29
2020-05-01,-19998.9
2020-06-01,48263.5
2020-07-01,34399.61
2020-08-01,11346.74
2020-09-01,19868.36
2020-10-01,61811.91
2020-11-01,40412.13
2020-12-01,58296.47
2021-01-01,40493.4
2021-02-01,35259.38
2021-03-01,19512.38
2021-04-01,17998.52
2021-05-01,-16560.49
2021-06-01,-20026.56
2021-07-01,39499.45
2021-08-01,26795.89
2021-09-01,-18912.18
2021-10-01,43112.47
2021-11-01,20317.88
2021-12-01,25847.19
2022-01-01,-22963.37
2022-02-01,-49046.03
2022-03-01,-20979.69
2022-04-01,-39544.72
2022-05-01,-28276.56
2022-06-01,-104623.29
2022-07-01,-44186.32
2022-08-01,-91900.55
2022-09-01,-83816.0
2022-10-01,-78176.68
2022-11-01,-74972.44
2022-12-01,-14530.51
2023-01-01,-17746.81
2023-02-01,-18077.77
2023-03-01,-30819.59
2023-04-01,-21883.14
2023-05-01,-71572.36
2023-06-01,-73247.71
2023-07-01,-113756.07
2023-08-01,-76513.5
2023-09-01,-114485.54
2023-10-01,-125282.37
2023-11-01,-138293.92
2023-12-01,-27495.22
2024-01-01,-121615.14
2024-02-01,-170222.51
2024-03-01,-129614.06
2024-04-01,-135779.51
2024-05-01,-145293.24
2024-06-01,-111451.8
2024-07-01,-150355.07
2024-08-01,-140932.65
2024-09-01,-175281.31
2024-10-01,-209592.75
2024-11-01,-176851.64
2024-12-01,-108133.91
2025-01-01,-212424.68
2025-02-01,-208371.34
2025-03-01,-173646.51
2025-04-01,-209291.33
2025-05-01,-177852.1
2025-06-01,-194473.38
2025-07-01,-191618.96
2025-08-01,-191435.6
2025-09-01,-201481.73
2025-10-01,-240108.41
2025-11-01,-216717.8
2025-12-01,-158659.15
2026-01-01,-205219.45
2026-02-01,-167882.94
2026-03-01,-151528.15
2026-04-01,-187355.32
2026-05-01,-190430.87
2026-06-01,-196843.08
2026-07-01,-182480.77
