date,bond_redeemed_all
2018-09-14,13000.0
2018-10-12,17000.0
2018-12-14,13000.0
2019-01-04,24000.0
2019-02-22,16000.0
2019-03-15,13000.0
2019-04-12,16000.0
2019-06-14,13000.0
2019-07-04,24000.0
2019-09-13,13000.0
2019-10-11,16000.0
2019-12-13,13000.0
2020-01-06,22000.0
2020-03-13,13000.0
2020-04-15,16000.0
2020-04-17,20000.0
2020-06-12,12000.0
2020-07-06,22000.0
2020-09-04,16000.0
2020-09-11,12000.0
2020-10-16,19000.0
2020-12-11,12000.0
2021-01-04,19000.0
2021-03-12,13000.0
2021-04-09,21000.0
2021-06-11,14000.0
2021-07-05,19000.0
2021-09-06,16000.0
2021-09-10,13000.0
2021-10-08,21500.0
2021-12-10,15500.0
2022-01-04,22500.0
2022-03-11,14000.0
2022-04-08,20500.0
2022-06-10,15000.0
2022-07-04,26500.0
2022-09-05,20500.0
2022-09-16,15000.0
2022-10-07,19500.0
2022-12-15,14000.0
2023-02-15,20500.0
2023-03-10,16000.0
2023-04-14,18500.0
2023-04-17,16500.0
2023-05-15,22500.0
2023-06-16,16000.0
2023-08-15,22500.0
2023-09-15,16000.0
2023-10-13,18500.0
2023-12-15,18000.0
2024-02-15,22500.0
2024-03-15,19500.0
2024-04-05,23500.0
2024-05-15,22500.0
2024-06-14,17000.0
2024-08-15,22500.0
2024-09-13,17000.0
2024-10-18,22500.0
2024-12-12,16000.0
2025-02-17,30500.0
2025-03-13,17500.0
2025-04-11,23000.0
2025-06-12,17500.0
2025-07-04,18014.0
2025-08-15,30500.0
2025-09-18,17000.0
2025-10-10,36000.0
2025-11-04,8000.0
2025-12-12,19000.0
2026-02-16,33500.0
2026-03-04,8000.0
2026-03-19,19000.0
2026-04-10,28000.0
2026-04-15,19200.0
2026-06-18,19000.0
2026-07-06,18939.0
2026-08-17,32500.0
