issuer,kind,isin,auction,settlement,maturity,nominal,cash,cover,yield,source
EU,bill,EU000A3L3W70,2025-01-08,2025-01-10,2025-04-04,1391.0,1391.0,1.91,2.639,eu_news:results-08-01-2025-auction-eu-bills-2025-01-08_en
EU,bill,EU000A3L7AS4,2025-01-08,2025-01-10,2025-07-04,1400.0,1400.0,2.16,2.541,eu_news:results-08-01-2025-auction-eu-bills-2025-01-08_en
EU,bill,EU000A3L7AT2,2025-01-08,2025-01-10,2026-01-09,1449.0,1449.0,3.09,2.378,eu_news:results-08-01-2025-auction-eu-bills-2025-01-08_en
EU,bill,EU000A3L3W70,2025-01-22,2025-01-24,2025-04-04,1240.0,1240.0,1.45,2.615,eu_news:results-22-01-2025-auction-eu-bills-2025-01-22_en
EU,bill,EU000A3L7AS4,2025-01-22,2025-01-24,2025-07-04,1350.0,1350.0,1.73,2.505,eu_news:results-22-01-2025-auction-eu-bills-2025-01-22_en
EU,bill,EU000A3L7AT2,2025-01-22,2025-01-24,2026-01-09,950.0,950.0,2.94,2.345,eu_news:results-22-01-2025-auction-eu-bills-2025-01-22_en
EU,bill,EU000A3L48E6,2025-02-05,2025-02-07,2025-05-09,1350.0,1350.0,1.96,2.487,eu_news:results-05-02-2025-auction-eu-bills-2025-02-05_en
EU,bill,EU000A4D5544,2025-02-05,2025-02-07,2025-08-08,1371.0,1371.0,2.32,2.35,eu_news:results-05-02-2025-auction-eu-bills-2025-02-05_en
EU,bill,EU000A4D5551,2025-02-05,2025-02-07,2026-02-06,1472.0,1472.0,2.14,2.19,eu_news:results-05-02-2025-auction-eu-bills-2025-02-05_en
EU,bill,EU000A3L48E6,2025-02-19,2025-02-21,2025-05-09,1313.0,1313.0,2.06,2.456,eu_news:results-19-02-2025-auction-eu-bills-2025-02-19_en
EU,bill,EU000A4D5544,2025-02-19,2025-02-21,2025-08-08,1210.0,1210.0,2.08,2.354,eu_news:results-19-02-2025-auction-eu-bills-2025-02-19_en
EU,bill,EU000A4D5551,2025-02-19,2025-02-21,2026-02-06,838.0,838.0,2.76,2.245,eu_news:results-19-02-2025-auction-eu-bills-2025-02-19_en
EU,bill,EU000A3L6N78,2025-03-05,2025-03-07,2025-06-06,1369.0,1369.0,1.52,2.36,eu_news:results-05-03-2025-auction-eu-bills-2025-03-05_en
EU,bill,EU000A4D7LA8,2025-03-05,2025-03-07,2025-09-05,1266.0,1266.0,1.66,2.341,eu_news:results-05-03-2025-auction-eu-bills-2025-03-05_en
EU,bill,EU000A4D7LB6,2025-03-05,2025-03-07,2026-03-06,1325.0,1325.0,1.51,2.244,eu_news:results-05-03-2025-auction-eu-bills-2025-03-05_en
EU,bill,EU000A3L6N78,2025-03-19,2025-03-21,2025-06-06,1271.0,1271.0,1.23,2.34,eu_news:results-19-03-2025-auction-eu-bills-2025-03-19_en
EU,bill,EU000A4D7LA8,2025-03-19,2025-03-21,2025-09-05,1243.0,1243.0,1.42,2.297,eu_news:results-19-03-2025-auction-eu-bills-2025-03-19_en
EU,bill,EU000A4D7LB6,2025-03-19,2025-03-21,2026-03-06,995.0,995.0,1.71,2.243,eu_news:results-19-03-2025-auction-eu-bills-2025-03-19_en
