date,fiscal_impulse_v04_weekly
2026-01-02,79286.589
2026-01-09,17599.809
2026-01-16,22662.61
2026-01-23,4822.609
2026-01-30,31791.864
2026-02-06,22837.024
2026-02-13,44140.444
2026-02-20,20333.209
2026-02-27,33280.46
2026-03-06,24247.313
2026-03-13,36757.454
2026-03-20,14657.188
2026-03-27,27468.904
2026-04-03,37294.919
2026-04-10,15396.694
2026-04-17,22002.366
2026-04-24,45491.052
2026-05-01,3262.976
2026-05-08,25146.87
2026-05-15,51307.3
2026-05-22,19198.046
2026-05-29,23868.805
2026-06-05,31911.669
2026-06-12,27594.142
2026-06-19,17435.495
2026-06-26,36324.619
2026-07-03,15451.246
2026-07-10,23231.069
2026-07-17,5119.231
2026-07-24,39363.382
2026-07-31,3095.334
2026-08-07,21922.234
2026-08-14,25911.478
2026-08-21,14583.862
2026-08-28,23734.992
2026-09-04,16656.437
