Ministero dell'Economia e delle Finanze;;;;;;;;;
Direzione Debito Pubblico;;;;;;;;;
Scadenze suddivise per anno;;;;;;;;;
(Aggiornamento al 31 maggio 2025);;;;;;;;;
Codice ISIN;Tipo titolo;Emissione;Scadenza;Cedola/Spread;Valuta;Circolante Euro (rivalutato);Circolante Euro (nominale);;
IT0005580003;BOT 12m;12/01/2024;14/01/2025;-;EUR;9.650.000.000,00;9.650.000.000,00;;
IT0005607459;BOT 6m;31/07/2024;31/01/2025;-;EUR;9.350.000.000,00;9.350.000.000,00;;
IT0005582868;BOT 12m;14/02/2024;14/02/2025;-;EUR;9.900.000.000,00;9.900.000.000,00;;
IT0005586349;BOT 12m;14/03/2024;14/03/2025;-;EUR;9.700.000.000,00;9.700.000.000,00;;
IT0005614182;BOT 6m;30/09/2024;31/03/2025;-;EUR;9.350.000.000,00;9.350.000.000,00;;
IT0005592370;BOT 12m;12/04/2024;14/04/2025;-;EUR;9.925.000.000,00;9.925.000.000,00;;
IT0005595605;BOT 12m;14/05/2024;14/05/2025;-;EUR;10.160.343.000,00;10.160.343.000,00;;
IT0005624447;BOT 6m;29/11/2024;30/05/2025;-;EUR;8.198.829.000,00;8.198.829.000,00;;
IT0005599474;BOT 12m;14/06/2024;13/06/2025;-;EUR;9.754.100.000,00;9.754.100.000,00;;
IT0005603342;BOT 12m;12/07/2024;14/07/2025;-;EUR;8.800.000.000,00;8.800.000.000,00;;
IT0005633786;BOT 6m;31/01/2025;31/07/2025;-;EUR;9.675.000.000,00;9.675.000.000,00;;
IT0005610297;BOT 12m;14/08/2024;14/08/2025;-;EUR;7.675.867.000,00;7.675.867.000,00;;
IT0005611659;BOT 12m;13/09/2024;12/09/2025;-;EUR;9.700.000.000,00;9.700.000.000,00;;
IT0005643009;BOT 6m;31/03/2025;30/09/2025;-;EUR;9.900.000.000,00;9.900.000.000,00;;
IT0005617367;BOT 12m;14/10/2024;14/10/2025;-;EUR;7.500.000.000,00;7.500.000.000,00;;
IT0005621401;BOT 12m;14/11/2024;14/11/2025;-;EUR;8.250.000.000,00;8.250.000.000,00;;
IT0005652554;BOT 6m;30/05/2025;28/11/2025;-;EUR;7.150.000.000,00;7.150.000.000,00;;
IT0005627853;BOT 12m;13/12/2024;12/12/2025;-;EUR;9.350.000.000,00;9.350.000.000,00;;
IT0005386245;BTP 5;01/10/2019;01/02/2025;0,350;EUR;16.798.697.000,00;16.798.697.000,00;;
IT0004513641;BTP 15;01/03/2009;01/03/2025;5,000;EUR;23.403.793.000,00;23.403.793.000,00;;
IT0005534281;BTP Short;24/02/2023;28/03/2025;3,400;EUR;14.622.363.000,00;14.622.363.000,00;;
IT0005327306;BTP 7;15/03/2018;15/05/2025;1,450;EUR;15.419.125.000,00;15.419.125.000,00;;
IT0005090318;BTP 10;02/03/2015;01/06/2025;1,500;EUR;18.955.393.000,00;18.955.393.000,00;;
IT0005408502;BTP 5;28/04/2020;01/07/2025;1,850;EUR;16.392.077.000,00;16.392.077.000,00;;
IT0005493298;BTP 3;19/04/2022;15/08/2025;1,200;EUR;13.426.177.000,00;13.426.177.000,00;;
IT0005557084;BTP Short;27/07/2023;29/09/2025;3,600;EUR;15.500.000.000,00;15.500.000.000,00;;
IT0005345183;BTP 7;17/09/2018;15/11/2025;2,500;EUR;18.343.597.000,00;18.343.597.000,00;;
IT0005127086;BTP 10;01/09/2015;01/12/2025;2,000;EUR;19.427.596.000,00;19.427.596.000,00;;
IT0005410904;BTP Italia 4;26/05/2020;26/05/2025; 1,400  Cedola reale;EUR;18.639.834.729,92;18.474.121.856,86;;
IT0005359846;CCTeu;15/01/2019;15/01/2025;1,850;EUR;10.099.875.000,00;10.099.875.000,00;;
IT0005311508;CCTeu;15/10/2017;15/04/2025;0,950;EUR;16.214.847.000,00;16.214.847.000,00;;
IT0005331878;CCTeu;15/03/2018;15/09/2025;0,550;EUR;13.968.088.000,00;13.968.088.000,00;;
XS0233944056;EMTN;09/11/2005;09/11/2025;Variabile;EUR;200.000.000,00;200.000.000,00;;
XF0000B49748;EUROBOND;06/09/2010;03/03/2025;4,200;EUR;125.000.000,00;125.000.000,00;;
SURE;3^ tranche;17/11/2020;04/11/2025;0,000;EUR;3.100.000.000,00;3.100.000.000,00;;
IT0005631533;BOT 12m;14/01/2025;14/01/2026;-;EUR;8.000.000.000,00;8.000.000.000,00;;
IT0005635351;BOT 12m;14/02/2025;13/02/2026;-;EUR;8.800.000.000,00;8.800.000.000,00;;
IT0005640666;BOT 12m;14/03/2025;13/03/2026;-;EUR;9.900.000.000,00;9.900.000.000,00;;
IT0005645509;BOT 12m;14/04/2025;14/04/2026;-;EUR;7.700.000.000,00;7.700.000.000,00;;
IT0005650574;BOT 12m;14/05/2025;14/05/2026;-;EUR;8.500.000.000,00;8.500.000.000,00;;
IT0005584302;BTP Short;27/02/2024;28/01/2026;3,200;EUR;15.700.000.000,00;15.700.000.000,00;;
IT0005514473;BTP 3;17/10/2022;15/01/2026;3,500;EUR;17.325.000.000,00;17.325.000.000,00;;
IT0005419848;BTP 5;01/08/2020;01/02/2026;0,500;EUR;17.487.000.000,00;17.487.000.000,00;;
IT0004644735;BTP 15;01/09/2010;01/03/2026;4,500;EUR;21.524.898.000,00;21.524.898.000,00;;
IT0005437147;BTP 5;01/03/2021;01/04/2026;0,000;EUR;19.210.309.000,00;19.210.309.000,00;;
IT0005538597;BTP 3;16/03/2023;15/04/2026;3,710;EUR;15.845.893.000,00;15.845.893.000,00;;
IT0005170839;BTP 10;01/03/2016;01/06/2026;1,600;EUR;20.927.500.000,00;20.927.500.000,00;;
IT0005370306;BTP 7;15/04/2019;15/07/2026;2,100;EUR;16.785.321.000,00;16.785.321.000,00;;
IT0005454241;BTP 5;01/08/2021;01/08/2026;0,000;EUR;16.305.701.000,00;16.305.701.000,00;;
IT0005607269;BTP Short;29/07/2024;28/08/2026;3,100;EUR;15.146.167.000,00;15.146.167.000,00;;
IT0005556011;BTP 3;17/07/2023;15/09/2026;3,850;EUR;18.350.000.000,00;18.350.000.000,00;;
IT0001086567;BTP 30;01/11/1996;01/11/2026;7,250;EUR;12.423.130.223,44;12.423.130.223,44;;
IT0005210650;BTP 10;01/08/2016;01/12/2026;1,250;EUR;19.396.843.000,00;19.396.843.000,00;;
IT0005332827;BTP Italia 8;21/05/2018;21/05/2026; 0,550  Cedola reale;EUR;7.174.970.388,00;7.112.169.927,54;;
IT0005415416;BTP�i 5;29/06/2020;15/05/2026; 0,650  Cedola reale;EUR;11.512.551.162,98;9.549.625.617,34;;
IT0004735152;BTP�i 15;15/03/2011;15/09/2026; 3,100  Cedola reale;EUR;16.951.003.220,58;12.646.699.161,10;;
IT0005428617;CCTeu;15/10/2020;15/04/2026;0,500;EUR;17.469.930.000,00;17.469.930.000,00;;
US465410CA47;GLOBAL;24/11/2020;17/02/2026;1,250;USD;2.530.085.618,00;2.530.085.618,00;;
XS0253994809;EMTN;11/05/2006;11/05/2026;Variabile;EUR;215.000.000,00;215.000.000,00;;
ITSSD1603026;EUROBOND;16/03/2009;16/03/2026;5,260;EUR;258.000.000,00;258.000.000,00;;
SURE;7^ tranche;30/03/2021;04/03/2026;0,000;EUR;670.000.000,00;670.000.000,00;;
IT0005390874;BTP 7;15/11/2019;15/01/2027;0,850;EUR;18.841.928.000,00;18.841.928.000,00;;
IT0005580045;BTP 3;15/01/2024;15/02/2027;2,950;EUR;17.300.000.000,00;17.300.000.000,00;;
IT0005633794;BTP Short;30/01/2025;25/02/2027;2,550;EUR;17.150.000.000,00;17.150.000.000,00;;
IT0005484552;BTP 5;01/03/2022;01/04/2027;1,100;EUR;17.100.000.000,00;17.100.000.000,00;;
IT0005240830;BTP 10;01/02/2017;01/06/2027;2,200;EUR;18.869.551.000,00;18.869.551.000,00;;
IT0005599904;BTP 3;17/06/2024;15/07/2027;3,200;EUR;14.121.391.000,00;14.121.391.000,00;;
