date,LPMBC57
2016-09-30,377715.0
2016-10-31,373477.0
2016-11-30,373181.0
2016-12-31,376090.0
2017-01-31,379052.0
2017-02-28,382125.0
2017-03-31,386813.0
2017-04-30,387489.0
2017-05-31,391236.0
2017-06-30,396125.0
2017-07-31,362606.0
2017-08-31,361743.0
2017-09-30,366714.0
2017-10-31,364671.0
2017-11-30,362412.0
2017-12-31,363852.0
2018-01-31,359596.0
2018-02-28,360359.0
2018-03-31,359082.0
2018-04-30,392709.0
2018-05-31,397276.0
2018-06-30,404609.0
2018-07-31,405245.0
2018-08-31,405971.0
2018-09-30,405255.0
2018-10-31,405427.0
2018-11-30,404497.0
2018-12-31,405062.0
2019-01-31,406709.0
2019-02-28,405894.0
2019-03-31,408819.0
2019-04-30,406132.0
2019-05-31,407650.0
2019-06-30,412127.0
2019-07-31,413603.0
2019-08-31,415949.0
2019-09-30,418639.0
2019-10-31,418082.0
2019-11-30,418159.0
2019-12-31,416310.0
2020-01-31,414188.0
2020-02-29,409588.0
2020-03-31,436591.0
2020-04-30,435777.0
2020-05-31,450197.0
2020-06-30,454274.0
2020-07-31,453121.0
2020-08-31,450795.0
2020-09-30,451376.0
2020-10-31,449678.0
2020-11-30,452560.0
2020-12-31,457082.0
2021-01-31,454328.0
2021-02-28,455558.0
2021-03-31,461640.0
2021-04-30,455179.0
2021-05-31,451876.0
2021-06-30,459589.0
2021-07-31,455760.0
2021-08-31,454681.0
2021-09-30,450315.0
2021-10-31,453708.0
2021-11-30,451791.0
2021-12-31,453823.0
2022-01-31,451147.0
2022-02-28,452562.0
2022-03-31,460400.0
2022-04-30,462675.0
2022-05-31,462847.0
2022-06-30,455671.0
2022-07-31,457407.0
2022-08-31,455805.0
2022-09-30,454484.0
2022-10-31,454693.0
2022-11-30,451024.0
2022-12-31,451681.0
2023-01-31,450705.0
2023-02-28,448623.0
2023-03-31,455177.0
2023-04-30,452991.0
2023-05-31,450361.0
2023-06-30,445216.0
2023-07-31,443960.0
2023-08-31,443158.0
2023-09-30,442631.0
2023-10-31,443089.0
2023-11-30,443492.0
2023-12-31,443924.0
2024-01-31,444375.0
2024-02-29,445768.0
2024-03-31,450974.0
2024-04-30,447808.0
2024-05-31,449982.0
2024-06-30,453910.0
2024-07-31,453684.0
2024-08-31,452697.0
2024-09-30,453815.0
2024-10-31,454700.0
2024-11-30,458264.0
2024-12-31,461646.0
2025-01-31,462856.0
2025-02-28,463730.0
2025-03-31,465099.0
2025-04-30,468485.0
2025-05-31,471167.0
2025-06-30,472934.0
2025-07-31,475505.0
2025-08-31,479082.0
2025-09-30,483532.0
2025-10-31,482759.0
2025-11-30,492909.0
2025-12-31,498094.0
2026-01-31,499234.0
2026-02-28,506148.0
2026-03-31,508248.0
2026-04-30,509172.0
2026-05-31,513360.0
2026-06-30,516867.0
2026-07-31,518220.0
