date,LPMVTVX
2016-09-30,64262.0
2016-10-31,67935.0
2016-11-30,68422.0
2016-12-31,68381.0
2017-01-31,68010.0
2017-02-28,68141.0
2017-03-31,68005.0
2017-04-30,67038.0
2017-05-31,65941.0
2017-06-30,65422.0
2017-07-31,68581.0
2017-08-31,66847.0
2017-09-30,66361.0
2017-10-31,65273.0
2017-11-30,65655.0
2017-12-31,62319.0
2018-01-31,65873.0
2018-02-28,63003.0
2018-03-31,63046.0
2018-04-30,63246.0
2018-05-31,65019.0
2018-06-30,65955.0
2018-07-31,64845.0
2018-08-31,66750.0
2018-09-30,66004.0
2018-10-31,68292.0
2018-11-30,64986.0
2018-12-31,64425.0
2019-01-31,65126.0
2019-02-28,64150.0
2019-03-31,62146.0
2019-04-30,65822.0
2019-05-31,65474.0
2019-06-30,66599.0
2019-07-31,67313.0
2019-08-31,66055.0
2019-09-30,66251.0
2019-10-31,66352.0
2019-11-30,66669.0
2019-12-31,67640.0
2020-01-31,69507.0
2020-02-29,71581.0
2020-03-31,56172.0
2020-04-30,15888.0
2020-05-31,9360.0
2020-06-30,40375.0
2020-07-31,66660.0
2020-08-31,85230.0
2020-09-30,92657.0
2020-10-31,100892.0
2020-11-30,107801.0
2020-12-31,103399.0
2021-01-31,97181.0
2021-02-28,84411.0
2021-03-31,80907.0
2021-04-30,85102.0
2021-05-31,86023.0
2021-06-30,79325.0
2021-07-31,72563.0
2021-08-31,71056.0
2021-09-30,70574.0
2021-10-31,68335.0
2021-11-30,69467.0
2021-12-31,72795.0
2022-01-31,73949.0
2022-02-28,68151.0
2022-03-31,68641.0
2022-04-30,65749.0
2022-05-31,66363.0
2022-06-30,62949.0
2022-07-31,62829.0
2022-08-31,72198.0
2022-09-30,64911.0
2022-10-31,57801.0
2022-11-30,46719.0
2022-12-31,41509.0
2023-01-31,39798.0
2023-02-28,42811.0
2023-03-31,50893.0
2023-04-30,48637.0
2023-05-31,50905.0
2023-06-30,54705.0
2023-07-31,49374.0
2023-08-31,45321.0
2023-09-30,44027.0
2023-10-31,48082.0
2023-11-30,50287.0
2023-12-31,52530.0
2024-01-31,56032.0
2024-02-29,59676.0
2024-03-31,61146.0
2024-04-30,61208.0
2024-05-31,60800.0
2024-06-30,61254.0
2024-07-31,62854.0
2024-08-31,65361.0
2024-09-30,65596.0
2024-10-31,67846.0
2024-11-30,65907.0
2024-12-31,66942.0
2025-01-31,66270.0
2025-02-28,64611.0
2025-03-31,63461.0
2025-04-30,59736.0
2025-05-31,62618.0
2025-06-30,64721.0
2025-07-31,65905.0
2025-08-31,65278.0
2025-09-30,66053.0
2025-10-31,64762.0
2025-11-30,64592.0
2025-12-31,61395.0
2026-01-31,60145.0
2026-02-28,62278.0
2026-03-31,62920.0
2026-04-30,65044.0
2026-05-31,56396.0
2026-06-30,58215.0
2026-07-31,56053.0
