date,LPMVWNQ
2016-09-30,274.0
2016-10-31,-2336.0
2016-11-30,1012.0
2016-12-31,-284.0
2017-01-31,2654.0
2017-02-28,1335.0
2017-03-31,2713.0
2017-04-30,1298.0
2017-05-31,2103.0
2017-06-30,471.0
2017-07-31,1056.0
2017-08-31,626.0
2017-09-30,279.0
2017-10-31,729.0
2017-11-30,100.0
2017-12-31,371.0
2018-01-31,653.0
2018-02-28,1979.0
2018-03-31,335.0
2018-04-30,449.0
2018-05-31,110.0
2018-06-30,2428.0
2018-07-31,2231.0
2018-08-31,-41.0
2018-09-30,1692.0
2018-10-31,2660.0
2018-11-30,3200.0
2018-12-31,2611.0
2019-01-31,2754.0
2019-02-28,-708.0
2019-03-31,1246.0
2019-04-30,2049.0
2019-05-31,1364.0
2019-06-30,1907.0
2019-07-31,1492.0
2019-08-31,2350.0
2019-09-30,3236.0
2019-10-31,931.0
2019-11-30,-2188.0
2019-12-31,-2242.0
2020-01-31,-1143.0
2020-02-29,-1205.0
2020-03-31,28087.0
2020-04-30,-266.0
2020-05-31,11233.0
2020-06-30,4118.0
2020-07-31,-611.0
2020-08-31,-1613.0
2020-09-30,-37.0
2020-10-31,-1152.0
2020-11-30,1020.0
2020-12-31,376.0
2021-01-31,-1878.0
2021-02-28,1728.0
2021-03-31,2769.0
2021-04-30,-4304.0
2021-05-31,-1772.0
2021-06-30,7091.0
2021-07-31,-3086.0
2021-08-31,-787.0
2021-09-30,-1729.0
2021-10-31,-1000.0
2021-11-30,-554.0
2021-12-31,925.0
2022-01-31,2067.0
2022-02-28,-64.0
2022-03-31,1855.0
2022-04-30,308.0
2022-05-31,597.0
2022-06-30,-1029.0
2022-07-31,-139.0
2022-08-31,945.0
2022-09-30,524.0
2022-10-31,262.0
2022-11-30,-2826.0
2022-12-31,822.0
2023-01-31,-2769.0
2023-02-28,306.0
2023-03-31,-862.0
2023-04-30,-1093.0
2023-05-31,227.0
2023-06-30,-1416.0
2023-07-31,591.0
2023-08-31,234.0
2023-09-30,825.0
2023-10-31,-406.0
2023-11-30,678.0
2023-12-31,-781.0
2024-01-31,1430.0
2024-02-29,-325.0
2024-03-31,569.0
2024-04-30,431.0
2024-05-31,582.0
2024-06-30,1251.0
2024-07-31,2266.0
2024-08-31,1869.0
2024-09-30,2284.0
2024-10-31,4158.0
2024-11-30,1014.0
2024-12-31,743.0
2025-01-31,1106.0
2025-02-28,819.0
2025-03-31,839.0
2025-04-30,1898.0
2025-05-31,3006.0
2025-06-30,4225.0
2025-07-31,3946.0
2025-08-31,3756.0
2025-09-30,3205.0
2025-10-31,565.0
2025-11-30,4524.0
2025-12-31,5199.0
2026-01-31,3065.0
2026-02-28,2338.0
2026-03-31,6271.0
2026-04-30,4537.0
2026-05-31,2268.0
2026-06-30,2633.0
2026-07-31,1928.0
