date,RPMB53Q
2016-09-30,1980347.0
2016-10-31,1992266.0
2016-11-30,1987521.0
2016-12-31,1995067.0
2017-01-31,2000046.0
2017-02-28,2008470.0
2017-03-31,2026932.0
2017-04-30,2036208.0
2017-05-31,2042683.0
2017-06-30,2051126.0
2017-07-31,2047273.0
2017-08-31,2064516.0
2017-09-30,2074163.0
2017-10-31,2077545.0
2017-11-30,2087605.0
2017-12-31,2090531.0
2018-01-31,2105550.0
2018-02-28,2102780.0
2018-03-31,2100605.0
2018-04-30,2107612.0
2018-05-31,2130834.0
2018-06-30,2128811.0
2018-07-31,2123959.0
2018-08-31,2130019.0
2018-09-30,2128192.0
2018-10-31,2134675.0
2018-11-30,2136775.0
2018-12-31,2148904.0
2019-01-31,2146699.0
2019-02-28,2152494.0
2019-03-31,2156978.0
2019-04-30,2167242.0
2019-05-31,2171840.0
2019-06-30,2173928.0
2019-07-31,2188745.0
2019-08-31,2203327.0
2019-09-30,2209433.0
2019-10-31,2212845.0
2019-11-30,2225151.0
2019-12-31,2231189.0
2020-01-31,2240051.0
2020-02-29,2249392.0
2020-03-31,2320580.0
2020-04-30,2365420.0
2020-05-31,2420154.0
2020-06-30,2435923.0
2020-07-31,2461470.0
2020-08-31,2459256.0
2020-09-30,2466192.0
2020-10-31,2493114.0
2020-11-30,2522561.0
2020-12-31,2534488.0
2021-01-31,2567127.0
2021-02-28,2584107.0
2021-03-31,2597102.0
2021-04-30,2616234.0
2021-05-31,2622031.0
2021-06-30,2641243.0
2021-07-31,2646628.0
2021-08-31,2655520.0
2021-09-30,2668110.0
2021-10-31,2687809.0
2021-11-30,2701483.0
2021-12-31,2701910.0
2022-01-31,2708107.0
2022-02-28,2714960.0
2022-03-31,2743039.0
2022-04-30,2741539.0
2022-05-31,2763348.0
2022-06-30,2761902.0
2022-07-31,2773704.0
2022-08-31,2786963.0
2022-09-30,2861162.0
2022-10-31,2837464.0
2022-11-30,2807509.0
2022-12-31,2771360.0
2023-01-31,2802950.0
2023-02-28,2798519.0
2023-03-31,2778417.0
2023-04-30,2779677.0
2023-05-31,2776229.0
2023-06-30,2774197.0
2023-07-31,2770798.0
2023-08-31,2767231.0
2023-09-30,2739305.0
2023-10-31,2749945.0
2023-11-30,2746166.0
2023-12-31,2761560.0
2024-01-31,2761625.0
2024-02-29,2771119.0
2024-03-31,2784317.0
2024-04-30,2794673.0
2024-05-31,2800167.0
2024-06-30,2803722.0
2024-07-31,2818303.0
2024-08-31,2821064.0
2024-09-30,2829816.0
2024-10-31,2848014.0
2024-11-30,2849683.0
2024-12-31,2856719.0
2025-01-31,2886661.0
2025-02-28,2888670.0
2025-03-31,2898599.0
2025-04-30,2905510.0
2025-05-31,2911269.0
2025-06-30,2923020.0
2025-07-31,2931924.0
2025-08-31,2944207.0
2025-09-30,2958952.0
2025-10-31,2968427.0
2025-11-30,2985895.0
2025-12-31,3002214.0
2026-01-31,2991019.0
2026-02-28,3004681.0
2026-03-31,3028048.0
2026-04-30,3033199.0
2026-05-31,3047950.0
2026-06-30,3062963.0
2026-07-31,3054160.0
