date,RPWB55A
2020-08-12,81388.0
2020-08-19,81288.0
2020-08-26,81348.0
2020-09-02,81664.0
2020-09-09,81695.0
2020-09-16,81720.0
2020-09-23,81793.0
2020-09-30,82060.0
2020-10-07,82108.0
2020-10-14,82019.0
2020-10-21,82130.0
2020-10-28,82304.0
2020-11-04,82450.0
2020-11-11,82551.0
2020-11-18,82540.0
2020-11-25,82708.0
2020-12-02,83163.0
2020-12-09,83783.0
2020-12-16,84306.0
2020-12-23,85246.0
2020-12-30,85394.0
2021-01-06,85086.0
2021-01-13,84408.0
2021-01-20,84100.0
2021-01-27,84120.0
2021-02-03,84258.0
2021-02-10,84220.0
2021-02-17,84387.0
2021-02-24,84446.0
2021-03-03,84749.0
2021-03-10,84948.0
2021-03-17,85227.0
2021-03-24,85553.0
2021-03-31,86016.0
2021-04-07,86598.0
2021-04-14,86444.0
2021-04-21,86413.0
2021-04-28,86692.0
2021-05-05,87018.0
2021-05-12,87139.0
2021-05-19,87369.0
2021-05-26,87400.0
2021-06-02,87778.0
2021-06-09,87682.0
2021-06-16,87580.0
2021-06-23,87503.0
2021-06-30,87586.0
2021-07-07,87741.0
2021-07-14,87693.0
2021-07-21,87746.0
2021-07-28,87961.0
2021-08-04,88025.0
2021-08-11,88039.0
2021-08-18,87916.0
2021-08-25,88037.0
2021-09-01,88321.0
2021-09-08,88220.0
2021-09-15,88168.0
2021-09-22,88003.0
2021-09-29,88143.0
2021-10-06,88039.0
2021-10-13,88056.0
2021-10-20,88024.0
2021-10-27,87993.0
2021-11-03,88036.0
2021-11-10,87950.0
2021-11-17,87863.0
2021-11-24,88028.0
2021-12-01,88158.0
2021-12-08,88403.0
2021-12-15,88635.0
2021-12-22,89127.0
2021-12-29,89334.0
2022-01-05,88763.0
2022-01-12,87609.0
2022-01-19,87140.0
2022-01-26,86766.0
2022-02-02,86642.0
2022-02-09,86646.0
2022-02-16,86488.0
2022-02-23,86326.0
2022-03-02,86414.0
2022-03-09,86563.0
2022-03-16,86699.0
2022-03-23,86818.0
2022-03-30,86957.0
2022-04-06,86943.0
2022-04-13,87151.0
2022-04-20,87361.0
2022-04-27,87224.0
2022-05-04,87326.0
2022-05-11,87346.0
2022-05-18,87246.0
2022-05-25,87322.0
2022-06-01,88423.0
2022-06-08,88048.0
2022-06-15,87622.0
2022-06-22,87384.0
2022-06-29,87455.0
2022-07-06,87468.0
2022-07-13,87570.0
2022-07-20,87605.0
2022-07-27,87730.0
2022-08-03,87782.0
2022-08-10,87676.0
2022-08-17,87501.0
2022-08-24,87424.0
2022-08-31,87595.0
2022-09-07,87337.0
2022-09-14,87053.0
2022-09-21,87329.0
2022-09-28,87040.0
2022-10-05,86761.0
2022-10-12,86460.0
2022-10-19,86320.0
2022-10-26,86284.0
2022-11-02,86400.0
2022-11-09,86306.0
2022-11-16,86356.0
2022-11-23,86626.0
2022-11-30,86889.0
2022-12-07,87247.0
2022-12-14,87578.0
2022-12-21,88051.0
2022-12-28,88580.0
2023-01-04,87859.0
2023-01-11,86716.0
2023-01-18,86285.0
2023-01-25,86032.0
2023-02-01,85901.0
2023-02-08,85910.0
2023-02-15,85832.0
2023-02-22,85878.0
2023-03-01,85886.0
2023-03-08,85964.0
2023-03-15,85930.0
2023-03-22,85952.0
2023-03-29,86006.0
2023-04-05,86345.0
2023-04-12,86704.0
2023-04-19,86204.0
2023-04-26,86239.0
2023-05-03,86688.0
2023-05-10,86846.0
2023-05-17,86696.0
2023-05-24,86697.0
2023-05-31,86903.0
2023-06-07,86907.0
2023-06-14,86903.0
2023-06-21,86699.0
2023-06-28,86732.0
2023-07-05,87006.0
2023-07-12,86984.0
2023-07-19,86845.0
2023-07-26,86889.0
2023-08-02,86824.0
2023-08-09,86799.0
2023-08-16,86687.0
2023-08-23,86671.0
2023-08-30,86864.0
2023-09-06,86685.0
2023-09-13,86608.0
2023-09-20,86540.0
2023-09-27,86613.0
2023-10-04,86629.0
2023-10-11,86597.0
2023-10-18,86670.0
2023-10-25,86641.0
2023-11-01,86787.0
2023-11-08,86901.0
2023-11-15,86965.0
2023-11-22,87127.0
2023-11-29,87333.0
2023-12-06,87556.0
2023-12-13,87887.0
2023-12-20,88512.0
2023-12-27,89254.0
2024-01-03,88468.0
2024-01-10,87507.0
2024-01-17,87082.0
2024-01-24,86954.0
2024-01-31,86814.0
2024-02-07,86860.0
2024-02-14,86826.0
2024-02-21,86914.0
2024-02-28,87004.0
2024-03-06,87223.0
2024-03-13,87292.0
2024-03-20,87329.0
2024-03-27,87677.0
2024-04-03,88017.0
2024-04-10,87717.0
2024-04-17,87615.0
2024-04-24,87620.0
2024-05-01,87837.0
2024-05-08,88078.0
2024-05-15,88007.0
2024-05-22,88153.0
2024-05-29,88370.0
2024-06-05,88366.0
2024-06-12,88376.0
2024-06-19,88404.0
2024-06-26,88608.0
2024-07-03,88693.0
2024-07-10,88785.0
2024-07-17,88770.0
2024-07-24,88919.0
2024-07-31,88994.0
2024-08-07,88959.0
2024-08-14,89006.0
2024-08-21,89085.0
2024-08-28,89266.0
2024-09-04,88985.0
2024-09-11,88929.0
2024-09-18,88938.0
2024-09-25,88976.0
2024-10-02,89109.0
2024-10-09,89103.0
2024-10-16,89197.0
2024-10-23,89261.0
2024-10-30,89448.0
2024-11-06,89623.0
2024-11-13,89755.0
2024-11-20,89791.0
2024-11-27,90028.0
2024-12-04,90384.0
2024-12-11,90767.0
2024-12-18,91321.0
2024-12-25,92164.0
2025-01-01,91932.0
2025-01-08,90978.0
2025-01-15,90368.0
2025-01-22,90159.0
2025-01-29,90244.0
2025-02-05,90278.0
2025-02-12,90214.0
2025-02-19,90297.0
2025-02-26,90350.0
2025-03-05,90544.0
2025-03-12,90704.0
2025-03-19,90859.0
2025-03-26,91067.0
2025-04-02,91256.0
2025-04-09,91579.0
2025-04-16,91906.0
2025-04-23,91964.0
2025-04-30,92018.0
2025-05-07,92318.0
2025-05-14,92317.0
2025-05-21,92341.0
2025-05-28,92612.0
2025-06-04,92552.0
2025-06-11,92557.0
2025-06-18,92616.0
2025-06-25,92784.0
2025-07-02,93111.0
2025-07-09,93134.0
2025-07-16,93279.0
2025-07-23,93444.0
2025-07-30,93603.0
2025-08-06,93768.0
2025-08-13,93807.0
2025-08-20,93925.0
2025-08-27,94114.0
2025-09-03,94044.0
2025-09-10,94070.0
2025-09-17,94157.0
2025-09-24,94216.0
2025-10-01,94443.0
2025-10-08,94656.0
2025-10-15,94727.0
2025-10-22,94886.0
2025-10-29,95024.0
2025-11-05,95213.0
2025-11-12,95326.0
2025-11-19,95493.0
2025-11-26,95659.0
2025-12-03,95982.0
2025-12-10,96411.0
2025-12-17,96944.0
2025-12-24,97714.0
2025-12-31,97418.0
2026-01-07,96561.0
2026-01-14,96115.0
2026-01-21,95760.0
2026-01-28,95674.0
2026-02-04,95634.0
2026-02-11,95576.0
2026-02-18,95600.0
2026-02-25,95813.0
2026-03-04,95989.0
2026-03-11,96158.0
2026-03-18,96335.0
2026-03-25,96646.0
2026-04-01,97061.0
2026-04-08,97458.0
2026-04-15,97261.0
2026-04-22,97200.0
2026-04-29,97375.0
2026-05-06,97736.0
2026-05-13,97754.0
2026-05-20,97683.0
2026-05-27,98136.0
2026-06-03,98098.0
2026-06-10,98110.0
2026-06-17,98138.0
2026-06-24,98255.0
2026-07-01,98524.0
2026-07-08,98635.0
2026-07-15,98686.0
2026-07-22,98709.0
2026-07-29,98886.0
2026-08-05,98867.0
2026-08-12,98864.0
2026-08-19,98811.0
2026-08-26,98839.0
2026-09-02,98978.0
