date,coupons_private_paid
2019-01-17,76.572
2019-01-22,1807.246
2019-01-28,95.79
2019-02-11,10.753
2019-03-07,5459.248
2019-03-22,128.585
2019-04-16,73.825
2019-04-22,414.022
2019-05-22,289.203
2019-06-07,1065.35
2019-07-17,76.572
2019-07-22,1807.246
2019-07-26,95.79
2019-08-12,14.638
2019-09-09,4710.393
2019-09-23,128.585
2019-10-16,73.825
2019-10-22,568.655
2019-11-22,289.778
2019-12-09,1116.203
2020-01-17,76.572
2020-01-22,1494.19
2020-01-27,95.79
2020-02-10,19.011
2020-03-09,4234.141
2020-03-23,128.585
2020-04-16,73.825
2020-04-22,711.76
2020-05-22,285.164
2020-06-08,1170.305
2020-07-17,76.572
2020-07-22,1616.588
2020-07-27,95.79
2020-07-30,6.508
2020-07-31,20.786
2020-08-10,23.184
2020-09-07,3811.998
2020-09-22,129.354
2020-10-22,1032.06
2020-11-23,286.551
2020-12-07,1193.777
2021-01-18,76.572
2021-01-22,1298.48
2021-01-26,95.79
2021-02-01,156.673
2021-02-10,27.001
2021-03-08,3377.614
2021-03-22,130.76
2021-04-22,1149.959
2021-05-24,287.009
2021-06-07,1193.777
2021-07-19,76.572
2021-07-22,1057.654
2021-07-26,95.79
2021-07-30,21.184
2021-08-02,267.025
2021-08-10,28.979
2021-09-07,3377.614
2021-09-22,134.585
2021-10-22,1215.555
2021-11-22,287.54
2021-12-07,533.777
2022-01-17,76.572
2022-01-24,1057.654
2022-01-26,95.79
2022-01-31,387.087
2022-02-10,30.173
2022-03-07,2873.431
2022-03-22,136.002
2022-04-22,1268.798
2022-05-23,287.54
2022-06-07,533.777
2022-07-18,76.572
2022-07-22,1057.654
2022-07-26,95.79
2022-08-01,498.107
2022-08-10,31.58
2022-09-07,2152.759
2022-09-22,138.563
2022-10-24,1299.736
2022-11-22,287.54
2022-12-07,538.465
2023-01-17,76.572
2023-01-23,986.06
2023-01-26,95.79
2023-01-30,357.428
2023-01-31,644.868
2023-02-10,33.543
2023-03-07,1905.513
2023-03-22,141.214
2023-04-24,1456.199
2023-05-22,139.839
2023-06-07,538.465
2023-07-17,76.572
2023-07-24,986.06
2023-07-26,95.79
2023-07-31,1359.096
2023-08-10,33.543
2023-09-07,1905.513
2023-09-22,168.645
2023-10-23,2055.973
2023-11-22,139.839
2023-12-07,538.465
2024-01-17,76.572
2024-01-22,861.95
2024-01-26,95.79
2024-01-29,664.003
2024-01-30,21.184
2024-01-31,1211.537
2024-02-12,33.543
2024-03-07,1522.851
2024-03-22,171.022
2024-04-22,2335.623
2024-05-22,139.839
2024-06-07,538.465
2024-07-17,76.572
2024-07-22,1224.285
2024-07-26,95.79
2024-07-29,664.003
2024-07-30,21.184
2024-07-31,1775.88
2024-08-12,33.543
2024-09-09,1522.851
2024-09-23,169.75
2024-10-22,2443.945
2024-11-22,139.839
2024-12-09,538.465
2025-01-22,1632.459
2025-01-27,95.79
2025-01-29,664.003
2025-01-30,23.684
2025-01-31,2394.716
2025-02-10,33.543
2025-03-07,1664.491
2025-03-24,243.247
2025-04-22,2641.14
2025-05-22,139.839
2025-06-09,538.465
2025-07-22,1632.459
2025-07-28,95.79
2025-07-29,664.003
2025-07-30,24.622
2025-07-31,2908.148
2025-08-11,34.324
2025-09-08,2280.982
2025-09-22,301.536
2025-10-22,2844.952
2025-11-24,348.268
2025-12-08,405.35
2026-01-22,1632.459
2026-01-26,95.79
2026-01-29,664.003
2026-01-30,24.622
2026-02-02,3018.45
2026-02-10,35.887
2026-03-09,2777.166
2026-03-23,331.499
2026-04-22,2223.866
2026-05-22,755.768
2026-06-08,405.35
2026-07-22,1632.459
2026-07-26,212.657
2026-07-27,95.79
2026-07-29,664.003
2026-07-31,3736.816
2026-08-10,37.449
2026-09-07,3869.515
