date,isin,amount_in_issue_m
2026-09-09,GB0002404191,20730.55455982
2026-09-09,GB0004893086,46026.14949908
2026-09-09,GB0008932666,4841.239
2026-09-09,GB0031790826,9083.989
2026-09-09,GB0032452392,32424.933
2026-09-09,GB00B00NY175,28205.903
2026-09-09,GB00B06YGN05,28320.177
2026-09-09,GB00B0CNHZ09,10169.1955
2026-09-09,GB00B128DH60,14170.199
2026-09-09,GB00B128DP45,26714.239
2026-09-09,GB00B16NNR78,33776.823
2026-09-09,GB00B1L6W962,13065.68
2026-09-09,GB00B1VWPJ53,29019.282
2026-09-09,GB00B24FF097,45823.38057
2026-09-09,GB00B24FFM16,11686.64
2026-09-09,GB00B39R3707,21841.402
2026-09-09,GB00B3D4VD98,14656.667
2026-09-09,GB00B3KJDS62,25802.827
2026-09-09,GB00B3LZBF68,14090.029883
2026-09-09,GB00B3MYD345,12559.257
2026-09-09,GB00B3Y1JG82,15458.789
2026-09-09,GB00B421JZ66,12221.183199
2026-09-09,GB00B46CGH68,14570.332
2026-09-09,GB00B4PTCY75,12471.937
2026-09-09,GB00B52WS153,39862.283
2026-09-09,GB00B54QLM75,25722.409
2026-09-09,GB00B6460505,27819.099
2026-09-09,GB00B6RNH572,26003.10099997
2026-09-09,GB00B73ZYW09,12666.02
2026-09-09,GB00B7RN0G65,15725.522
2026-09-09,GB00B84Z9V04,29790.571
2026-09-09,GB00BBJNQY21,21230.448
2026-09-09,GB00BD0XH204,31462.493
2026-09-09,GB00BD9MZZ71,8125.0
2026-09-09,GB00BDCHBW80,26325.428
2026-09-09,GB00BDRHNP05,41947.822
2026-09-09,GB00BDX8CX86,12600.0
2026-09-09,GB00BFMCN652,24725.323
2026-09-09,GB00BFWFPP71,30932.767
2026-09-09,GB00BFX0ZL78,38743.345
2026-09-09,GB00BGDYHF49,12446.999
2026-09-09,GB00BJLR0J16,25158.058
2026-09-09,GB00BJMHB534,44643.059
2026-09-09,GB00BJQWYH73,34610.167
2026-09-09,GB00BL68HH02,42316.747
2026-09-09,GB00BL6C7720,32407.95
2026-09-09,GB00BLBDX619,11111.0
2026-09-09,GB00BLH38158,29538.747
2026-09-09,GB00BLH38265,14621.02
2026-09-09,GB00BLPK7227,32347.495
2026-09-09,GB00BLPK7334,25950.623
2026-09-09,GB00BM8Z2S21,39783.0
2026-09-09,GB00BM8Z2T38,36801.371
2026-09-09,GB00BM8Z2V59,30428.0
2026-09-09,GB00BM8Z2W66,5372.85
2026-09-09,GB00BMBL1D50,26493.249
