date,gilt_redeemed_private
2019-03-07,36350.428
2019-07-22,36504.792
2019-09-09,28739.769
2019-11-22,8182.901
2020-03-09,33698.503
2020-04-16,6578.995
2020-07-22,32530.791
2020-09-07,24870.138
2021-01-22,32836.055
2021-06-07,24594.234
2021-09-07,29001.063
2022-03-07,38771.302
2022-07-22,29259.639
2022-09-07,29680.839
2022-11-22,15743.22
2023-01-31,33823.777
2023-07-24,34358.623
2023-09-07,35921.607
2024-01-31,35551.058
2024-03-22,15243.857
2024-04-22,35638.13
2024-07-17,6821.21
2024-09-09,35806.004
2025-01-31,36531.653
2025-03-07,37338.515
2025-06-09,44622.873
2025-09-08,40343.001
2025-10-22,36016.346
2026-01-30,41177.698
2026-03-23,13454.768
2026-07-22,44673.738
