date,iltr_net_daily
2014-02-11,910.0
2014-03-11,203.0
2014-04-08,200.0
2014-05-13,160.0
2014-06-10,435.0
2014-07-08,219.0
2014-08-12,345.0
2014-08-14,-910.0
2014-09-09,299.0
2014-09-11,-203.0
2014-10-07,288.0
2014-10-09,-200.0
2014-11-11,317.0
2014-11-13,-160.0
2014-12-09,830.0
2014-12-11,-435.0
2015-01-06,260.0
2015-01-08,-219.0
2015-02-10,1000.0
2015-02-12,-345.0
2015-03-10,2485.0
2015-03-12,-299.0
2015-04-07,3520.0
2015-04-09,-288.0
2015-05-12,4469.8
2015-05-14,-317.0
2015-06-09,1637.0
2015-06-11,-830.0
2015-07-07,2315.0
2015-07-09,-260.0
2015-08-11,2135.0
2015-08-13,-1000.0
2015-09-08,1195.0
2015-09-10,-2485.0
2015-10-06,2290.0
2015-10-08,-3520.0
2015-11-10,3920.0
2015-11-12,-4469.8
2015-12-08,3600.0
2015-12-10,-1637.0
2016-01-05,3121.0
2016-01-07,-2315.0
2016-02-09,1396.0
2016-02-11,-2135.0
2016-03-08,4329.9
2016-03-10,-1195.0
2016-04-05,2502.0
2016-04-07,-2290.0
2016-05-10,3066.0
2016-05-12,-3920.0
2016-06-07,3255.0
2016-06-09,-3600.0
2016-06-14,2455.0
2016-06-21,370.0
2016-06-28,3072.3
2016-07-05,1350.0
2016-07-07,-3121.0
2016-07-12,2005.0
2016-07-19,250.0
2016-07-26,75.0
2016-08-02,200.0
2016-08-09,444.0
2016-08-11,-1396.0
2016-08-16,225.0
2016-08-23,630.0
2016-08-30,0.0
2016-09-06,310.0
2016-09-08,-4329.9
2016-09-13,70.0
2016-09-20,85.0
2016-09-27,170.0
2016-10-04,265.0
2016-10-06,-2502.0
2016-11-08,1335.0
2016-11-10,-3066.0
2016-12-06,3465.0
2016-12-08,-9152.3
2017-01-03,2020.0
2017-01-05,-3680.0
2017-02-07,1635.0
2017-02-09,-1499.0
2017-03-07,2600.0
2017-03-09,-635.0
2017-04-04,1520.0
2017-04-06,-265.0
2017-05-09,2145.0
2017-05-11,-1335.0
2017-06-06,1290.0
2017-06-08,-3465.0
2017-07-04,367.0
2017-07-06,-2020.0
2017-08-08,855.0
2017-08-10,-1635.0
2017-09-05,395.0
2017-09-07,-2600.0
2017-10-03,1015.0
