date,15Y
2023-01-04,1.056
2023-01-05,1.033
2023-01-06,1.024
2023-01-10,1.066
2023-01-11,1.057
2023-01-12,1.116
2023-01-13,1.112
2023-01-16,1.09
2023-01-17,1.103
2023-01-18,1.072
2023-01-19,1.045
2023-01-20,1.01
2023-01-23,0.965
2023-01-24,0.979
2023-01-25,1.001
2023-01-26,1.021
2023-01-27,1.087
2023-01-30,1.09
2023-01-31,1.114
2023-02-01,1.071
2023-02-02,1.039
2023-02-03,1.007
2023-02-06,1.04
2023-02-07,1.041
2023-02-08,1.041
2023-02-09,1.046
2023-02-10,1.06
2023-02-13,1.046
2023-02-14,1.033
2023-02-15,1.021
2023-02-16,1.046
2023-02-17,1.072
2023-02-20,1.092
2023-02-21,1.097
2023-02-22,1.089
2023-02-24,1.053
2023-02-27,1.05
2023-02-28,0.952
2023-03-01,0.96
2023-03-02,0.992
2023-03-03,0.993
2023-03-06,0.998
2023-03-07,0.992
2023-03-08,1.002
2023-03-09,1.025
2023-03-10,0.952
2023-03-13,0.871
2023-03-14,0.76
2023-03-15,0.818
2023-03-16,0.78
2023-03-17,0.806
2023-03-20,0.757
2023-03-22,0.822
2023-03-23,0.799
2023-03-24,0.79
2023-03-27,0.796
2023-03-28,0.767
2023-03-29,0.724
2023-03-30,0.743
2023-03-31,0.784
2023-04-03,0.834
2023-04-04,0.871
2023-04-05,0.881
2023-04-06,0.876
2023-04-07,0.853
2023-04-10,0.857
2023-04-11,0.849
2023-04-12,0.854
2023-04-13,0.841
2023-04-14,0.847
2023-04-17,0.88
2023-04-18,0.868
2023-04-19,0.864
2023-04-20,0.868
2023-04-21,0.848
2023-04-24,0.866
2023-04-25,0.857
2023-04-26,0.825
2023-04-27,0.825
2023-04-28,0.751
2023-05-01,0.77
2023-05-02,0.784
2023-05-08,0.772
2023-05-09,0.786
2023-05-10,0.771
2023-05-11,0.735
2023-05-12,0.749
2023-05-15,0.764
2023-05-16,0.754
2023-05-17,0.716
2023-05-18,0.731
2023-05-19,0.741
2023-05-22,0.723
2023-05-23,0.741
2023-05-24,0.756
2023-05-25,0.788
2023-05-26,0.78
2023-05-29,0.795
2023-05-30,0.789
2023-05-31,0.781
