date,MABS1AN113
2016-07-31,3017768.0
2016-08-31,3000575.0
2016-09-30,3066602.0
2016-10-31,3127923.0
2016-11-30,3160874.0
2016-12-31,3218408.0
2017-01-31,3304487.0
2017-02-28,3274851.0
2017-03-31,3320877.0
2017-04-30,3518542.0
2017-05-31,3512682.0
2017-06-30,3551751.0
2017-07-31,3599452.0
2017-08-31,3607896.0
2017-09-30,3658174.0
2017-10-31,3682270.0
2017-11-30,3663521.0
2017-12-31,3651425.0
2018-01-31,3680235.0
2018-02-28,3635595.0
2018-03-31,3674066.0
2018-04-30,3833311.0
2018-05-31,3841615.0
2018-06-30,3848228.0
2018-07-31,3883878.0
2018-08-31,3889556.0
2018-09-30,3894618.0
2018-10-31,3921148.0
2018-11-30,3914601.0
2018-12-31,3844459.0
2019-01-31,3869959.0
2019-02-28,3816276.0
2019-03-31,3821401.0
2019-04-30,3937713.0
2019-05-31,3971398.0
2019-06-30,4011631.0
2019-07-31,4036991.0
2019-08-31,4001821.0
2019-09-30,4018207.0
2019-10-31,4050807.0
2019-11-30,4053420.0
2019-12-31,3978815.0
2020-01-31,3988351.0
2020-02-29,3968992.0
2020-03-31,3936670.0
2020-04-30,4036185.0
2020-05-31,4145354.0
2020-06-30,4270415.0
2020-07-31,4481294.0
2020-08-31,4529021.0
2020-09-30,4687195.0
2020-10-31,4827153.0
2020-11-30,4840865.0
2020-12-31,4854683.0
2021-01-31,4899253.0
2021-02-28,4901542.0
2021-03-31,4925099.0
2021-04-30,5236823.0
2021-05-31,5285430.0
2021-06-30,5270112.0
2021-07-31,5322464.0
2021-08-31,5350187.0
2021-09-30,5340111.0
2021-10-31,5388684.0
2021-11-30,5366367.0
2021-12-31,5324203.0
2022-01-31,5375765.0
2022-02-28,5332416.0
2022-03-31,5375724.0
2022-04-30,5624625.0
2022-05-31,5548443.0
2022-06-30,5488802.0
2022-07-31,5471202.0
2022-08-31,5344467.0
2022-09-30,5090906.0
2022-10-31,4901024.0
2022-11-30,4912501.0
2022-12-31,4895078.0
2023-01-31,5095242.0
2023-02-28,5196518.0
2023-03-31,5288979.0
2023-04-30,5492517.0
2023-05-31,5461253.0
2023-06-30,5412306.0
2023-07-31,5373025.0
2023-08-31,5414489.0
2023-09-30,5443059.0
2023-10-31,5451979.0
2023-11-30,5459892.0
2023-12-31,5380298.0
2024-01-31,5403607.0
2024-02-29,5356508.0
2024-03-31,5404735.0
2024-04-30,5644691.0
2024-05-31,5538429.0
2024-06-30,5473820.0
2024-07-31,5452929.0
2024-08-31,5467003.0
2024-09-30,5452820.0
2024-10-31,5447657.0
2024-11-30,5454207.0
2024-12-31,5318108.0
2025-01-31,5243109.0
2025-02-28,5255933.0
2025-03-31,5222684.0
2025-04-30,5340854.0
2025-05-31,5334786.0
2025-06-30,5262589.0
2025-07-31,5220410.0
2025-08-31,5218380.0
2025-09-30,5065184.0
2025-10-31,4952655.0
2025-11-30,4913781.0
2025-12-31,4708615.0
2026-01-31,4660861.0
2026-02-28,4593017.0
2026-03-31,4495213.0
2026-04-30,4622041.0
2026-05-31,4552620.0
2026-06-30,4397236.0
2026-07-31,4353368.0
2026-08-31,4234230.0
