date,MACAB1183
2016-07-31,2602124.0
2016-08-31,2637580.0
2016-09-30,2702158.0
2016-10-31,2756979.0
2016-11-30,2728483.0
2016-12-31,2881751.0
2017-01-31,2846116.0
2017-02-28,2847654.0
2017-03-31,2974681.0
2017-04-30,3075668.0
2017-05-31,3045657.0
2017-06-30,3122322.0
2017-07-31,3094963.0
2017-08-31,3124718.0
2017-09-30,3162716.0
2017-10-31,3163323.0
2017-11-30,3107173.0
2017-12-31,3166849.0
2018-01-31,3123493.0
2018-02-28,3107432.0
2018-03-31,3197812.0
2018-04-30,3286498.0
2018-05-31,3240649.0
2018-06-30,3316858.0
2018-07-31,3290714.0
2018-08-31,3313532.0
2018-09-30,3322984.0
2018-10-31,3343801.0
2018-11-30,3284698.0
2018-12-31,3274324.0
2019-01-31,3251935.0
2019-02-28,3232560.0
2019-03-31,3303826.0
2019-04-30,3363219.0
2019-05-31,3365307.0
2019-06-30,3440980.0
2019-07-31,3389259.0
2019-08-31,3377993.0
2019-09-30,3413202.0
2019-10-31,3442776.0
2019-11-30,3373250.0
2019-12-31,3375161.0
2020-01-31,3343044.0
2020-02-29,3342423.0
2020-03-31,3331472.0
2020-04-30,3427878.0
2020-05-31,3508509.0
2020-06-30,3694844.0
2020-07-31,3791670.0
2020-08-31,3846322.0
2020-09-30,4066686.0
2020-10-31,4139391.0
2020-11-30,4105441.0
2020-12-31,4203331.0
2021-01-31,4188506.0
2021-02-28,4182526.0
2021-03-31,4377948.0
2021-04-30,4520361.0
2021-05-31,4486487.0
2021-06-30,4561001.0
2021-07-31,4541871.0
2021-08-31,4563093.0
2021-09-30,4627250.0
2021-10-31,4639833.0
2021-11-30,4569984.0
2021-12-31,4658800.0
2022-01-31,4597251.0
2022-02-28,4567789.0
2022-03-31,4738816.0
2022-04-30,4804574.0
2022-05-31,4664944.0
2022-06-30,4730852.0
2022-07-31,4609102.0
2022-08-31,4458317.0
2022-09-30,4228965.0
2022-10-31,4158503.0
2022-11-30,4101038.0
2022-12-31,4257708.0
2023-01-31,4374358.0
2023-02-28,4439321.0
2023-03-31,4606392.0
2023-04-30,4673150.0
2023-05-31,4581296.0
2023-06-30,4627651.0
2023-07-31,4553061.0
2023-08-31,4610778.0
2023-09-30,4625385.0
2023-10-31,4656402.0
2023-11-30,4566053.0
2023-12-31,4591593.0
2024-01-31,4552805.0
2024-02-29,4542678.0
2024-03-31,4736657.0
2024-04-30,4820704.0
2024-05-31,4690524.0
2024-06-30,4744926.0
2024-07-31,4727494.0
2024-08-31,4767936.0
2024-09-30,4759211.0
2024-10-31,4778285.0
2024-11-30,4693800.0
2024-12-31,4657304.0
2025-01-31,4578548.0
2025-02-28,4640427.0
2025-03-31,4622925.0
2025-04-30,4742419.0
2025-05-31,4655694.0
2025-06-30,4651987.0
2025-07-31,4612131.0
2025-08-31,4603962.0
2025-09-30,4398049.0
2025-10-31,4388721.0
2025-11-30,4277779.0
2025-12-31,4160285.0
2026-01-31,4115493.0
2026-02-28,4057972.0
2026-03-31,4030551.0
2026-04-30,4145945.0
2026-05-31,4005833.0
2026-06-30,3919750.0
2026-07-31,3827660.0
