date,MASDM5F
2016-07-31,-681.0
2016-08-31,-5028.0
2016-09-30,3158.0
2016-10-31,-2500.0
2016-11-30,-149.0
2016-12-31,-109.0
2017-01-31,-1221.0
2017-02-28,-145.0
2017-03-31,4134.0
2017-04-30,-2750.0
2017-05-31,330.0
2017-06-30,-1420.0
2017-07-31,-309.0
2017-08-31,592.0
2017-09-30,3253.0
2017-10-31,-3745.0
2017-11-30,1608.0
2017-12-31,4633.0
2018-01-31,-6599.0
2018-02-28,761.0
2018-03-31,-2.0
2018-04-30,-40.0
2018-05-31,62.0
2018-06-30,88.0
2018-07-31,25.0
2018-08-31,-512.0
2018-09-30,718.0
2018-10-31,-379.0
2018-11-30,459.0
2018-12-31,3308.0
2019-01-31,1310.0
2019-02-28,-3097.0
2019-03-31,1141.0
2019-04-30,-1162.0
2019-05-31,-2236.0
2019-06-30,892.0
2019-07-31,-1198.0
2019-08-31,183.0
2019-09-30,2052.0
2019-10-31,2220.0
2019-11-30,-1300.0
2019-12-31,-219.0
2020-01-31,1001.0
2020-02-29,23.0
2020-03-31,5249.0
2020-04-30,1101.0
2020-05-31,-9410.0
2020-06-30,-2061.0
2020-07-31,1161.0
2020-08-31,-259.0
2020-09-30,999.0
2020-10-31,-1000.0
2020-11-30,-1397.0
2020-12-31,3247.0
2021-01-31,-700.0
2021-02-28,0.0
2021-03-31,900.0
2021-04-30,-1420.0
2021-05-31,-80.0
2021-06-30,400.0
2021-07-31,200.0
2021-08-31,-599.0
2021-09-30,599.0
2021-10-31,-1590.0
2021-11-30,240.0
2021-12-31,2949.0
2022-01-31,-2599.0
2022-02-28,-400.0
2022-03-31,2550.0
2022-04-30,-651.0
2022-05-31,800.0
2022-06-30,-800.0
2022-07-31,-2149.0
2022-08-31,11350.0
2022-09-30,-2401.0
2022-10-31,-950.0
2022-11-30,-8798.0
2022-12-31,3158.0
2023-01-31,102334.0
2023-02-28,18528.0
2023-03-31,14221.0
2023-04-30,2394.0
2023-05-31,-3180.0
2023-06-30,1195.0
2023-07-31,60.0
2023-08-31,-139.0
2023-09-30,9684.0
2023-10-31,18560.0
2023-11-30,-701.0
2023-12-31,6262.0
2024-01-31,-4170.0
2024-02-29,-1330.0
2024-03-31,16347.0
2024-04-30,-16449.0
2024-05-31,139.0
2024-06-30,846.0
2024-07-31,2.0
2024-08-31,-1.0
2024-09-30,0.0
2024-10-31,1.0
2024-11-30,-2.0
2024-12-31,0.0
2025-01-31,-91220.0
2025-02-28,3.0
2025-03-31,3.0
2025-04-30,-9.0
2025-05-31,2.0
2025-06-30,4.0
2025-07-31,0.0
2025-08-31,-4.0
2025-09-30,-2.0
2025-10-31,7.0
2025-11-30,-4.0
2025-12-31,-3.0
2026-01-31,2.0
2026-02-28,0.0
2026-03-31,6.0
2026-04-30,-8.0
2026-05-31,5.0
2026-06-30,1.0
2026-07-31,-6.0
2026-08-31,2.0
