date,MASDM@03
2016-07-31,-4909.0
2016-08-31,7059.0
2016-09-30,83412.0
2016-10-31,41176.0
2016-11-30,17468.0
2016-12-31,125290.0
2017-01-31,15918.0
2017-02-28,-21966.0
2017-03-31,131323.0
2017-04-30,137545.0
2017-05-31,-48276.0
2017-06-30,112627.0
2017-07-31,-272.0
2017-08-31,6718.0
2017-09-30,55375.0
2017-10-31,12377.0
2017-11-30,-55708.0
2017-12-31,36953.0
2018-01-31,607.0
2018-02-28,-18457.0
2018-03-31,115335.0
2018-04-30,102604.0
2018-05-31,-43065.0
2018-06-30,94287.0
2018-07-31,-190.0
2018-08-31,-11742.0
2018-09-30,30526.0
2018-10-31,15164.0
2018-11-30,-57844.0
2018-12-31,-22028.0
2019-01-31,-4138.0
2019-02-28,-32500.0
2019-03-31,85384.0
2019-04-30,42457.0
2019-05-31,17614.0
2019-06-30,107534.0
2019-07-31,-48500.0
2019-08-31,-21748.0
2019-09-30,47066.0
2019-10-31,22369.0
2019-11-30,-59544.0
2019-12-31,-40614.0
2020-01-31,27427.0
2020-02-29,-14488.0
2020-03-31,-65850.0
2020-04-30,169419.0
2020-05-31,149416.0
2020-06-30,198801.0
2020-07-31,104293.0
2020-08-31,67709.0
2020-09-30,232402.0
2020-10-31,18587.0
2020-11-30,-25265.0
2020-12-31,74351.0
2021-01-31,16733.0
2021-02-28,-20311.0
2021-03-31,287008.0
2021-04-30,104913.0
2021-05-31,-30961.0
2021-06-30,79451.0
2021-07-31,9691.0
2021-08-31,4258.0
2021-09-30,23565.0
2021-10-31,-448.0
2021-11-30,-38818.0
2021-12-31,53064.0
2022-01-31,-39675.0
2022-02-28,6332.0
2022-03-31,234710.0
2022-04-30,-10052.0
2022-05-31,-133851.0
2022-06-30,35167.0
2022-07-31,-116040.0
2022-08-31,-210486.0
2022-09-30,-266325.0
2022-10-31,22853.0
2022-11-30,-11990.0
2022-12-31,83782.0
2023-01-31,222691.0
2023-02-28,1203.0
2023-03-31,242044.0
2023-04-30,38362.0
2023-05-31,-64734.0
2023-06-30,-19961.0
2023-07-31,-16356.0
2023-08-31,56727.0
2023-09-30,-12891.0
2023-10-31,45093.0
2023-11-30,-76439.0
2023-12-31,-3797.0
2024-01-31,93.0
2024-02-29,-51590.0
2024-03-31,226532.0
2024-04-30,91551.0
2024-05-31,-188127.0
2024-06-30,2470.0
2024-07-31,-32965.0
2024-08-31,19587.0
2024-09-30,-10129.0
2024-10-31,-10661.0
2024-11-30,-52278.0
2024-12-31,-116169.0
2025-01-31,-30687.0
2025-02-28,28050.0
2025-03-31,-8136.0
2025-04-30,127233.0
2025-05-31,-109007.0
2025-06-30,-31408.0
2025-07-31,-46769.0
2025-08-31,-7980.0
2025-09-30,-215627.0
2025-10-31,-43832.0
2025-11-30,-106675.0
2025-12-31,-160816.0
2026-01-31,-28216.0
2026-02-28,-70222.0
2026-03-31,-13574.0
2026-04-30,96868.0
2026-05-31,-173316.0
2026-06-30,-117340.0
2026-07-31,-23523.0
2026-08-31,-136902.0
