date,STRDCLUCV
2024-06-03,33560.0
2024-06-04,35300.0
2024-06-05,34113.0
2024-06-06,39798.0
2024-06-07,39357.0
2024-06-10,33242.0
2024-06-11,33159.0
2024-06-12,30689.0
2024-06-13,31413.0
2024-06-14,31306.0
2024-06-17,34573.0
2024-06-18,35306.0
2024-06-19,34525.0
2024-06-20,35201.0
2024-06-21,32006.0
2024-06-24,40101.0
2024-06-25,35168.0
2024-06-26,33545.0
2024-06-27,33908.0
2024-06-28,39831.0
2024-07-01,36517.0
2024-07-02,33977.0
2024-07-03,36733.0
2024-07-04,38156.0
2024-07-05,39139.0
2024-07-08,37600.0
2024-07-09,37363.0
2024-07-10,30872.0
2024-07-11,33458.0
2024-07-12,31520.0
2024-07-16,34562.0
2024-07-17,36076.0
2024-07-18,38837.0
2024-07-19,35617.0
2024-07-22,35738.0
2024-07-23,34891.0
2024-07-24,32634.0
2024-07-25,32827.0
2024-07-26,29381.0
2024-07-29,32694.0
2024-07-30,30310.0
2024-07-31,33926.0
2024-08-01,29553.0
2024-08-02,30320.0
2024-08-05,38807.0
2024-08-06,38824.0
2024-08-07,40403.0
2024-08-08,33566.0
2024-08-09,33430.0
2024-08-13,33160.0
2024-08-14,32380.0
2024-08-15,30833.0
2024-08-16,30614.0
2024-08-19,33018.0
2024-08-20,32748.0
2024-08-21,35095.0
2024-08-22,34529.0
2024-08-23,36697.0
2024-08-26,33041.0
2024-08-27,35649.0
2024-08-28,33708.0
2024-08-29,36523.0
2024-08-30,39047.0
2024-09-02,35809.0
2024-09-03,35612.0
2024-09-04,32618.0
2024-09-05,33613.0
2024-09-06,33417.0
2024-09-09,32375.0
2024-09-10,33909.0
2024-09-11,33600.0
2024-09-12,32493.0
2024-09-13,33674.0
2024-09-17,32815.0
2024-09-18,32684.0
2024-09-19,33117.0
2024-09-20,34997.0
2024-09-24,34398.0
2024-09-25,30232.0
2024-09-26,30364.0
2024-09-27,27440.0
2024-09-30,30501.0
2024-10-01,28631.0
2024-10-02,29174.0
2024-10-03,26686.0
2024-10-04,30993.0
2024-10-07,30785.0
2024-10-08,29962.0
2024-10-09,29688.0
2024-10-10,29016.0
2024-10-11,26769.0
2024-10-15,28889.0
2024-10-16,25134.0
2024-10-17,25534.0
2024-10-18,28981.0
2024-10-21,25372.0
2024-10-22,25977.0
2024-10-23,25776.0
2024-10-24,25801.0
2024-10-25,27052.0
2024-10-28,28249.0
2024-10-29,29609.0
2024-10-30,29844.0
2024-10-31,28453.0
2024-11-01,29853.0
2024-11-05,32818.0
2024-11-06,33326.0
2024-11-07,33013.0
2024-11-08,30414.0
2024-11-11,30390.0
2024-11-12,32782.0
2024-11-13,31127.0
2024-11-14,29898.0
2024-11-15,31720.0
2024-11-18,28451.0
2024-11-19,31974.0
2024-11-20,31680.0
2024-11-21,30046.0
2024-11-22,30359.0
2024-11-25,29961.0
2024-11-26,32347.0
