date,ac_banknotes
2024-10-10,1193123.6
2024-10-20,1193445.8
2024-10-31,1196560.2
2024-11-10,1195752.4
2024-11-20,1195266.3
2024-11-30,1200394.6
2024-12-10,1209302.4
2024-12-20,1228091.9
2024-12-31,1240778.9
2025-01-10,1225970.2
2025-01-20,1214311.6
2025-01-31,1203151.9
2025-02-10,1197306.5
2025-02-20,1193851.8
2025-02-28,1193680.2
2025-03-10,1189858.2
2025-03-20,1187581.6
2025-03-31,1186685.9
2025-04-10,1181580.3
2025-04-20,1179744.6
2025-04-30,1185940.0
2025-05-10,1181660.4
2025-05-20,1174745.5
2025-05-31,1172896.2
2025-06-10,1169656.0
2025-06-20,1169423.8
2025-06-30,1172196.5
2025-07-10,1172112.3
2025-07-20,1171348.0
2025-07-31,1172415.8
2025-08-10,1173255.9
2025-08-20,1172937.4
2025-08-31,1173184.3
2025-09-10,1169882.5
2025-09-20,1168645.3
2025-09-30,1166246.4
2025-10-10,1166399.4
2025-10-20,1166397.6
2025-10-31,1168498.3
2025-11-10,1166585.2
2025-11-20,1166009.1
2025-11-30,1168180.1
2025-12-10,1176659.7
2025-12-20,1192151.1
2025-12-31,1206060.6
2026-01-10,1191934.3
2026-01-20,1179193.2
2026-01-31,1173661.5
2026-02-10,1170191.2
2026-02-20,1169663.4
2026-02-28,1169343.0
2026-03-10,1167145.9
2026-03-20,1166068.2
2026-03-31,1163156.0
2026-04-10,1158740.9
2026-04-20,1159058.9
2026-04-30,1168371.6
2026-05-10,1164427.0
2026-05-20,1153908.7
2026-05-31,1151799.6
2026-06-10,1147283.0
2026-06-20,1148366.2
2026-06-30,1150317.8
2026-07-10,1149665.3
2026-07-20,1149965.7
2026-07-31,1149807.4
2026-08-10,1151038.3
2026-08-20,1150108.9
2026-08-31,1148672.7
