date,ac_boj_loans
2024-10-10,1099167.0
2024-10-20,1099167.0
2024-10-31,1099168.0
2024-11-10,1099168.0
2024-11-20,1099133.0
2024-11-30,1099130.0
2024-12-10,1097594.0
2024-12-20,1085246.0
2024-12-31,1085243.0
2025-01-10,1035203.0
2025-01-20,994023.0
2025-01-31,1016462.0
2025-02-10,1016463.0
2025-02-20,1016120.0
2025-02-28,1016119.0
2025-03-10,1009404.0
2025-03-20,968126.0
2025-03-31,968126.0
2025-04-10,968119.0
2025-04-20,968118.0
2025-04-30,968117.0
2025-05-10,968117.0
2025-05-20,967938.0
2025-05-31,967938.0
2025-06-10,965856.0
2025-06-20,945696.0
2025-06-30,945700.0
2025-07-10,945697.0
2025-07-20,974930.0
2025-07-31,974933.0
2025-08-10,974929.0
2025-08-20,974781.0
2025-08-31,974780.0
2025-09-10,972352.0
2025-09-20,838089.0
2025-09-30,838089.0
2025-10-10,838095.0
2025-10-20,838095.0
2025-10-31,838096.0
2025-11-10,838096.0
2025-11-20,838036.0
2025-11-30,838035.0
2025-12-10,835681.0
2025-12-20,795223.0
2025-12-31,795208.0
2026-01-10,795210.0
2026-01-20,795212.0
2026-01-31,835058.0
2026-02-10,835060.0
2026-02-20,835058.0
2026-02-28,835058.0
2026-03-10,827192.0
2026-03-20,777209.0
2026-03-31,777209.0
2026-04-10,777200.0
2026-04-20,777207.0
2026-04-30,777201.0
2026-05-10,777201.0
2026-05-20,777207.0
2026-05-31,777206.0
2026-06-10,774669.0
2026-06-20,680395.0
2026-06-30,680379.0
2026-07-10,680370.0
2026-07-20,680370.0
2026-07-31,718588.0
2026-08-10,718593.0
2026-08-20,718577.5
2026-08-31,718577.0
