date,ac_foreign_currency_assets
2024-10-10,103821.6
2024-10-20,104677.4
2024-10-31,105769.9
2024-11-10,106318.6
2024-11-20,106959.4
2024-11-30,106989.7
2024-12-10,106650.8
2024-12-20,107204.0
2024-12-31,108269.3
2025-01-10,108731.7
2025-01-20,108811.3
2025-01-31,108678.2
2025-02-10,108378.9
2025-02-20,108454.5
2025-02-28,108107.9
2025-03-10,107929.6
2025-03-20,107959.7
2025-03-31,108273.0
2025-04-10,108297.8
2025-04-20,107782.0
2025-04-30,107052.9
2025-05-10,107525.1
2025-05-20,108108.4
2025-05-31,107993.1
2025-06-10,107601.0
2025-06-20,108092.9
2025-06-30,108325.7
2025-07-10,108226.0
2025-07-20,108790.8
2025-07-31,109053.0
2025-08-10,109613.6
2025-08-20,109392.2
2025-08-31,109699.5
2025-09-10,110004.2
2025-09-20,110312.4
2025-09-30,110435.5
2025-10-10,110619.8
2025-10-20,111417.1
2025-10-31,111634.8
2025-11-10,112533.7
2025-11-20,113059.0
2025-11-30,113404.8
2025-12-10,113551.2
2025-12-20,114200.0
2025-12-31,114323.7
2026-01-10,114444.6
2026-01-20,114933.1
2026-01-31,115048.1
2026-02-10,114528.8
2026-02-20,114884.2
2026-02-28,114739.5
2026-03-10,115586.1
2026-03-20,116481.6
2026-03-31,116663.1
2026-04-10,116852.2
2026-04-20,116923.7
2026-04-30,117190.3
2026-05-10,117315.2
2026-05-20,117055.8
2026-05-31,117413.0
2026-06-10,118284.1
2026-06-20,119189.9
2026-06-30,119482.6
2026-07-10,119795.0
2026-07-20,120134.5
2026-07-31,120432.2
2026-08-10,119775.8
2026-08-20,119572.7
2026-08-31,119657.4
