date,ac_pooled_collateral_loans
2024-10-10,289787.0
2024-10-20,289787.0
2024-10-31,289788.0
2024-11-10,289788.0
2024-11-20,289751.0
2024-11-30,289750.0
2024-12-10,289750.0
2024-12-20,289753.0
2024-12-31,289750.0
2025-01-10,239710.0
2025-01-20,198530.0
2025-01-31,220969.0
2025-02-10,220970.0
2025-02-20,220626.0
2025-02-28,220626.0
2025-03-10,220622.0
2025-03-20,220629.0
2025-03-31,220629.0
2025-04-10,220622.0
2025-04-20,220621.0
2025-04-30,220620.0
2025-05-10,220620.0
2025-05-20,220441.0
2025-05-31,220441.0
2025-06-10,220441.0
2025-06-20,220441.0
2025-06-30,220445.0
2025-07-10,220442.0
2025-07-20,249675.0
2025-07-31,249678.0
2025-08-10,249674.0
2025-08-20,249525.0
2025-08-31,249525.0
2025-09-10,249531.0
2025-09-20,249523.0
2025-09-30,249523.0
2025-10-10,249529.0
2025-10-20,249529.0
2025-10-31,249530.0
2025-11-10,249530.0
2025-11-20,249469.0
2025-11-30,249469.0
2025-12-10,249481.0
2025-12-20,249481.0
2025-12-31,249466.0
2026-01-10,249468.0
2026-01-20,249468.0
2026-01-31,289316.0
2026-02-10,289318.0
2026-02-20,289316.0
2026-02-28,289316.0
2026-03-10,289314.0
2026-03-20,289322.0
2026-03-31,289322.0
2026-04-10,289313.0
2026-04-20,289320.0
2026-04-30,289314.0
2026-05-10,289314.0
2026-05-20,289320.0
2026-05-31,289319.0
2026-06-10,289336.0
2026-06-20,289336.0
2026-06-30,289320.0
2026-07-10,289311.0
2026-07-20,289311.0
2026-07-31,327529.0
2026-08-10,327534.0
2026-08-20,327518.0
2026-08-31,327518.0
