date,btc_30y
2022-01-07,3.629
2022-02-03,3.447
2022-03-03,3.118
2022-04-07,3.049
2022-05-12,3.079
2022-06-07,3.112
2022-07-07,3.245
2022-08-09,2.952
2022-09-06,3.278
2022-10-12,2.887
2022-11-09,3.282
2022-12-06,3.001
2023-01-11,3.105
2023-02-07,3.323
2023-03-07,2.997
2023-04-06,3.186
2023-05-11,3.489
2023-06-06,3.076
2023-07-06,3.027
2023-08-08,3.504
2023-09-07,3.461
2023-10-05,3.059
2023-11-09,3.604
2023-12-07,2.616
2024-01-12,3.003
2024-02-07,3.181
2024-03-07,2.934
2024-04-04,3.467
2024-05-10,3.245
2024-06-06,3.591
2024-07-04,2.972
2024-08-08,3.468
2024-09-05,3.398
2024-10-08,3.344
2024-11-13,3.435
2024-12-05,3.456
2025-01-09,3.723
2025-02-06,3.742
2025-03-06,3.5
2025-04-08,2.958
2025-05-13,3.074
2025-06-05,2.921
2025-07-03,3.58
2025-08-07,3.43
2025-09-04,3.308
2025-10-07,3.411
2025-11-11,3.125
2025-12-04,4.045
2026-01-08,3.138
2026-02-05,3.635
2026-03-05,3.656
2026-04-07,3.115
2026-05-14,3.494
2026-06-10,2.936
2026-07-07,4.55
2026-08-06,3.864
2026-09-03,3.788
