date,fefsa_balance
2024-04-30,873.95
2024-05-31,98470.93
2024-06-30,907.85
2024-07-31,54768.96
2024-08-31,-482.48
2024-09-30,-655.21
2024-10-31,995.32
2024-11-30,470.29
2024-12-31,544.14
2025-01-31,254.93
2025-02-28,-681.31
2025-03-31,-76.99
2025-04-30,-2012.3
2025-05-31,-207.3
2025-06-30,-35.86
2025-07-31,1142.9
2025-08-31,-133.71
2025-09-30,270.26
2025-10-31,1093.5
2025-11-30,813.65
2025-12-31,300.64
2026-01-31,-462.81
2026-02-28,186.1
2026-03-31,1152.95
2026-04-30,-63.76
2026-05-31,116777.27
2026-06-30,750.48
2026-07-31,486.57
2026-08-31,153179.08
