date,fefsa_payments_py
2024-04-30,6797.17
2024-05-31,7199.54
2024-06-30,5492.45
2024-07-31,8147.08
2024-08-31,7106.55
2024-09-30,5547.59
2024-10-31,8701.9
2024-11-30,5121.49
2024-12-31,7867.4
2025-01-31,4752.33
2025-02-28,3022.88
2025-03-31,7821.17
2025-04-30,7446.45
2025-05-31,7754.74
2025-06-30,8951.46
2025-07-31,9001.2
2025-08-31,7845.59
2025-09-30,7804.01
2025-10-31,7781.51
2025-11-30,7730.89
2025-12-31,8261.36
2026-01-31,8513.89
2026-02-28,8340.4
2026-03-31,6080.21
2026-04-30,9169.3
2026-05-31,6064.25
2026-06-30,10552.83
2026-07-31,9157.14
2026-08-31,6101.79
