date,fefsa_receipts
2024-04-30,8320.4
2024-05-31,106225.67
2024-06-30,9859.31
2024-07-31,63770.16
2024-08-31,7363.11
2024-09-30,7148.8
2024-10-31,8776.83
2024-11-30,8201.18
2024-12-31,8805.5
2025-01-31,8768.82
2025-02-28,7659.09
2025-03-31,6003.22
2025-04-30,7157.0
2025-05-31,5856.95
2025-06-30,10516.97
2025-07-31,10300.04
2025-08-31,5968.08
2025-09-30,7738.6
2025-10-31,10229.95
2025-11-30,5224.18
2025-12-31,6530.63
2026-01-31,7993.9
2026-02-28,6896.18
2026-03-31,8691.76
2026-04-30,8021.7
2026-05-31,125596.7
2026-06-30,8617.18
2026-07-31,6850.15
2026-08-31,162092.01
