date,filp_balance_py
2024-04-30,2058.79
2024-05-31,-12570.38
2024-06-30,6373.42
2024-07-31,720.26
2024-08-31,1619.54
2024-09-30,28592.66
2024-10-31,1381.86
2024-11-30,-1571.99
2024-12-31,2550.42
2025-01-31,-2323.35
2025-02-28,-518.0
2025-03-31,-3258.93
2025-04-30,-2655.75
2025-05-31,-10718.83
2025-06-30,3082.19
2025-07-31,-161.21
2025-08-31,3927.91
2025-09-30,24798.93
2025-10-31,-591.53
2025-11-30,1191.98
2025-12-31,3982.4
2026-01-31,-1273.34
2026-02-28,-6312.81
2026-03-31,-7864.21
2026-04-30,-1637.38
2026-05-31,-7828.25
2026-06-30,4194.82
2026-07-31,-1634.88
2026-08-31,-501.51
