date,net_change
2025-10-01,-33300.0
2025-10-02,-39500.0
2025-10-03,-23700.0
2025-10-06,6900.0
2025-10-07,-500.0
2025-10-08,-8200.0
2025-10-09,8000.0
2025-10-10,-21800.0
2025-10-14,-12300.0
2025-10-15,71200.0
2025-10-16,-7300.0
2025-10-17,13400.0
2025-10-20,-8200.0
2025-10-21,-3200.0
2025-10-22,2700.0
2025-10-23,11300.0
2025-10-24,6400.0
2025-10-27,-5100.0
2025-10-28,1200.0
2025-10-29,8700.0
2025-10-30,1300.0
2025-10-31,-12100.0
2025-11-04,-28400.0
2025-11-05,1700.0
2025-11-06,-25000.0
2025-11-07,9800.0
2025-11-10,-6700.0
2025-11-11,-2800.0
2025-11-12,200.0
2025-11-13,5500.0
2025-11-14,-27800.0
2025-11-17,-1700.0
2025-11-18,-9200.0
2025-11-19,-2600.0
2025-11-20,-2300.0
2025-11-21,11200.0
2025-11-25,-4000.0
2025-11-26,-11500.0
2025-11-27,-6100.0
2025-11-28,-6900.0
2025-12-01,-44000.0
2025-12-02,-40000.0
2025-12-03,-79000.0
2025-12-04,3400.0
2025-12-05,100.0
2025-12-08,300.0
2025-12-09,-1200.0
2025-12-10,-23300.0
2025-12-11,-4000.0
2025-12-12,-13000.0
2025-12-15,17500.0
2025-12-16,-7000.0
2025-12-17,-14300.0
2025-12-18,17200.0
2025-12-19,3000.0
2025-12-22,43500.0
2025-12-23,-10800.0
2025-12-24,-7800.0
2025-12-25,25400.0
2025-12-26,-4200.0
2025-12-29,-10800.0
2025-12-30,-11800.0
2026-01-05,4700.0
2026-01-06,5000.0
2026-01-07,-58100.0
2026-01-08,20200.0
2026-01-09,-7500.0
2026-01-13,-17500.0
2026-01-14,-15400.0
2026-01-15,-19700.0
2026-01-16,14500.0
2026-01-19,-11600.0
2026-01-20,16400.0
2026-01-21,-14800.0
2026-01-22,11600.0
2026-01-23,-800.0
2026-01-26,4800.0
2026-01-27,-5100.0
2026-01-28,2400.0
2026-01-29,0.0
2026-01-30,42700.0
2026-02-02,-25500.0
2026-02-03,-18300.0
2026-02-04,-92700.0
2026-02-05,11500.0
2026-02-06,-12600.0
2026-02-09,-2500.0
2026-02-10,-600.0
2026-02-12,-1400.0
2026-02-13,88300.0
2026-02-16,-11500.0
2026-02-17,6300.0
2026-02-18,-36100.0
2026-02-19,12200.0
2026-02-20,3500.0
2026-02-24,-5400.0
2026-02-25,9200.0
2026-02-26,-4800.0
2026-02-27,10200.0
2026-03-02,-45800.0
2026-03-03,-22000.0
2026-03-04,-70800.0
2026-03-05,14300.0
2026-03-06,4000.0
2026-03-09,-10500.0
2026-03-10,4100.0
2026-03-11,2600.0
2026-03-12,-26800.0
2026-03-13,1900.0
2026-03-16,-57900.0
2026-03-17,15000.0
2026-03-18,-10900.0
2026-03-19,23300.0
2026-03-23,75300.0
2026-03-24,300.0
2026-03-25,29900.0
2026-03-26,16800.0
2026-03-27,-700.0
2026-03-30,32300.0
2026-03-31,12100.0
2026-04-01,-29100.0
2026-04-02,16700.0
2026-04-03,-17000.0
2026-04-06,1900.0
2026-04-07,4400.0
2026-04-08,5900.0
2026-04-09,6600.0
2026-04-10,-25800.0
2026-04-13,-4600.0
2026-04-14,200.0
2026-04-15,71200.0
2026-04-16,22200.0
2026-04-17,7200.0
2026-04-20,-10600.0
2026-04-21,5900.0
2026-04-22,100.0
2026-04-23,10200.0
2026-04-24,29900.0
2026-04-27,-15000.0
2026-04-28,12500.0
2026-04-30,4000.0
2026-05-01,-30900.0
2026-05-07,-77900.0
2026-05-08,-42300.0
2026-05-11,-7200.0
2026-05-12,4400.0
2026-05-13,-20100.0
2026-05-14,10900.0
2026-05-15,-1600.0
2026-05-18,3400.0
2026-05-19,-34400.0
2026-05-20,4300.0
2026-05-21,-7300.0
2026-05-22,18300.0
2026-05-25,4900.0
2026-05-26,4700.0
2026-05-27,-2100.0
2026-05-28,1000.0
2026-05-29,-1400.0
2026-06-01,-56100.0
2026-06-02,-60500.0
2026-06-03,-40400.0
2026-06-04,9300.0
2026-06-05,500.0
2026-06-08,1800.0
2026-06-09,300.0
2026-06-10,-11300.0
2026-06-11,-16100.0
2026-06-12,26200.0
2026-06-15,78600.0
2026-06-16,-1500.0
2026-06-17,18100.0
2026-06-18,-67000.0
2026-06-19,-15900.0
2026-06-22,42900.0
2026-06-23,-3000.0
2026-06-24,-29000.0
2026-06-25,5700.0
2026-06-26,-3900.0
2026-06-29,4100.0
2026-06-30,0.0
2026-07-01,-21000.0
2026-07-02,-34500.0
2026-07-03,-21700.0
2026-07-06,17600.0
2026-07-07,14000.0
2026-07-08,-7000.0
2026-07-09,14200.0
2026-07-10,-18100.0
2026-07-13,-19500.0
2026-07-14,-12100.0
2026-07-15,-9300.0
2026-07-16,10900.0
2026-07-17,-1000.0
2026-07-21,50200.0
2026-07-22,-3100.0
2026-07-23,14600.0
2026-07-24,15400.0
2026-07-27,10700.0
2026-07-28,-2600.0
2026-07-29,-10700.0
2026-07-30,1100.0
2026-07-31,-11500.0
2026-08-03,-80500.0
2026-08-04,-111700.0
2026-08-05,-33500.0
2026-08-06,28000.0
2026-08-07,5500.0
2026-08-10,2900.0
2026-08-12,-16700.0
2026-08-13,-3900.0
2026-08-14,85300.0
2026-08-17,-6100.0
2026-08-18,-5600.0
2026-08-19,-22800.0
2026-08-20,25800.0
2026-08-21,-8300.0
2026-08-24,12200.0
2026-08-25,-2800.0
2026-08-26,-9600.0
2026-08-27,-5700.0
2026-08-28,10500.0
2026-08-31,100.0
2026-09-01,-54200.0
2026-09-02,-34100.0
2026-09-03,1900.0
2026-09-04,900.0
2026-09-07,2900.0
2026-09-08,-9400.0
2026-09-09,-35200.0
2026-09-10,10500.0
