date,net_issuance_private_daily
2018-09-13,0.0
2018-09-14,-19990.0
2018-09-17,24567.0
2018-09-18,599.6
2018-09-19,0.0
2018-09-20,161667.1
2018-09-21,-9990.0
2018-09-24,0.0
2018-09-25,999.8
2018-09-26,0.0
2018-09-27,-3992.0
2018-09-28,0.0
2018-10-01,-20993.0
2018-10-02,0.0
2018-10-03,-24343.0
2018-10-04,0.0
2018-10-05,0.0
2018-10-08,0.0
2018-10-09,-200.6
2018-10-10,0.4
2018-10-11,0.0
2018-10-12,-7064.0
2018-10-15,23001.7
2018-10-16,0.0
2018-10-17,-19989.0
2018-10-18,0.0
2018-10-19,-10748.0
2018-10-22,1999.5
2018-10-23,0.0
2018-10-24,0.0
2018-10-25,0.0
2018-10-26,0.0
2018-10-29,-499.8
2018-10-30,0.0
2018-10-31,0.0
2018-11-01,-23256.0
2018-11-02,-25131.0
2018-11-05,-199.7
2018-11-06,0.0
2018-11-07,-4354.0
2018-11-08,0.0
2018-11-09,0.0
2018-11-12,0.1
2018-11-13,0.0
2018-11-14,-7583.0
2018-11-15,26139.0
2018-11-16,-22775.0
2018-11-19,-0.4
2018-11-20,11988.3
2018-11-21,-9992.0
2018-11-22,0.0
2018-11-23,0.0
2018-11-26,-300.1
2018-11-27,0.0
2018-11-28,-4492.0
2018-11-29,0.0
2018-11-30,0.0
2018-12-03,-23987.6
2018-12-04,0.0
2018-12-05,-25255.0
2018-12-06,0.0
2018-12-07,0.0
2018-12-10,-201.0
2018-12-11,0.0
2018-12-12,-7692.0
2018-12-13,0.0
2018-12-14,-21560.0
2018-12-17,25866.7
2018-12-18,0.0
2018-12-19,-11213.0
2018-12-20,144506.8
2018-12-21,0.0
2018-12-24,0.0
2018-12-25,-0.1
2018-12-26,0.0
2018-12-27,0.0
2018-12-28,0.0
2018-12-31,0.0
2019-01-01,0.0
2019-01-02,0.0
2019-01-03,0.0
2019-01-04,-22990.0
2019-01-07,0.0
2019-01-08,0.0
2019-01-09,-22750.1
2019-01-10,-0.3
2019-01-11,-7622.0
2019-01-14,0.0
2019-01-15,25155.6
2019-01-16,0.0
2019-01-17,-22983.0
2019-01-18,0.0
2019-01-21,11391.1
2019-01-22,0.0
2019-01-23,0.0
2019-01-24,0.0
2019-01-25,-11333.0
2019-01-28,-199.8
2019-01-29,0.0
2019-01-30,-3995.0
2019-01-31,0.0
2019-02-01,-22700.0
2019-02-04,-400.3
2019-02-05,0.0
2019-02-06,-25276.0
2019-02-07,0.0
2019-02-08,-6991.0
2019-02-11,0.0
2019-02-12,-399.7
2019-02-13,0.0
2019-02-14,-22980.0
2019-02-15,26435.0
2019-02-18,-4618.1
2019-02-19,0.0
2019-02-20,-7174.7
2019-02-21,0.0
2019-02-22,0.0
2019-02-25,-899.8
2019-02-26,0.0
2019-02-27,0.0
2019-02-28,0.0
2019-03-01,-21072.0
2019-03-04,-800.2
2019-03-05,0.0
2019-03-06,-22326.0
2019-03-07,0.0
2019-03-08,-7397.0
2019-03-11,-900.0
2019-03-12,0.0
2019-03-13,-22530.0
2019-03-14,0.0
2019-03-15,23738.0
2019-03-18,-699.9
2019-03-19,0.0
2019-03-20,172737.8
2019-03-21,0.0
2019-03-22,0.0
2019-03-25,-0.1
2019-03-26,0.0
2019-03-27,-4133.0
2019-03-28,0.0
2019-03-29,0.0
2019-04-01,-22277.0
2019-04-02,0.0
2019-04-03,-24121.0
2019-04-04,-699.7
2019-04-05,-7473.0
2019-04-08,-0.1
2019-04-09,0.0
2019-04-10,-20912.0
2019-04-11,0.0
2019-04-12,0.0
2019-04-15,23170.7
2019-04-16,0.0
2019-04-17,-9894.0
2019-04-18,0.0
2019-04-19,0.0
2019-04-22,2400.0
2019-04-23,0.0
2019-04-24,0.0
2019-04-25,0.0
2019-04-26,0.0
2019-04-29,0.0
2019-04-30,0.0
2019-05-01,0.0
2019-05-02,0.0
2019-05-03,0.0
2019-05-06,0.0
2019-05-07,-19991.0
2019-05-08,0.0
2019-05-09,-20990.8
2019-05-10,0.1
2019-05-13,-3701.6
2019-05-14,0.0
2019-05-15,18288.0
2019-05-16,0.0
2019-05-17,-21199.0
2019-05-20,13390.1
2019-05-21,0.0
2019-05-22,0.0
2019-05-23,-10072.0
2019-05-24,0.0
2019-05-27,600.7
2019-05-28,0.0
2019-05-29,-4045.0
2019-05-30,0.0
2019-05-31,0.0
2019-06-03,-19391.8
2019-06-04,0.0
2019-06-05,-20990.0
2019-06-06,0.0
2019-06-07,0.0
2019-06-10,600.5
2019-06-11,0.0
2019-06-12,0.0
2019-06-13,0.0
2019-06-14,-6997.0
2019-06-17,23048.3
2019-06-18,0.0
2019-06-19,-21185.0
2019-06-20,148233.0
2019-06-21,0.0
2019-06-24,699.9
2019-06-25,0.0
2019-06-26,-10170.0
2019-06-27,0.0
2019-06-28,0.0
2019-07-01,-20154.8
2019-07-02,0.0
2019-07-03,-20989.0
2019-07-04,0.0
2019-07-05,-7994.0
2019-07-08,99.8
2019-07-09,0.0
2019-07-10,-19496.0
2019-07-11,0.0
2019-07-12,0.0
2019-07-15,25031.0
2019-07-16,100.3
2019-07-17,0.0
2019-07-18,-10181.0
2019-07-19,0.0
2019-07-22,13292.1
2019-07-23,0.0
2019-07-24,-3996.0
2019-07-25,0.0
2019-07-26,0.0
2019-07-29,-199.8
2019-07-30,0.0
2019-07-31,0.0
2019-08-01,-21874.0
2019-08-02,-20988.0
2019-08-05,700.0
2019-08-06,0.0
2019-08-07,-6993.0
2019-08-08,0.0
2019-08-09,-4143.0
2019-08-12,0.0
2019-08-13,-0.6
2019-08-14,0.0
2019-08-15,22094.0
2019-08-16,-21817.0
2019-08-19,-0.1
2019-08-20,1999.8
2019-08-21,-10187.0
2019-08-22,0.0
2019-08-23,0.0
2019-08-26,199.2
2019-08-27,0.0
2019-08-28,0.0
2019-08-29,0.0
2019-08-30,0.0
2019-09-02,-21226.3
2019-09-03,0.0
2019-09-04,-24121.0
2019-09-05,0.0
2019-09-06,-7976.0
2019-09-09,0.2
2019-09-10,-0.1
2019-09-11,0.0
2019-09-12,-18995.0
2019-09-13,0.0
2019-09-16,24532.0
2019-09-17,499.4
2019-09-18,0.0
2019-09-19,-9493.0
2019-09-20,175060.9
2019-09-23,0.0
2019-09-24,0.1
2019-09-25,0.0
2019-09-26,-4556.0
2019-09-27,0.0
2019-09-30,100.0
2019-10-01,-19994.0
2019-10-02,-20997.0
2019-10-03,0.0
2019-10-04,0.0
2019-10-07,599.9
2019-10-08,0.0
2019-10-09,0.0
2019-10-10,0.1
2019-10-11,-7951.0
2019-10-14,0.0
2019-10-15,21994.7
2019-10-16,0.0
2019-10-17,0.0
2019-10-18,-18992.0
2019-10-21,1999.9
2019-10-22,0.0
2019-10-23,0.0
2019-10-24,0.0
2019-10-25,-8993.0
2019-10-28,499.9
2019-10-29,0.0
2019-10-30,0.0
2019-10-31,0.0
2019-11-01,-22984.0
2019-11-04,0.0
2019-11-05,-300.2
2019-11-06,0.0
2019-11-07,-20994.0
2019-11-08,0.0
2019-11-11,-4003.3
2019-11-12,0.0
2019-11-13,-6995.0
2019-11-14,0.0
2019-11-15,1794.0
2019-11-18,-200.4
2019-11-19,0.0
2019-11-20,15017.0
2019-11-21,-10328.0
2019-11-22,0.0
2019-11-25,-500.1
2019-11-26,0.0
2019-11-27,-4550.0
2019-11-28,0.0
2019-11-29,0.0
2019-12-02,-19994.9
2019-12-03,0.0
2019-12-04,-20994.0
2019-12-05,0.0
2019-12-06,-8025.0
2019-12-09,-200.6
2019-12-10,0.1
2019-12-11,-21834.0
2019-12-12,0.0
2019-12-13,0.0
2019-12-16,21591.6
2019-12-17,0.0
2019-12-18,-10275.0
2019-12-19,0.0
2019-12-20,161333.1
2019-12-23,-700.3
2019-12-24,0.0
2019-12-25,0.0
2019-12-26,0.0
2019-12-27,0.0
2019-12-30,0.0
2019-12-31,0.0
2020-01-01,0.0
2020-01-02,0.0
2020-01-03,0.0
2020-01-06,-22572.0
2020-01-07,0.0
2020-01-08,-22411.0
2020-01-09,0.0
2020-01-10,-6989.9
2020-01-13,0.0
2020-01-14,-699.7
2020-01-15,25215.0
2020-01-16,-20883.0
2020-01-17,0.0
2020-01-20,6955.0
2020-01-21,0.0
2020-01-22,0.0
2020-01-23,0.0
2020-01-24,0.0
2020-01-27,-699.6
2020-01-28,0.0
2020-01-29,-4042.0
2020-01-30,0.0
2020-01-31,0.0
2020-02-03,-23685.6
2020-02-04,0.0
2020-02-05,-22703.0
2020-02-06,0.0
2020-02-07,-7016.0
2020-02-10,-4399.4
2020-02-11,0.0
2020-02-12,0.0
2020-02-13,-4153.0
2020-02-14,0.0
2020-02-17,22217.4
2020-02-18,0.0
2020-02-19,-20877.0
2020-02-20,-0.3
2020-02-21,-9698.0
2020-02-24,0.0
2020-02-25,-1199.6
2020-02-26,0.0
2020-02-27,0.0
2020-02-28,0.0
2020-03-02,-26271.9
