date,pension_balance_py
2024-04-30,-41591.32
2024-05-31,19770.96
2024-06-30,-44019.48
2024-07-31,19738.91
2024-08-31,-34536.57
2024-09-30,26662.59
2024-10-31,-51183.82
2024-11-30,19188.1
2024-12-31,-43260.82
2025-01-31,15949.43
2025-02-28,-24077.94
2025-03-31,8084.92
2025-04-30,-37986.19
2025-05-31,20581.79
2025-06-30,-46030.34
2025-07-31,20740.15
2025-08-31,-37969.44
2025-09-30,26099.42
2025-10-31,-46766.88
2025-11-30,3862.55
2025-12-31,-43475.43
2026-01-31,18300.11
2026-02-28,-25606.21
2026-03-31,13474.81
2026-04-30,-35925.59
2026-05-31,23839.08
2026-06-30,-45831.54
2026-07-31,21595.04
2026-08-31,-42099.89
