date,B2:INM.DS61.NZZC
2023-12-13,-45.0
2023-12-14,-38.0
2023-12-15,-42.0
2023-12-18,-44.0
2023-12-19,-50.0
2023-12-20,-48.0
2023-12-21,-47.0
2023-12-22,-43.0
2023-12-27,-47.0
2023-12-28,-49.0
2023-12-29,-50.0
2024-01-03,-45.0
2024-01-04,-45.0
2024-01-05,-42.0
2024-01-08,-43.0
2024-01-09,-42.0
2024-01-10,-42.0
2024-01-11,-41.0
2024-01-12,-38.0
2024-01-15,-34.0
2024-01-16,-34.0
2024-01-17,-30.0
2024-01-18,-33.0
2024-01-19,-27.0
2024-01-22,-27.0
2024-01-23,-34.0
2024-01-24,-32.0
2024-01-25,-29.0
2024-01-26,-29.0
2024-01-29,-29.0
2024-01-30,-32.0
2024-01-31,-39.0
2024-02-01,-41.0
2024-02-02,-40.0
2024-02-05,-43.0
2024-02-07,-47.0
2024-02-08,-47.0
2024-02-09,-57.0
2024-02-12,-57.0
2024-02-13,-49.0
2024-02-14,-46.0
2024-02-15,-52.0
2024-02-16,-48.0
2024-02-19,-48.0
2024-02-20,-50.0
2024-02-21,-50.0
2024-02-22,-53.0
2024-02-23,-54.0
2024-02-26,-56.0
2024-02-27,-51.0
2024-02-28,-44.0
2024-02-29,-44.0
2024-03-01,-46.0
2024-03-04,-50.0
2024-03-05,-52.0
2024-03-06,-54.0
2024-03-07,-57.0
2024-03-08,-54.0
2024-03-11,-51.0
2024-03-12,-52.0
2024-03-13,-51.0
2024-03-14,-51.0
2024-03-15,-49.0
2024-03-18,-51.0
2024-03-19,-48.0
2024-03-20,-47.0
2024-03-21,-44.0
2024-03-22,-46.0
2024-03-25,-47.0
2024-03-26,-45.0
2024-03-27,-47.0
2024-03-28,-43.0
2024-04-02,-41.0
2024-04-03,-38.0
2024-04-04,-38.0
2024-04-05,-41.0
2024-04-08,-40.0
2024-04-09,-41.0
2024-04-10,-44.0
2024-04-11,-42.0
2024-04-12,-43.0
2024-04-15,-41.0
2024-04-16,-39.0
2024-04-17,-39.0
2024-04-18,-39.0
2024-04-19,-39.0
2024-04-22,-38.0
2024-04-23,-38.0
2024-04-24,-37.0
2024-04-26,-34.0
2024-04-29,-33.0
2024-04-30,-34.0
2024-05-01,-31.0
2024-05-02,-33.0
2024-05-03,-34.0
2024-05-06,-38.0
2024-05-07,-40.0
2024-05-08,-44.0
2024-05-09,-42.0
2024-05-10,-41.0
2024-05-13,-40.0
2024-05-14,-40.0
2024-05-15,-41.0
2024-05-16,-44.0
2024-05-17,-43.0
2024-05-20,-43.0
2024-05-21,-41.0
2024-05-22,-45.0
2024-05-23,-50.0
2024-05-24,-50.0
2024-05-27,-52.0
2024-05-28,-51.0
2024-05-29,-47.0
2024-05-30,-43.0
2024-05-31,-44.0
2024-06-04,-46.0
2024-06-05,-50.0
2024-06-06,-49.0
2024-06-07,-50.0
2024-06-10,-47.0
2024-06-11,-45.0
2024-06-12,-46.0
2024-06-13,-49.0
2024-06-14,-51.0
2024-06-17,-53.0
2024-06-18,-52.0
2024-06-19,-53.0
2024-06-20,-51.0
2024-06-21,-49.0
2024-06-24,-51.0
2024-06-25,-52.0
2024-06-26,-51.0
2024-06-27,-46.0
2024-07-01,-43.0
2024-07-02,-38.0
2024-07-03,-35.0
2024-07-04,-34.0
2024-07-05,-37.0
2024-07-08,-39.0
2024-07-09,-40.0
2024-07-10,-28.0
2024-07-11,-23.0
2024-07-12,-22.0
2024-07-15,-21.0
2024-07-16,-23.0
2024-07-17,-25.0
2024-07-18,-24.0
2024-07-19,-19.0
2024-07-22,-18.0
2024-07-23,-16.0
2024-07-24,-11.0
2024-07-25,-7.0
2024-07-26,-12.0
2024-07-29,-13.0
2024-07-30,-11.0
2024-07-31,-16.0
2024-08-01,-18.0
2024-08-02,-15.0
2024-08-05,-3.0
2024-08-06,-4.0
2024-08-07,-8.0
2024-08-08,0.0
2024-08-09,4.0
2024-08-12,1.0
2024-08-13,-3.0
2024-08-14,3.0
2024-08-15,10.0
2024-08-16,7.0
2024-08-19,7.0
2024-08-20,4.0
2024-08-21,2.0
2024-08-22,2.0
2024-08-23,4.0
2024-08-26,5.0
2024-08-27,6.0
2024-08-28,8.0
2024-08-29,7.0
2024-08-30,6.0
2024-09-02,9.0
2024-09-03,10.0
2024-09-04,8.0
2024-09-05,12.0
2024-09-06,10.0
2024-09-09,13.0
2024-09-10,11.0
2024-09-11,12.0
2024-09-12,11.0
2024-09-13,12.0
2024-09-16,15.0
2024-09-17,16.0
2024-09-18,15.0
2024-09-19,17.0
2024-09-20,19.0
2024-09-23,22.0
2024-09-24,25.0
2024-09-25,27.0
2024-09-26,32.0
2024-09-27,31.0
2024-09-30,31.0
2024-10-01,31.0
2024-10-02,30.0
2024-10-03,32.0
2024-10-04,36.0
2024-10-07,34.0
2024-10-08,32.0
2024-10-09,33.0
2024-10-10,36.0
2024-10-11,37.0
2024-10-14,38.0
2024-10-15,39.0
2024-10-16,43.0
2024-10-17,46.0
2024-10-18,47.0
2024-10-21,48.0
2024-10-22,53.0
2024-10-23,55.0
2024-10-24,53.0
2024-10-25,50.0
2024-10-29,51.0
2024-10-30,52.0
2024-10-31,52.0
2024-11-01,49.0
2024-11-04,50.0
2024-11-05,48.0
2024-11-06,47.0
2024-11-07,46.0
2024-11-08,45.0
2024-11-11,43.0
2024-11-12,42.0
2024-11-13,40.0
2024-11-14,45.0
2024-11-15,43.0
2024-11-18,45.0
2024-11-19,47.0
2024-11-20,47.0
2024-11-21,49.0
2024-11-22,50.0
2024-11-25,49.0
2024-11-26,47.0
2024-11-27,41.0
2024-11-28,38.0
2024-11-29,36.0
2024-12-02,33.0
2024-12-03,29.0
2024-12-04,34.0
2024-12-05,37.0
2024-12-06,38.0
2024-12-09,35.0
2024-12-10,37.0
2024-12-11,38.0
2024-12-12,43.0
2024-12-13,42.0
2024-12-16,44.0
2024-12-17,43.0
2024-12-18,42.0
2024-12-19,51.0
2024-12-20,57.0
2024-12-23,55.0
2024-12-24,55.0
2024-12-27,55.0
2024-12-30,57.0
2024-12-31,55.0
2025-01-03,56.0
2025-01-06,59.0
2025-01-07,61.0
2025-01-08,67.0
2025-01-09,70.0
2025-01-10,70.0
2025-01-13,69.0
2025-01-14,64.0
2025-01-15,64.0
2025-01-16,61.0
2025-01-17,61.0
2025-01-20,61.0
2025-01-21,59.0
2025-01-22,62.0
2025-01-23,63.0
2025-01-24,63.0
2025-01-27,63.0
2025-01-28,60.0
2025-01-29,60.0
2025-01-30,63.0
2025-01-31,65.0
2025-02-03,67.0
2025-02-04,71.0
2025-02-05,69.0
2025-02-07,59.0
2025-02-10,65.0
2025-02-11,63.0
2025-02-12,67.0
2025-02-13,68.0
2025-02-14,65.0
2025-02-17,64.0
2025-02-18,69.0
2025-02-19,67.0
2025-02-20,66.0
2025-02-21,69.0
2025-02-24,66.0
2025-02-25,65.0
2025-02-26,62.0
2025-02-27,62.0
2025-02-28,63.0
2025-03-03,65.0
2025-03-04,63.0
2025-03-05,68.0
2025-03-06,74.0
2025-03-07,72.0
2025-03-10,73.0
2025-03-11,72.0
2025-03-12,75.0
2025-03-13,72.0
2025-03-14,69.0
2025-03-17,69.0
2025-03-18,69.0
2025-03-19,71.0
2025-03-20,69.0
2025-03-21,71.0
2025-03-24,74.0
2025-03-25,74.0
2025-03-26,75.0
2025-03-27,76.0
2025-03-28,75.0
2025-03-31,73.0
2025-04-01,74.0
2025-04-02,71.0
2025-04-03,67.0
2025-04-04,73.0
2025-04-07,79.0
2025-04-08,86.0
2025-04-09,111.0
2025-04-10,92.0
2025-04-11,106.0
2025-04-14,102.0
2025-04-15,92.0
2025-04-16,95.0
2025-04-17,91.0
2025-04-22,95.0
2025-04-23,93.0
2025-04-24,93.0
2025-04-28,90.0
2025-04-29,90.0
2025-04-30,87.0
2025-05-01,89.0
2025-05-02,88.0
2025-05-05,89.0
2025-05-06,92.0
2025-05-07,91.0
2025-05-08,88.0
2025-05-09,88.0
2025-05-12,89.0
2025-05-13,90.0
2025-05-14,94.0
2025-05-15,97.0
2025-05-16,92.0
2025-05-19,95.0
2025-05-20,92.0
2025-05-21,96.0
2025-05-22,99.0
2025-05-23,97.0
2025-05-26,95.0
2025-05-27,92.0
2025-05-28,90.0
2025-05-29,88.0
2025-05-30,84.0
2025-06-03,89.0
2025-06-04,87.0
2025-06-05,85.0
2025-06-06,87.0
2025-06-09,91.0
2025-06-10,89.0
2025-06-11,85.0
2025-06-12,83.0
2025-06-13,82.0
2025-06-16,87.0
2025-06-17,87.0
2025-06-18,85.0
2025-06-19,84.0
2025-06-23,86.0
2025-06-24,85.0
2025-06-25,85.0
2025-06-26,86.0
2025-06-27,87.0
2025-06-30,88.0
2025-07-01,86.0
2025-07-02,87.0
2025-07-03,89.0
2025-07-04,89.0
2025-07-07,89.0
2025-07-08,89.0
2025-07-09,95.0
2025-07-10,89.0
2025-07-11,91.0
2025-07-14,94.0
2025-07-15,94.0
2025-07-16,95.0
2025-07-17,95.0
2025-07-18,94.0
2025-07-21,98.0
2025-07-22,94.0
2025-07-23,92.0
2025-07-24,95.0
2025-07-25,94.0
2025-07-28,92.0
2025-07-29,91.0
2025-07-30,89.0
2025-07-31,89.0
2025-08-01,91.0
2025-08-04,91.0
