date,C50:MCA.MDB.BM
2019-01-31,307559.0
2019-02-28,309109.0
2019-03-31,312159.0
2019-04-30,313888.0
2019-05-31,312948.0
2019-06-30,316000.0
2019-07-31,318934.0
2019-08-31,317126.0
2019-09-30,320212.0
2019-10-31,321673.0
2019-11-30,324328.0
2019-12-31,326071.0
2020-01-31,322987.0
2020-02-29,326490.0
2020-03-31,337987.0
2020-04-30,344965.0
2020-05-31,343608.0
2020-06-30,346397.0
2020-07-31,350385.0
2020-08-31,354806.0
2020-09-30,355780.0
2020-10-31,359598.0
2020-11-30,360384.0
2020-12-31,365780.0
2021-01-31,359421.0
2021-02-28,361166.0
2021-03-31,365809.0
2021-04-30,368720.0
2021-05-31,364349.0
2021-06-30,366418.0
2021-07-31,373053.0
2021-08-31,369963.0
2021-09-30,374561.0
2021-10-31,378237.0
2021-11-30,382985.0
2021-12-31,391602.0
2022-01-31,384879.0
2022-02-28,386923.0
2022-03-31,390385.0
2022-04-30,391962.0
2022-05-31,389594.0
2022-06-30,389035.0
2022-07-31,390828.0
2022-08-31,391713.0
2022-09-30,391912.0
2022-10-31,393508.0
2022-11-30,397263.0
2022-12-31,398778.0
2023-01-31,393400.0
2023-02-28,394722.0
2023-03-31,395721.0
2023-04-30,398520.0
2023-05-31,395740.0
2023-06-30,399129.0
2023-07-31,403358.0
2023-08-31,403361.0
2023-09-30,404877.0
2023-10-31,405884.0
2023-11-30,410532.0
2023-12-31,412988.0
2024-01-31,408260.0
2024-02-29,407638.0
2024-03-31,411299.0
2024-04-30,412323.0
2024-05-31,410122.0
2024-06-30,412948.0
2024-07-31,416089.0
2024-08-31,415026.0
2024-09-30,417104.0
2024-10-31,418981.0
2024-11-30,424404.0
2024-12-31,430065.0
2025-01-31,426999.0
2025-02-28,428046.0
2025-03-31,431431.0
2025-04-30,435082.0
2025-05-31,432594.0
2025-06-30,433507.0
2025-07-31,439451.0
2025-08-31,436632.0
2025-09-30,440152.0
2025-10-31,442324.0
2025-11-30,443578.0
2025-12-31,447880.0
2026-01-31,441739.0
2026-02-28,445894.0
2026-03-31,455643.0
2026-04-30,454442.0
2026-05-31,451046.0
2026-06-30,454697.0
2026-07-31,458490.0
