date,C50:MCA.MDB.C32
2019-01-31,77716.0
2019-02-28,77738.0
2019-03-31,78161.0
2019-04-30,79119.0
2019-05-31,77708.0
2019-06-30,77679.0
2019-07-31,78701.0
2019-08-31,77750.0
2019-09-30,78961.0
2019-10-31,80046.0
2019-11-30,80962.0
2019-12-31,81360.0
2020-01-31,81140.0
2020-02-29,81663.0
2020-03-31,86859.0
2020-04-30,91161.0
2020-05-31,90914.0
2020-06-30,92455.0
2020-07-31,94643.0
2020-08-31,96885.0
2020-09-30,99556.0
2020-10-31,103657.0
2020-11-30,104906.0
2020-12-31,107358.0
2021-01-31,107917.0
2021-02-28,109303.0
2021-03-31,112063.0
2021-04-30,113735.0
2021-05-31,113066.0
2021-06-30,114283.0
2021-07-31,115070.0
2021-08-31,115076.0
2021-09-30,115340.0
2021-10-31,115598.0
2021-11-30,116677.0
2021-12-31,117639.0
2022-01-31,116541.0
2022-02-28,117114.0
2022-03-31,117232.0
2022-04-30,116300.0
2022-05-31,113815.0
2022-06-30,113374.0
2022-07-31,112319.0
2022-08-31,110552.0
2022-09-30,111110.0
2022-10-31,110856.0
2022-11-30,111163.0
2022-12-31,109784.0
2023-01-31,107961.0
2023-02-28,108098.0
2023-03-31,107148.0
2023-04-30,106885.0
2023-05-31,104987.0
2023-06-30,105283.0
2023-07-31,106738.0
2023-08-31,106151.0
2023-09-30,106569.0
2023-10-31,107097.0
2023-11-30,107416.0
2023-12-31,107155.0
2024-01-31,105967.0
2024-02-29,105107.0
2024-03-31,106147.0
2024-04-30,106433.0
2024-05-31,104952.0
2024-06-30,104791.0
2024-07-31,105791.0
2024-08-31,103711.0
2024-09-30,104807.0
2024-10-31,105380.0
2024-11-30,107313.0
2024-12-31,107932.0
2025-01-31,107363.0
2025-02-28,108499.0
2025-03-31,110709.0
2025-04-30,111294.0
2025-05-31,109018.0
2025-06-30,109667.0
2025-07-31,110988.0
2025-08-31,109937.0
2025-09-30,111693.0
2025-10-31,112194.0
2025-11-30,114090.0
2025-12-31,113829.0
2026-01-31,113289.0
2026-02-28,113550.0
2026-03-31,114364.0
2026-04-30,115239.0
2026-05-31,113017.0
2026-06-30,112803.0
2026-07-31,113415.0
