date,C50:MCA.MDB.S
2019-01-31,238929.0
2019-02-28,239865.0
2019-03-31,241158.0
2019-04-30,241481.0
2019-05-31,241408.0
2019-06-30,242602.0
2019-07-31,244424.0
2019-08-31,244404.0
2019-09-30,244842.0
2019-10-31,245486.0
2019-11-30,245569.0
2019-12-31,245740.0
2020-01-31,244297.0
2020-02-29,246000.0
2020-03-31,246860.0
2020-04-30,248886.0
2020-05-31,248319.0
2020-06-30,249486.0
2020-07-31,251630.0
2020-08-31,251268.0
2020-09-30,251520.0
2020-10-31,253199.0
2020-11-30,250506.0
2020-12-31,250857.0
2021-01-31,248110.0
2021-02-28,246476.0
2021-03-31,246406.0
2021-04-30,246650.0
2021-05-31,243325.0
2021-06-30,243966.0
2021-07-31,245752.0
2021-08-31,244446.0
2021-09-30,244185.0
2021-10-31,244140.0
2021-11-30,245708.0
2021-12-31,250177.0
2022-01-31,248021.0
2022-02-28,250082.0
2022-03-31,250230.0
2022-04-30,250718.0
2022-05-31,250911.0
2022-06-30,252546.0
2022-07-31,255679.0
2022-08-31,257420.0
2022-09-30,259093.0
2022-10-31,261894.0
2022-11-30,265530.0
2022-12-31,269492.0
2023-01-31,269306.0
2023-02-28,271191.0
2023-03-31,272630.0
2023-04-30,275039.0
2023-05-31,275590.0
2023-06-30,278417.0
2023-07-31,282530.0
2023-08-31,284463.0
2023-09-30,285894.0
2023-10-31,287316.0
2023-11-30,290276.0
2023-12-31,292340.0
2024-01-31,291591.0
2024-02-29,291913.0
2024-03-31,293336.0
2024-04-30,294551.0
2024-05-31,294962.0
2024-06-30,295255.0
2024-07-31,299178.0
2024-08-31,299490.0
2024-09-30,301000.0
2024-10-31,302331.0
2024-11-30,305257.0
2024-12-31,308141.0
2025-01-31,307545.0
2025-02-28,308637.0
2025-03-31,309237.0
2025-04-30,309528.0
2025-05-31,308541.0
2025-06-30,308825.0
2025-07-31,312433.0
2025-08-31,312233.0
2025-09-30,311162.0
2025-10-31,311594.0
2025-11-30,312455.0
2025-12-31,313217.0
2026-01-31,311617.0
2026-02-28,312933.0
2026-03-31,317666.0
2026-04-30,316603.0
2026-05-31,316279.0
2026-06-30,316724.0
2026-07-31,320121.0
