date,C50:MCA.MDC.DC
2019-01-31,456075.0
2019-02-28,457934.0
2019-03-31,464100.0
2019-04-30,467709.0
2019-05-31,466780.0
2019-06-30,470962.0
2019-07-31,478562.0
2019-08-31,480498.0
2019-09-30,482296.0
2019-10-31,485062.0
2019-11-30,488510.0
2019-12-31,489098.0
2020-01-31,486277.0
2020-02-29,493500.0
2020-03-31,507618.0
2020-04-30,513641.0
2020-05-31,514590.0
2020-06-30,515431.0
2020-07-31,519486.0
2020-08-31,525302.0
2020-09-30,527077.0
2020-10-31,533658.0
2020-11-30,535994.0
2020-12-31,544482.0
2021-01-31,536579.0
2021-02-28,539227.0
2021-03-31,542795.0
2021-04-30,547264.0
2021-05-31,547479.0
2021-06-30,550997.0
2021-07-31,555141.0
2021-08-31,552484.0
2021-09-30,555898.0
2021-10-31,560354.0
2021-11-30,567833.0
2021-12-31,576332.0
2022-01-31,572047.0
2022-02-28,572268.0
2022-03-31,575549.0
2022-04-30,583834.0
2022-05-31,579195.0
2022-06-30,582819.0
2022-07-31,583478.0
2022-08-31,585882.0
2022-09-30,592498.0
2022-10-31,590666.0
2022-11-30,591090.0
2022-12-31,594069.0
2023-01-31,587252.0
2023-02-28,588749.0
2023-03-31,586428.0
2023-04-30,592336.0
2023-05-31,587567.0
2023-06-30,590243.0
2023-07-31,591664.0
2023-08-31,591277.0
2023-09-30,592629.0
2023-10-31,598075.0
2023-11-30,597160.0
2023-12-31,601576.0
2024-01-31,595287.0
2024-02-29,593318.0
2024-03-31,595999.0
2024-04-30,594249.0
2024-05-31,596446.0
2024-06-30,595544.0
2024-07-31,600904.0
2024-08-31,596502.0
2024-09-30,600988.0
2024-10-31,602046.0
2024-11-30,607710.0
2024-12-31,614483.0
2025-01-31,607110.0
2025-02-28,605955.0
2025-03-31,608972.0
2025-04-30,614726.0
2025-05-31,613068.0
2025-06-30,617264.0
2025-07-31,620337.0
2025-08-31,624124.0
2025-09-30,629548.0
2025-10-31,633520.0
2025-11-30,632756.0
2025-12-31,640247.0
2026-01-31,633307.0
2026-02-28,638228.0
2026-03-31,639202.0
2026-04-30,636006.0
2026-05-31,635292.0
2026-06-30,643299.0
2026-07-31,642321.0
