date,C50:MCA.MDC.G1
2019-01-31,26298.0
2019-02-28,27087.0
2019-03-31,20376.0
2019-04-30,21662.0
2019-05-31,20792.0
2019-06-30,21593.0
2019-07-31,22964.0
2019-08-31,23229.0
2019-09-30,23627.0
2019-10-31,24632.0
2019-11-30,26357.0
2019-12-31,25441.0
2020-01-31,25588.0
2020-02-29,28787.0
2020-03-31,34579.0
2020-04-30,42460.0
2020-05-31,51280.0
2020-06-30,60693.0
2020-07-31,66272.0
2020-08-31,74971.0
2020-09-30,83106.0
2020-10-31,86955.0
2020-11-30,88586.0
2020-12-31,90785.0
2021-01-31,89952.0
2021-02-28,93592.0
2021-03-31,96784.0
2021-04-30,99721.0
2021-05-31,92312.0
2021-06-30,93673.0
2021-07-31,93195.0
2021-08-31,92428.0
2021-09-30,93613.0
2021-10-31,92418.0
2021-11-30,92155.0
2021-12-31,91175.0
2022-01-31,90175.0
2022-02-28,89598.0
2022-03-31,88349.0
2022-04-30,88645.0
2022-05-31,88950.0
2022-06-30,88343.0
2022-07-31,88133.0
2022-08-31,88836.0
2022-09-30,88998.0
2022-10-31,87956.0
2022-11-30,87647.0
2022-12-31,85699.0
2023-01-31,85151.0
2023-02-28,85407.0
2023-03-31,87208.0
2023-04-30,73016.0
2023-05-31,72429.0
2023-06-30,72053.0
2023-07-31,73078.0
2023-08-31,73813.0
2023-09-30,74634.0
2023-10-31,75473.0
2023-11-30,74782.0
2023-12-31,74911.0
2024-01-31,73818.0
2024-02-29,74137.0
2024-03-31,75247.0
2024-04-30,77015.0
2024-05-31,67591.0
2024-06-30,70996.0
2024-07-31,72981.0
2024-08-31,73595.0
2024-09-30,73020.0
2024-10-31,73316.0
2024-11-30,73571.0
2024-12-31,73744.0
2025-01-31,73000.0
2025-02-28,74897.0
2025-03-31,74555.0
2025-04-30,65230.0
2025-05-31,63854.0
2025-06-30,63917.0
2025-07-31,66230.0
2025-08-31,67082.0
2025-09-30,67817.0
2025-10-31,66913.0
2025-11-30,66773.0
2025-12-31,66997.0
2026-01-31,66396.0
2026-02-28,66723.0
2026-03-31,67547.0
2026-04-30,66364.0
2026-05-31,60785.0
2026-06-30,62954.0
2026-07-31,63038.0
