date,C50:MCA.MDC.T1
2019-01-31,71127.0
2019-02-28,73437.0
2019-03-31,71377.0
2019-04-30,72698.0
2019-05-31,78952.0
2019-06-30,73718.0
2019-07-31,74469.0
2019-08-31,84328.0
2019-09-30,80683.0
2019-10-31,71098.0
2019-11-30,70842.0
2019-12-31,71549.0
2020-01-31,77499.0
2020-02-29,86607.0
2020-03-31,99158.0
2020-04-30,90355.0
2020-05-31,82635.0
2020-06-30,80532.0
2020-07-31,79627.0
2020-08-31,75058.0
2020-09-30,65773.0
2020-10-31,63669.0
2020-11-30,67379.0
2020-12-31,67951.0
2021-01-31,63672.0
2021-02-28,64943.0
2021-03-31,63576.0
2021-04-30,61980.0
2021-05-31,63318.0
2021-06-30,63727.0
2021-07-31,60664.0
2021-08-31,54908.0
2021-09-30,57197.0
2021-10-31,58762.0
2021-11-30,57618.0
2021-12-31,56987.0
2022-01-31,62599.0
2022-02-28,57393.0
2022-03-31,58827.0
2022-04-30,65364.0
2022-05-31,61471.0
2022-06-30,66293.0
2022-07-31,61010.0
2022-08-31,66698.0
2022-09-30,82978.0
2022-10-31,74593.0
2022-11-30,75287.0
2022-12-31,69469.0
2023-01-31,67182.0
2023-02-28,72316.0
2023-03-31,64469.0
2023-04-30,68179.0
2023-05-31,72809.0
2023-06-30,67843.0
2023-07-31,70750.0
2023-08-31,77969.0
2023-09-30,75094.0
2023-10-31,78989.0
2023-11-30,77388.0
2023-12-31,73120.0
2024-01-31,74629.0
2024-02-29,73641.0
2024-03-31,74063.0
2024-04-30,78268.0
2024-05-31,72635.0
2024-06-30,72200.0
2024-07-31,82589.0
2024-08-31,78108.0
2024-09-30,77143.0
2024-10-31,82672.0
2024-11-30,85225.0
2024-12-31,98199.0
2025-01-31,100201.0
2025-02-28,101873.0
2025-03-31,90137.0
2025-04-30,95853.0
2025-05-31,94461.0
2025-06-30,96287.0
2025-07-31,96963.0
2025-08-31,97269.0
2025-09-30,99992.0
2025-10-31,101324.0
2025-11-30,105781.0
2025-12-31,96301.0
2026-01-31,105316.0
2026-02-28,98470.0
2026-03-31,115097.0
2026-04-30,111166.0
2026-05-31,108737.0
2026-06-30,115929.0
2026-07-31,104317.0
