date,C50:MCA.MDC.W1
2019-01-31,10983.0
2019-02-28,9861.0
2019-03-31,11048.0
2019-04-30,10174.0
2019-05-31,9907.0
2019-06-30,10126.0
2019-07-31,10216.0
2019-08-31,10707.0
2019-09-30,10556.0
2019-10-31,11411.0
2019-11-30,11441.0
2019-12-31,11143.0
2020-01-31,11427.0
2020-02-29,11937.0
2020-03-31,11611.0
2020-04-30,13178.0
2020-05-31,12116.0
2020-06-30,12884.0
2020-07-31,13074.0
2020-08-31,17879.0
2020-09-30,11706.0
2020-10-31,16538.0
2020-11-30,13790.0
2020-12-31,11252.0
2021-01-31,12362.0
2021-02-28,12820.0
2021-03-31,11793.0
2021-04-30,12989.0
2021-05-31,12759.0
2021-06-30,11969.0
2021-07-31,12409.0
2021-08-31,11310.0
2021-09-30,12711.0
2021-10-31,12369.0
2021-11-30,11992.0
2021-12-31,11213.0
2022-01-31,13046.0
2022-02-28,11400.0
2022-03-31,12348.0
2022-04-30,12459.0
2022-05-31,12263.0
2022-06-30,11697.0
2022-07-31,11826.0
2022-08-31,13399.0
2022-09-30,13062.0
2022-10-31,13154.0
2022-11-30,13058.0
2022-12-31,11678.0
2023-01-31,14116.0
2023-02-28,13035.0
2023-03-31,13975.0
2023-04-30,13177.0
2023-05-31,13602.0
2023-06-30,15210.0
2023-07-31,13930.0
2023-08-31,15192.0
2023-09-30,13731.0
2023-10-31,14193.0
2023-11-30,15419.0
2023-12-31,13813.0
2024-01-31,14620.0
2024-02-29,15618.0
2024-03-31,15140.0
2024-04-30,15169.0
2024-05-31,14666.0
2024-06-30,15459.0
2024-07-31,15374.0
2024-08-31,16152.0
2024-09-30,16652.0
2024-10-31,16644.0
2024-11-30,15414.0
2024-12-31,15139.0
2025-01-31,16448.0
2025-02-28,15795.0
2025-03-31,15888.0
2025-04-30,16524.0
2025-05-31,17059.0
2025-06-30,16104.0
2025-07-31,15729.0
2025-08-31,16285.0
2025-09-30,17704.0
2025-10-31,17184.0
2025-11-30,18452.0
2025-12-31,17469.0
2026-01-31,17644.0
2026-02-28,17317.0
2026-03-31,16148.0
2026-04-30,18061.0
2026-05-31,17904.0
2026-06-30,16819.0
2026-07-31,17217.0
