date,C5:CRD.MNA321
2019-01-31,5680.0
2019-02-28,5702.0
2019-03-31,5704.0
2019-04-30,5720.0
2019-05-31,5725.0
2019-06-30,5714.0
2019-07-31,5719.0
2019-08-31,5729.0
2019-09-30,5688.0
2019-10-31,5690.0
2019-11-30,5728.0
2019-12-31,5808.0
2020-01-31,5819.0
2020-02-29,5816.0
2020-03-31,5739.0
2020-04-30,5484.0
2020-05-31,5408.0
2020-06-30,5374.0
2020-07-31,5298.0
2020-08-31,5305.0
2020-09-30,6411.0
2020-10-31,6402.0
2020-11-30,6454.0
2020-12-31,6523.0
2021-01-31,6506.0
2021-02-28,6512.0
2021-03-31,6485.0
2021-04-30,6477.0
2021-05-31,6493.0
2021-06-30,6482.0
2021-07-31,6475.0
2021-08-31,6420.0
2021-09-30,6319.0
2021-10-31,6312.0
2021-11-30,6378.0
2021-12-31,6404.0
2022-01-31,6385.0
2022-02-28,6375.0
2022-03-31,6367.0
2022-04-30,6372.0
2022-05-31,6375.0
2022-06-30,6379.0
2022-07-31,6370.0
2022-08-31,6387.0
2022-09-30,6409.0
2022-10-31,6422.0
2022-11-30,6479.0
2022-12-31,6611.0
2023-01-31,6637.0
2023-02-28,6668.0
2023-03-31,6667.0
2023-04-30,6690.0
2023-05-31,6699.0
2023-06-30,6718.0
2023-07-31,6719.0
2023-08-31,6747.0
2023-09-30,6796.0
2023-10-31,6799.0
2023-11-30,6930.0
2023-12-31,7022.0
2024-01-31,7058.0
2024-02-29,7072.0
2024-03-31,7046.0
2024-04-30,7026.0
2024-05-31,7020.0
2024-06-30,6996.0
2024-07-31,7017.0
2024-08-31,7046.0
2024-09-30,7080.0
2024-10-31,7112.0
2024-11-30,7027.0
2024-12-31,6956.0
2025-01-31,6986.0
2025-02-28,7002.0
2025-03-31,7004.0
2025-04-30,7004.0
2025-05-31,7024.0
2025-06-30,6781.0
2025-07-31,6793.0
2025-08-31,6832.0
2025-09-30,6862.0
2025-10-31,6896.0
2025-11-30,7011.0
2025-12-31,7051.0
2026-01-31,7109.0
2026-02-28,7141.0
2026-03-31,7121.0
2026-04-30,7125.0
2026-05-31,7167.0
2026-06-30,7206.0
2026-07-31,7199.0
