date,C5:CRDS.MALP4
2019-01-31,62882.0
2019-02-28,62840.0
2019-03-31,62796.0
2019-04-30,62933.0
2019-05-31,63459.0
2019-06-30,63616.0
2019-07-31,63866.0
2019-08-31,63767.0
2019-09-30,63674.0
2019-10-31,63442.0
2019-11-30,63531.0
2019-12-31,63088.0
2020-01-31,63111.0
2020-02-29,62779.0
2020-03-31,62897.0
2020-04-30,62802.0
2020-05-31,62828.0
2020-06-30,62894.0
2020-07-31,63095.0
2020-08-31,63097.0
2020-09-30,62862.0
2020-10-31,62735.0
2020-11-30,62710.0
2020-12-31,62525.0
2021-01-31,62591.0
2021-02-28,62329.0
2021-03-31,62267.0
2021-04-30,62040.0
2021-05-31,62236.0
2021-06-30,62326.0
2021-07-31,62561.0
2021-08-31,62504.0
2021-09-30,62307.0
2021-10-31,62156.0
2021-11-30,61979.0
2021-12-31,61812.0
2022-01-31,61907.0
2022-02-28,61509.0
2022-03-31,61501.0
2022-04-30,61441.0
2022-05-31,61622.0
2022-06-30,61954.0
2022-07-31,62146.0
2022-08-31,62245.0
2022-09-30,62035.0
2022-10-31,61999.0
2022-11-30,61995.0
2022-12-31,61980.0
2023-01-31,62206.0
2023-02-28,62255.0
2023-03-31,62325.0
2023-04-30,62180.0
2023-05-31,62586.0
2023-06-30,63150.0
2023-07-31,63421.0
2023-08-31,63172.0
2023-09-30,62890.0
2023-10-31,62615.0
2023-11-30,62601.0
2023-12-31,62538.0
2024-01-31,62726.0
2024-02-29,62858.0
2024-03-31,62912.0
2024-04-30,62599.0
2024-05-31,63106.0
2024-06-30,63482.0
2024-07-31,63688.0
2024-08-31,63868.0
2024-09-30,63865.0
2024-10-31,63245.0
2024-11-30,63115.0
2024-12-31,62705.0
2025-01-31,62345.0
2025-02-28,62058.0
2025-03-31,62100.0
2025-04-30,61997.0
2025-05-31,62839.0
2025-06-30,63376.0
2025-07-31,63700.0
2025-08-31,64089.0
2025-09-30,63989.0
2025-10-31,63608.0
2025-11-30,63495.0
2025-12-31,63302.0
2026-01-31,63348.0
2026-02-28,63393.0
2026-03-31,63636.0
2026-04-30,62188.0
2026-05-31,63157.0
2026-06-30,64496.0
2026-07-31,65238.0
